names
DSRAD_1
DSRAD_2
AZI2_2
AZI2_3
B2MG_1
B2MG_2
CO2
CASP8_1
CASP8_2
CASP8_3
CASP8_4
CD274_1
CD274_2
CCD47_1
CCD47_2
CMPK2_1
CMPK2_2
CMTR1_1
CMTR1_2
RIGI
DHX58_1
DHX58_2
DNJA1_1
DNJA1_2
DNJA1_3
DNJA1_5
DJC13_1
DJC13_2
DTX3L
EHD4_1
EHD4_1
E2AK2_1
E2AK2_2
ERAP1_1
ERAP1_2
FA43A_1
FA43A_2
FMR1A
FMR1B_1
FMR1B_2
HERC6_1
HERC6_2
IN35
IFIH1
IL15RA_1
IL15RA_2
IRF1_1
IRF1_2
IRF7
IRF9
ISG15
ISG20
LGALS9
MORC3
MOV10
MX1
MYD88
N4BP1
NLRC5
NMI
NUB1
OAS
PARP12
PARP14
PARP9
PML
PSMB10
PSMB8
PSMB9
PSME1
PSME2
RBCK1
RFX5
RICTOR
RNF114
RNF19B
RNF213
RNF31
RSAD2
SAT1
SERTAD1
SHISA5
SLC25A28
SOCS1
SP110
STAT1
STAT2
TDRD7
TNFSF10
TRAFD1
TRIM21
TRIM25
UBA7
UBE2L6
USP18
USP25
WARS
XAF1
ZC3HAV1
ZCCHC2
ZNFX1
