names
AZI2
B2MG
B2MG-1
B2MG-2
B2MG-3
CASP8
CD47
CD47-1
CD47-2
CMPK2
CMPK2-1
CMTR1
DTX3L
ERAP1
FMR1
FMR1-1
IFIH1
IFIH1-1
IFIH1-2
IFIH1-3
IRF1-2
MORC3
MOV10
MX1
MYD88
N4BP1
NMI
NMI-1
NUB1
NUB1-1
NUB1-2
NUB1-3
NUB1-4
OASL
OAS3
OAS3-1
PML
PML-1
PML-2
PML-3
PML-4
PSME1
PSME1-1
PSME1-2
PSME2
RFX5
RNF31
RSAD2
STAT1
STAT2-2
