,logFC,logCPM,PValue,QValue
ENSGALG00010008283,2.09848756878698,-0.665186473934133,0.0080250002784529,0.166266024431649
ENSGALG00010010317,0.658335234942196,6.77441419156237,0.0080519890984377,0.166566147157433
ENSGALG00010006992,0.592217778722747,5.79590014282535,0.0081020533714131,0.167341945758086
ENSGALG00010018542,0.590384454161158,6.80664556214988,0.0082510057172222,0.169258591959104
ENSGALG00010017530,0.793999864616866,6.4007018580849,0.0082583759775872,0.169258591959104
ENSGALG00010013501,0.788527261148807,4.56332258896714,0.0082844863460557,0.169532914135415
ENSGALG00010025592,0.647545616168019,10.6692458332093,0.0084120921280271,0.171616985190777
ENSGALG00010015069,0.601927310719678,7.77685390866512,0.0085340811195302,0.173839493385904
ENSGALG00010013494,0.668692293530512,4.64270048182358,0.0085650892876198,0.174204762579651
ENSGALG00010009348,0.5854755038458,6.25038871817142,0.0085832558455271,0.174308131667855
ENSGALG00010026625,1.70958103206966,0.15858561720603,0.0086292574313702,0.174709677052758
ENSGALG00010024651,0.635164086177777,7.56650744932742,0.0086253421880015,0.174709677052758
ENSGALG00010017218,2.44941146425312,-1.02485402441879,0.0087858100517276,0.177340244710782
ENSGALG00010005407,1.02934434083965,2.75999125860022,0.0088152017738098,0.177664323798327
ENSGALG00010022182,1.68884790071279,0.389907871697303,0.0088521852283939,0.177965513488185
ENSGALG00010007883,0.982918051524241,4.52823368127881,0.0088947928728179,0.178190121280723
ENSGALG00010024143,0.622526805016758,6.61241292336925,0.0090175442367711,0.180377964447845
ENSGALG00010015820,3.20130817592284,1.2281232140763,0.0090709638919741,0.180903264923473
ENSGALG00010005365,2.490952951802,-1.29742555843708,0.009231399506139,0.183553289881768
ENSGALG00010022213,0.769939028561017,7.69601970848404,0.0093953409463505,0.185704350277866
ENSGALG00010027953,0.623857398775792,7.64725165991672,0.0093733345538131,0.185704350277866
ENSGALG00010015971,0.596047493663267,5.31798309746994,0.0095500652597413,0.188482917615221
ENSGALG00010017814,1.39537247676654,1.89676699793635,0.0097582363890708,0.19209250497981
ENSGALG00010017767,0.892465995922408,3.34066864562969,0.0097751199782309,0.19209250497981
ENSGALG00010025941,5.33997292200053,-2.31790107805323,0.0098085812926431,0.192444653874215
ENSGALG00010021018,6.33745426849739,-1.82803289571877,0.00995659517427,0.194283278171257
ENSGALG00010029635,2.0780097867961,3.11935833914911,0.0099683238006951,0.194283278171257
ENSGALG00010027940,0.829776623954218,3.96513375942008,0.010219195347769,0.197304522352143
ENSGALG00010010680,1.9941275598685,-0.773758199175399,0.0103062154530861,0.198508986587554
ENSGALG00010019051,0.633777374953115,5.13742630753082,0.0104242937643186,0.19925554078369
ENSGALG00010024598,1.24690181364274,2.26266277186013,0.0105421437557695,0.200432649240267
ENSGALG00010008099,0.624152387761779,7.44980194288511,0.0106219374240826,0.200432649240267
ENSGALG00010008991,0.593419357179862,5.7563763648748,0.0106081925162641,0.200432649240267
ENSGALG00010011930,0.56479778957672,5.88117212765593,0.0107313844056073,0.201925851767655
ENSGALG00010019572,0.618051595348091,7.12413595586746,0.01079161415214,0.202487160189873
ENSGALG00010022421,0.619419477930093,7.85872634678327,0.0107844388152193,0.202487160189873
ENSGALG00010024428,0.658235270790135,4.96778657217758,0.0109262678020002,0.204725372233821
ENSGALG00010010253,0.620373955250117,6.40868307333018,0.0111656043594891,0.207459109173102
ENSGALG00010018919,0.686374271201927,7.96026453336174,0.011651526491095,0.215885446334308
ENSGALG00010009361,0.663741871383618,6.85671672591787,0.01199169231031,0.220692329385804
ENSGALG00010002626,0.669136686198922,6.76896563568599,0.0119698404725637,0.220692329385804
ENSGALG00010010411,1.04471477793436,3.40105157558234,0.0122657382982597,0.224663479427292
ENSGALG00010008739,1.88148270434326,0.247112866263297,0.0123928616303722,0.226084845893577
ENSGALG00010004433,0.605802453843338,4.57129980012157,0.0124687797714728,0.226084845893577
ENSGALG00010020126,1.00648890487825,7.93186950491458,0.0124602635325623,0.226084845893577
ENSGALG00010029950,0.598538075669586,5.87475804996138,0.0127346556831584,0.230191428780239
ENSGALG00010016825,2.04994036782206,1.9691931429028,0.0128182444115475,0.231269139000697
ENSGALG00010023279,2.21882671650704,-1.51261522505602,0.0130924655086975,0.234481676014736
ENSGALG00010007986,0.666229022901085,4.6945488433142,0.0130952084488037,0.234481676014736
ENSGALG00010010623,0.65120766472249,5.44200973264791,0.0130926695812983,0.234481676014736
ENSGALG00010017312,0.55527642438794,6.57604827294847,0.0130486634219676,0.234481676014736
ENSGALG00010015155,1.43622129182518,11.4241700866842,0.013452953097319,0.238960321549978
ENSGALG00010005893,0.554346188540086,6.6733239733429,0.0135500666955878,0.240045197498166
ENSGALG00010027808,5.33186807356593,-2.26674996202839,0.0136331953702307,0.240877226422033
ENSGALG00010028874,3.87133299739263,-1.78143956967915,0.0138432997843549,0.242672726602789
ENSGALG00010023751,1.21416786745223,1.78360133780541,0.013862328850377,0.242672726602789
ENSGALG00010012175,0.799404922951248,7.23569845205168,0.0141200402599398,0.245570726296238
ENSGALG00010001938,0.69949025486514,3.89822177166061,0.0142099178930276,0.245941820886471
ENSGALG00010009344,1.23395725482525,1.23224472036867,0.0141950243252413,0.245941820886471
ENSGALG00010018033,0.933785969186477,5.03633440172129,0.0142285803160589,0.245941820886471
ENSGALG00010014026,0.679720840509744,5.16604406851729,0.01433384074528,0.247031599493687
ENSGALG00010005879,0.705346807738376,6.02258469959247,0.0147622885665693,0.251809485638716
ENSGALG00010029560,0.540342143578872,5.85547369551459,0.0149036056967239,0.25357067061527
ENSGALG00010002796,3.33016385479208,-2.02778784187417,0.0151059490213412,0.255766000049843
ENSGALG00010020212,1.2002639677309,1.69259397566973,0.0151642941096092,0.25622780433888
ENSGALG00010029579,1.27078567545459,1.02709978589537,0.0152183329382738,0.25630674008051
ENSGALG00010010749,0.563124885191032,8.04904825890905,0.0153312019663908,0.257232081355488
ENSGALG00010020285,1.9344158446757,-0.707581461233436,0.0157239477666276,0.262828647612312
ENSGALG00010028489,1.36622337186138,2.02937432091919,0.0158422910382577,0.264474938861741
ENSGALG00010018558,1.06002293470666,2.20706944180318,0.0162902870252955,0.269924382774859
ENSGALG00010013316,0.596536328922884,5.28880757788515,0.016469385518448,0.271940093259582
ENSGALG00010001406,0.576037412554853,7.18644230298448,0.0165665508778288,0.272468630610414
ENSGALG00010027905,1.67906474303831,0.113300857957519,0.01691405721079,0.2759671044352
ENSGALG00010002991,0.594659464431491,7.53588401369356,0.0171044649893475,0.277091373859638
ENSGALG00010013482,0.568116129322821,7.35960274034585,0.017111527218025,0.277091373859638
ENSGALG00010002621,0.986402515448901,2.31987824533174,0.0172172431463968,0.278021955389453
