,logFC,logCPM,PValue,QValue
ENSGALG00010012470,0.811519346501042,5.88649442075918,0.0024492522642101,0.0147009227112863
ENSGALG00010013624,5.81419528139703,-2.13959779661397,0.0024647221329687,0.0147807189165543
ENSGALG00010012943,0.924579395774517,3.94428209753894,0.0024779352719734,0.0148534020338982
ENSGALG00010002779,1.10023286229819,3.76885443672835,0.0025110335878863,0.0150252908083609
ENSGALG00010016464,0.872964845194547,4.76873794294724,0.0025121556888696,0.0150253889331202
ENSGALG00010023993,1.06259408939851,4.57765435765044,0.0025367030283274,0.0151522010777766
ENSGALG00010005092,0.903177122190631,4.93488679985589,0.0025586808378401,0.0152566537540195
ENSGALG00010029723,2.23704487056966,2.47923792170262,0.0025757766214202,0.0153383998722525
ENSGALG00010021162,0.834617877830709,5.92372394940377,0.0025742686654437,0.0153383998722525
ENSGALG00010007506,2.12908017542385,2.08792476065834,0.0025746678322922,0.0153383998722525
ENSGALG00010000590,2.75685303996396,-1.17320986177388,0.002592554556048,0.0154045578758796
ENSGALG00010016030,2.34152121232308,2.43057919429134,0.0026043037998982,0.0154676067905671
ENSGALG00010001531,1.72573840195051,1.53729030966951,0.0026151946561959,0.0155187249707625
ENSGALG00010022831,1.04688698335216,3.53294096565094,0.0026363362113559,0.015609052951096
ENSGALG00010008028,1.07263098378189,4.10603416595911,0.0026342818836078,0.015609052951096
ENSGALG00010009801,1.79768369612797,0.768270924943853,0.0026373085271702,0.015609052951096
ENSGALG00010028159,0.889616036709758,6.15729633037185,0.0026599333231234,0.0157155799686629
ENSGALG00010001611,1.46892832942242,3.442593356978,0.0026745670320222,0.0157951722721211
ENSGALG00010027257,4.0802303197388,-1.77242410948132,0.0026818851377917,0.0158315104854263
ENSGALG00010002512,0.821653129787312,6.72389150980839,0.0026892218648086,0.0158679270173185
ENSGALG00010027740,0.950821603477244,6.51500758208913,0.0027521765729294,0.0162005342514528
ENSGALG00010025654,1.28809544746525,2.12833128023749,0.0027825084444265,0.0163619291883818
ENSGALG00010021615,1.03409063884125,3.89679520348867,0.0027995274651566,0.0164402673828928
ENSGALG00010005300,2.49290127481385,1.75768537753549,0.0028167757661482,0.0165130137559056
ENSGALG00010019735,1.23517330940108,3.37052095820494,0.0028197918240516,0.0165235666653895
ENSGALG00010009560,0.886016451023342,5.15167753765545,0.0028859824804696,0.016867791796603
ENSGALG00010006408,2.69676022528803,-1.00612079645756,0.002898778521734,0.0169207479947782
ENSGALG00010015507,0.910257379978162,4.64652403687334,0.0029713737771897,0.0173073288719382
ENSGALG00010000382,1.74080376447054,0.773950119716595,0.0029840308282667,0.017366164850243
ENSGALG00010007320,1.07259858984806,7.30617677220753,0.0029966455094697,0.0174263704697257
ENSGALG00010025432,5.66921439063853,-2.22210870477533,0.0030064205036891,0.0174740154938542
ENSGALG00010026633,1.56337718181302,2.05082659635815,0.0030259099237677,0.0175722606641368
ENSGALG00010022391,1.3035922741179,1.80876697283845,0.0030371786881902,0.0176301671054325
ENSGALG00010018261,1.29391793412018,6.42656596709176,0.0030408515589272,0.0176364199036546
ENSGALG00010026043,1.86486694535757,4.46631791375817,0.0031020134733228,0.0179834731608292
ENSGALG00010029274,1.16156115431367,6.06311641654114,0.00315437145442,0.018253581022268
ENSGALG00010011674,0.928472107707017,8.15262791324011,0.0031558236715986,0.018253581022268
ENSGALG00010018590,1.35971029141524,1.56572630969828,0.0031566646112539,0.018253581022268
ENSGALG00010017927,2.22893969629535,3.10563950725872,0.0031545721863397,0.018253581022268
ENSGALG00010015964,0.857151137761215,6.73710450597742,0.00317511451889,0.0183368598373125
ENSGALG00010013576,5.75565821805673,-2.15556172748215,0.0031900928656438,0.0183999032051081
ENSGALG00010006572,5.75565821805673,-2.15556172748215,0.0031900928656438,0.0183999032051081
ENSGALG00010010952,2.78747277687385,3.57987181411619,0.0031959672540469,0.018425964792212
ENSGALG00010015159,2.18545451757678,-0.589374383538687,0.0032472783189646,0.0187005104612802
ENSGALG00010024712,0.810652863782453,5.27036167440358,0.0032596529006664,0.0187612974447931
ENSGALG00010028678,5.25752197784343,0.214269730784643,0.0032649295393897,0.0187757628060799
ENSGALG00010013181,0.894299368501917,6.96502479495953,0.0033100002643232,0.0189787314733709
ENSGALG00010016691,1.3307737547556,2.05261940619144,0.0033162163532908,0.018998340651294
ENSGALG00010001193,1.25224513250068,2.73390817383308,0.0033151673536169,0.018998340651294
ENSGALG00010006229,0.933605788988003,3.68957700232347,0.003354082314286,0.0191829227983307
ENSGALG00010007038,1.60346518070231,1.14545370324986,0.0033626973385412,0.019224103547933
ENSGALG00010017190,0.993061663921393,7.90765203009176,0.0033787390872336,0.0193076894265844
ENSGALG00010008830,0.851205907005927,4.39774099539748,0.0034014834048535,0.0194207356952024
ENSGALG00010014355,1.0421466287105,7.29540336921963,0.0034267686939976,0.0195246791541859
