,logFC,logCPM,PValue,QValue
ENSGALG00000033619,-2.67377045774318,4.05480232803917,3.3064516509282203e-15,8.96318311822032e-13
ENSGALG00000006076,-3.21381839606143,4.79548029375942,1.85122068953004e-14,4.47086625800501e-12
ENSGALG00000007337,-2.74352147853282,6.92109411389665,1.26505543806685e-12,2.3338515810891603e-10
ENSGALG00000050416,-2.84786156566594,8.35097916571692,1.26173788809118e-12,2.3338515810891603e-10
ENSGALG00000014903,-2.35791405822537,5.99586670378387,1.87202197651653e-12,3.22935946935961e-10
ENSGALG00000014963,-2.13311915337358,5.90718920709332,4.61407456426013e-12,7.38418704061052e-10
ENSGALG00000001419,-2.91188104911592,7.51686096832094,6.2257254504163895e-12,9.728977783280102e-10
ENSGALG00000004246,-2.3551314183589,5.33775778245449,6.4078618554283594e-12,9.89716616577382e-10
ENSGALG00000006138,-2.35454033214867,5.48450219640158,8.27060315150759e-12,1.2534809256280702e-09
ENSGALG00000011686,-2.5118979282048,6.38540828793298,9.39536990521893e-12,1.37141426869256e-09
ENSGALG00000046960,-1.97106475924274,6.09893525497845,1.9649711537254098e-11,2.71882414947236e-09
ENSGALG00000017137,-2.92495689428727,3.11336839503285,7.018741678303529e-11,8.96441785701017e-09
ENSGALG00000004333,-2.39837736643472,6.09350411583071,1.05904452462937e-10,1.27884440187745e-08
ENSGALG00000013505,-2.03946715668909,7.72747598644323,1.09858946076566e-10,1.31464538804957e-08
ENSGALG00000006054,-2.11095847497859,5.89545188001015,1.35606732816669e-10,1.60827163571769e-08
ENSGALG00000045350,-2.66074741319786,6.5222498847548,1.56541224801729e-10,1.84012131773572e-08
ENSGALG00000045758,-2.43053910756792,5.92905107466538,2.27535366973113e-10,2.56131549110497e-08
ENSGALG00000050840,-2.4736791545647,5.43847699489,2.67657829059459e-10,2.96878001634654e-08
ENSGALG00000007160,-2.07315106616592,5.37835426960272,2.68202666537368e-10,2.96878001634654e-08
ENSGALG00000011875,-2.48508361941654,6.46018389983704,3.96958943418133e-10,4.28683385806753e-08
ENSGALG00000008459,-2.55907688680679,4.97084603512605,7.62942281483355e-10,7.7955094807257e-08
ENSGALG00000002551,-2.92144886187985,5.26855629146572,9.93792135124162e-10,9.92521874500319e-08
ENSGALG00000048920,-1.96275151723354,5.81027356775635,1.2072150894948401e-09,1.18781022472296e-07
ENSGALG00000007140,-2.52744615383817,7.37607733627719,1.30404142161888e-09,1.27364575024732e-07
ENSGALG00000042365,-2.44328767377452,3.98378032544409,1.33577184060097e-09,1.29372946890503e-07
ENSGALG00000051334,-2.68175360937345,2.71791443050737,1.34408391710377e-09,1.29372946890503e-07
ENSGALG00000015297,-2.23593244119594,6.34987319650175,1.7007181239953301e-09,1.58714927228973e-07
ENSGALG00000003578,-3.04856754617002,6.10586181658944,1.94137072932118e-09,1.79077968038703e-07
ENSGALG00000044599,-2.60125413101938,2.78487035572804,2.23875325521567e-09,2.02294962510406e-07
ENSGALG00000011708,-2.29601136740927,6.89629831083545,2.5583528180592102e-09,2.29612165420814e-07
ENSGALG00000045125,-2.32797417665765,7.04869241153279,2.7221340332755e-09,2.41054042426656e-07
ENSGALG00000022440,-1.98051369592734,4.33042548791834,2.86457517773651e-09,2.51987762158107e-07
ENSGALG00000015490,-2.13547940893067,5.45709881535812,3.73631012449822e-09,3.20189725056193e-07
ENSGALG00000041896,-2.04731341696536,5.73492060389375,5.625923055299641e-09,4.64156123872951e-07
ENSGALG00000030397,-2.04138262116539,5.70499292102175,5.60290284220072e-09,4.64156123872951e-07
ENSGALG00000001387,-2.47980396565241,3.35687023211507,6.026465855952651e-09,4.91101508985393e-07
