	chicken_a_control_1	chicken_a_control_2	chicken_a_lps_8h	chicken_d_lps_8h
ENSGALG00000027526	13	11	25	21
ENSGALG00000032011	7	3	17	0
ENSGALG00000005929	1139	1042	757	555
ENSGALG00000046425	77	42	87	32
ENSGALG00000036763	137	95	117	80
ENSGALG00000054202	6	0	15	8
ENSGALG00000043012	23	11	10	0
ENSGALG00000048475	19346	19425	10519	6085
ENSGALG00000053505	25	4	23	5
ENSGALG00000047071	53	19	64	59
ENSGALG00000049412	240	197	250	145
ENSGALG00000049916	3	0	2	0
ENSGALG00000006651	60	32	108	36
ENSGALG00000053881	652	451	537	326
ENSGALG00000005655	94	57	69	29
ENSGALG00000043143	41	21	13	10
ENSGALG00000036805	1108	969	1157	576
ENSGALG00000029702	3395	3073	2867	2074
ENSGALG00000032042	33	42	51	14
ENSGALG00000012365	2529	2092	2281	1540
ENSGALG00000036196	1364	928	1506	1023
ENSGALG00000009965	14941	20096	11766	6319
ENSGALG00000031524	32	10	24	3
ENSGALG00000013239	483	275	225	3
ENSGALG00000051726	16	5	15	1
ENSGALG00000048605	8	6	9	2
ENSGALG00000047566	298	180	298	163
ENSGALG00000038522	1058	788	914	573
ENSGALG00000036994	20	5	22	0
ENSGALG00000031447	596	445	340	269
ENSGALG00000041233	2	3	1	0
ENSGALG00000002389	116	207	80	22
ENSGALG00000049533	399	435	253	248
ENSGALG00000046371	382	422	381	243
ENSGALG00000054889	2676	1357	2540	1198
ENSGALG00000035743	17	11	35	4
ENSGALG00000043906	18	88	9	18
ENSGALG00000038593	134	60	121	74
ENSGALG00000036360	2	1	0	2
ENSGALG00000049390	72	27	50	31
ENSGALG00000004504	86	59	56	58
ENSGALG00000054495	517	379	481	268
ENSGALG00000028898	227	157	289	139
ENSGALG00000039964	2083	1539	1982	1129
ENSGALG00000005644	6052	3268	6296	2551
ENSGALG00000049626	1477	1148	1452	779
ENSGALG00000027899	505	306	477	217
ENSGALG00000042686	1	1	2	2
ENSGALG00000001764	78	49	63	50
ENSGALG00000033234	4644	2702	4038	1848
ENSGALG00000040041	572	421	525	391
ENSGALG00000043389	228	228	174	81
ENSGALG00000051259	545	562	307	261
ENSGALG00000047702	1220	669	1008	616
ENSGALG00000051897	175	60	108	159
ENSGALG00000009156	257	155	187	154
ENSGALG00000035030	45	0	55	1
ENSGALG00000030657	56	49	41	36
ENSGALG00000044684	261	80	199	26
ENSGALG00000027429	48	36	31	7
ENSGALG00000029533	1023	610	938	781
ENSGALG00000038853	438	235	409	278
ENSGALG00000039257	1584	864	1405	904
ENSGALG00000054956	192	130	168	80
ENSGALG00000049014	10	2	7	2
ENSGALG00000039780	94	44	63	30
ENSGALG00000037269	538	250	599	465
ENSGALG00000034426	114	72	115	74
ENSGALG00000002957	6	3	4	1
ENSGALG00000027592	1595	1231	1546	1021
ENSGALG00000050386	1766	1983	1536	904
ENSGALG00000011326	317	194	313	188
ENSGALG00000054882	613	311	631	434
ENSGALG00000009650	236	265	118	42
ENSGALG00000008337	1397	835	1458	1781
ENSGALG00000042551	7	5	6	9
ENSGALG00000037527	2325	1497	2643	1487
ENSGALG00000051984	142	135	1029	406
ENSGALG00000051385	34	30	23	13
ENSGALG00000011715	4140	6552	2263	3855
ENSGALG00000054952	2311	2695	2116	1013
ENSGALG00000052734	38	28	47	13
ENSGALG00000040316	43	15	34	11
ENSGALG00000033656	473	312	454	291
ENSGALG00000006123	156	103	133	81
ENSGALG00000005770	430	305	313	217
ENSGALG00000037018	1657	1053	1584	1278
ENSGALG00000026221	633	455	692	480
ENSGALG00000049557	295	106	301	131
ENSGALG00000026834	10	11	9	9
ENSGALG00000053084	12	9	7	4
ENSGALG00000008457	1433	934	1840	1429
ENSGALG00000038311	18	12	13	5
ENSGALG00000028026	367	226	494	264
ENSGALG00000029166	226	108	217	95
ENSGALG00000016325	13001	8984	15689	11057
ENSGALG00000011189	17	9	17	10
ENSGALG00000007572	845	594	888	514
ENSGALG00000048579	40	60	41	10
ENSGALG00000004622	438	316	397	238
ENSGALG00000015006	16	10	28	10
ENSGALG00000035818	4	1	1	6
ENSGALG00000028551	656	552	782	342
ENSGALG00000033971	749	497	373	343
ENSGALG00000007592	381	322	447	217
ENSGALG00000002532	1227	1642	747	381
ENSGALG00000019551	23	19	18	2
ENSGALG00000033730	121	89	161	92
ENSGALG00000012552	1942	1655	1654	1212
ENSGALG00000030481	221	226	195	162
ENSGALG00000016737	984	546	1028	559
ENSGALG00000032402	4	5	9	0
ENSGALG00000045788	1783	1174	2106	1365
ENSGALG00000025991	8	3	5	1
ENSGALG00000039160	4903	3631	4458	2843
ENSGALG00000011192	630	627	667	385
ENSGALG00000046992	295	195	144	93
ENSGALG00000005670	1112	583	886	387
ENSGALG00000049949	537	285	502	255
ENSGALG00000011193	392	186	374	170
ENSGALG00000034473	1747	818	1646	727
ENSGALG00000054377	24	2	12	4
ENSGALG00000030025	5326	2114	734	60
ENSGALG00000037837	8711	6843	7225	6504
ENSGALG00000007546	454	237	381	166
ENSGALG00000045030	20	23	11	12
ENSGALG00000032428	80	42	96	38
ENSGALG00000049368	4	2	0	0
ENSGALG00000052593	849	592	570	394
ENSGALG00000043252	123	81	66	15
ENSGALG00000041309	49	43	32	32
ENSGALG00000013548	43	13	19	2
ENSGALG00000029152	739	471	739	593
ENSGALG00000005802	171	254	83	71
ENSGALG00000039811	244	106	152	79
ENSGALG00000004364	1197	710	1178	683
ENSGALG00000012872	1275	1659	1116	458
ENSGALG00000006714	518	491	513	305
ENSGALG00000048791	22	3	34	10
ENSGALG00000008525	22191	13004	21548	16538
ENSGALG00000030245	65	8	67	11
ENSGALG00000029917	19	25	34	10
ENSGALG00000029244	3461	2243	4040	2400
ENSGALG00000054174	98	114	56	30
ENSGALG00000012559	44	16	42	16
ENSGALG00000038652	1304	804	1108	876
ENSGALG00000009733	1299	1059	1560	922
ENSGALG00000017148	45	25	45	15
ENSGALG00000013371	700	430	668	317
ENSGALG00000046427	51	57	45	34
ENSGALG00000011296	4	10	1	7
ENSGALG00000006038	198	58	46	60
ENSGALG00000038217	4838	3283	4008	2221
ENSGALG00000051392	137	89	154	98
ENSGALG00000004400	534	358	651	509
ENSGALG00000012879	3474	2180	3102	1514
ENSGALG00000051661	39	7	44	3
ENSGALG00000033416	29	29	27	33
ENSGALG00000049426	1263	744	1021	616
ENSGALG00000050569	14	14	55	2
ENSGALG00000028595	1	0	2	2
ENSGALG00000048491	66	26	97	51
ENSGALG00000054891	212	80	181	121
ENSGALG00000036901	381	126	378	172
ENSGALG00000007609	152	65	236	145
ENSGALG00000029047	275	276	229	88
ENSGALG00000028627	3385	4154	3758	1273
ENSGALG00000006152	2094	1161	2342	1851
ENSGALG00000023686	71	63	91	47
ENSGALG00000049628	26	17	20	16
ENSGALG00000027332	868	302	977	469
ENSGALG00000046502	205	51	418	19
ENSGALG00000012882	492	314	361	126
ENSGALG00000029485	3322	1994	3574	2444
ENSGALG00000014709	786	517	842	411
ENSGALG00000003189	1459	1078	1350	853
ENSGALG00000012885	539	232	336	134
ENSGALG00000050049	2538	1526	2530	1278
ENSGALG00000036739	3859	1779	3907	1648
ENSGALG00000050967	1088	383	1216	277
ENSGALG00000049378	46	21	38	17
ENSGALG00000017154	155	109	103	95
ENSGALG00000009748	2260	1261	2199	998
ENSGALG00000053575	3645	2864	3516	1763
ENSGALG00000035476	47	15	59	9
ENSGALG00000029198	159	112	90	89
ENSGALG00000006182	1101	854	1142	745
ENSGALG00000012860	341	152	323	191
