	chicken_a_control_1	chicken_a_control_2	chicken_a_lps_24h	chicken_d_lps_24h
ENSGALG00000027526	13	11	26	6
ENSGALG00000032011	7	3	14	0
ENSGALG00000005929	1139	1042	560	435
ENSGALG00000046425	77	42	125	62
ENSGALG00000036763	137	95	72	55
ENSGALG00000054202	6	0	35	17
ENSGALG00000043012	23	11	39	1
ENSGALG00000048475	19346	19425	10541	6260
ENSGALG00000053505	25	4	43	6
ENSGALG00000047071	53	19	117	59
ENSGALG00000049412	240	197	240	146
ENSGALG00000049916	3	0	14	2
ENSGALG00000006651	60	32	117	135
ENSGALG00000053881	652	451	488	376
ENSGALG00000005655	94	57	79	30
ENSGALG00000043143	41	21	7	13
ENSGALG00000036805	1108	969	466	406
ENSGALG00000029702	3395	3073	2193	1566
ENSGALG00000032042	33	42	44	30
ENSGALG00000012365	2529	2092	2078	1997
ENSGALG00000036196	1364	928	1549	1303
ENSGALG00000009965	14941	20096	5010	2721
ENSGALG00000031524	32	10	82	55
ENSGALG00000013239	483	275	609	32
ENSGALG00000051726	16	5	15	1
ENSGALG00000048605	8	6	7	2
ENSGALG00000047566	298	180	324	207
ENSGALG00000038522	1058	788	876	738
ENSGALG00000036994	20	5	52	0
ENSGALG00000031447	596	445	306	242
ENSGALG00000041233	2	3	5	0
ENSGALG00000002389	116	207	25	16
ENSGALG00000049533	399	435	236	223
ENSGALG00000046371	382	422	426	212
ENSGALG00000054889	2676	1357	2479	1424
ENSGALG00000035743	17	11	46	18
ENSGALG00000043906	18	88	5	15
ENSGALG00000038593	134	60	136	82
ENSGALG00000049390	72	27	26	23
ENSGALG00000004504	86	59	58	70
ENSGALG00000054495	517	379	316	238
ENSGALG00000028898	227	157	217	163
ENSGALG00000039964	2083	1539	1919	1613
ENSGALG00000005644	6052	3268	7030	2754
ENSGALG00000049626	1477	1148	1373	1038
ENSGALG00000027899	505	306	403	290
ENSGALG00000001764	78	49	83	80
ENSGALG00000033234	4644	2702	2945	1117
ENSGALG00000040041	572	421	500	422
ENSGALG00000043389	228	228	203	75
ENSGALG00000051259	545	562	161	142
ENSGALG00000047702	1220	669	962	567
ENSGALG00000051897	175	60	84	156
ENSGALG00000009156	257	155	123	163
ENSGALG00000035030	45	0	663	569
ENSGALG00000030657	56	49	50	59
ENSGALG00000044684	261	80	127	45
ENSGALG00000027429	48	36	52	32
ENSGALG00000029533	1023	610	853	1030
ENSGALG00000038853	438	235	336	465
ENSGALG00000039257	1584	864	1646	1579
ENSGALG00000054956	192	130	189	122
ENSGALG00000049014	10	2	3	8
ENSGALG00000039780	94	44	61	36
ENSGALG00000037269	538	250	763	690
ENSGALG00000041553	1	0	2	3
ENSGALG00000034426	114	72	109	120
ENSGALG00000002957	6	3	4	1
ENSGALG00000027592	1595	1231	1375	1190
ENSGALG00000050386	1766	1983	1083	693
ENSGALG00000011326	317	194	297	279
ENSGALG00000054882	613	311	568	543
ENSGALG00000009650	236	265	357	82
ENSGALG00000008337	1397	835	1124	1792
ENSGALG00000042551	7	5	8	9
ENSGALG00000037527	2325	1497	2583	1912
ENSGALG00000051984	142	135	1855	1334
ENSGALG00000051385	34	30	44	27
ENSGALG00000011715	4140	6552	2231	4100
ENSGALG00000054952	2311	2695	1030	677
ENSGALG00000052734	38	28	18	13
ENSGALG00000040316	43	15	53	31
ENSGALG00000033656	473	312	507	478
ENSGALG00000006123	156	103	230	209
ENSGALG00000005770	430	305	234	239
ENSGALG00000037018	1657	1053	1720	1483
ENSGALG00000026221	633	455	616	640
ENSGALG00000049557	295	106	409	209
ENSGALG00000026834	10	11	15	15
ENSGALG00000053084	12	9	4	1
ENSGALG00000008457	1433	934	967	1713
ENSGALG00000038311	18	12	28	5
ENSGALG00000028026	367	226	565	460
ENSGALG00000029166	226	108	246	113
ENSGALG00000016325	13001	8984	13495	14086
ENSGALG00000011189	17	9	11	13
ENSGALG00000007572	845	594	900	580
ENSGALG00000048579	40	60	23	17
ENSGALG00000004622	438	316	364	276
ENSGALG00000015006	16	10	14	5
ENSGALG00000035818	4	1	0	5
ENSGALG00000041555	3	1	2	0
ENSGALG00000028551	656	552	721	681
ENSGALG00000033971	749	497	431	419
ENSGALG00000007592	381	322	336	280
ENSGALG00000002532	1227	1642	393	177
ENSGALG00000019551	23	19	7	3
ENSGALG00000033730	121	89	137	94
ENSGALG00000012552	1942	1655	1784	2058
ENSGALG00000030481	221	226	160	123
ENSGALG00000016737	984	546	1069	774
ENSGALG00000032402	4	5	2	0
ENSGALG00000045788	1783	1174	2225	1607
ENSGALG00000025991	8	3	1	3
ENSGALG00000039160	4903	3631	4131	3109
ENSGALG00000011192	630	627	563	465
ENSGALG00000046992	295	195	159	81
ENSGALG00000005670	1112	583	723	563
ENSGALG00000049949	537	285	323	256
ENSGALG00000011193	392	186	318	193
ENSGALG00000034473	1747	818	1688	1268
ENSGALG00000054377	24	2	13	1
ENSGALG00000030025	5326	2114	1774	128
ENSGALG00000037837	8711	6843	11165	10682
ENSGALG00000007546	454	237	257	124
ENSGALG00000045030	20	23	17	7
ENSGALG00000032428	80	42	38	32
ENSGALG00000049368	4	2	0	1
ENSGALG00000052593	849	592	316	314
ENSGALG00000043252	123	81	33	17
ENSGALG00000041309	49	43	26	44
ENSGALG00000013548	43	13	11	2
ENSGALG00000029152	739	471	730	554
ENSGALG00000005802	171	254	39	40
ENSGALG00000039811	244	106	188	132
ENSGALG00000004364	1197	710	1383	932
ENSGALG00000012872	1275	1659	446	270
ENSGALG00000006714	518	491	575	346
ENSGALG00000048791	22	3	85	19
ENSGALG00000008525	22191	13004	18830	23149
ENSGALG00000030245	65	8	44	35
ENSGALG00000029917	19	25	8	8
ENSGALG00000029244	3461	2243	4503	3630
ENSGALG00000054174	98	114	41	12
ENSGALG00000012559	44	16	26	26
ENSGALG00000038652	1304	804	1437	1873
ENSGALG00000009733	1299	1059	1638	1124
ENSGALG00000017148	45	25	103	83
ENSGALG00000013371	700	430	301	142
ENSGALG00000046427	51	57	43	15
ENSGALG00000011296	4	10	0	1
ENSGALG00000006038	198	58	81	101
ENSGALG00000038217	4838	3283	6807	3896
ENSGALG00000051392	137	89	122	90
ENSGALG00000004400	534	358	399	477
ENSGALG00000012879	3474	2180	3351	2203
ENSGALG00000051661	39	7	78	11
ENSGALG00000033416	29	29	21	36
ENSGALG00000049426	1263	744	889	674
ENSGALG00000050569	14	14	89	6
ENSGALG00000048491	66	26	179	48
ENSGALG00000054891	212	80	200	145
ENSGALG00000036901	381	126	539	396
ENSGALG00000007609	152	65	595	579
ENSGALG00000029047	275	276	111	50
ENSGALG00000028627	3385	4154	1218	646
ENSGALG00000006152	2094	1161	2570	2097
ENSGALG00000023686	71	63	91	59
ENSGALG00000049628	26	17	11	8
ENSGALG00000027332	868	302	846	626
ENSGALG00000046502	205	51	834	42
ENSGALG00000012882	492	314	495	297
ENSGALG00000029485	3322	1994	4459	3811
ENSGALG00000014709	786	517	762	635
ENSGALG00000003189	1459	1078	1017	970
ENSGALG00000012885	539	232	294	189
ENSGALG00000050049	2538	1526	2850	2053
ENSGALG00000036739	3859	1779	4277	3138
ENSGALG00000050967	1088	383	1871	517
ENSGALG00000049378	46	21	32	11
ENSGALG00000017154	155	109	43	68
ENSGALG00000009748	2260	1261	2638	1495
ENSGALG00000053575	3645	2864	3401	2140
ENSGALG00000035476	47	15	101	67
ENSGALG00000029198	159	112	85	141
ENSGALG00000006182	1101	854	1145	929
ENSGALG00000012860	341	152	244	276
ENSGALG00000015073	927	613	1016	845
ENSGALG00000035804	5544	5570	8547	9125
ENSGALG00000032820	215	83	712	72
ENSGALG00000041226	2749	1787	2704	2445
ENSGALG00000012006	2	2	0	1
ENSGALG00000036443	381	216	502	338
ENSGALG00000011423	553	243	686	402
ENSGALG00000015617	6877	4952	5961	4120
ENSGALG00000015069	173	118	160	160
ENSGALG00000048752	29	13	47	9
ENSGALG00000050568	4	0	10	6
ENSGALG00000005678	27055	24735	22673	7348
ENSGALG00000013365	2372	1914	1966	1402
ENSGALG00000047597	117	32	215	53
ENSGALG00000037220	10	7	3	0
ENSGALG00000014711	532	194	753	437
ENSGALG00000022891	345	199	329	204
ENSGALG00000011426	5715	1546	11674	13564
ENSGALG00000005924	124	83	139	111
ENSGALG00000017158	51	15	75	57
ENSGALG00000004528	14	3	21	15
ENSGALG00000052725	77	57	23	24
ENSGALG00000014182	49	13	165	78
ENSGALG00000021193	959	606	899	623
ENSGALG00000004532	117	96	71	46
ENSGALG00000052504	285	88	399	63
ENSGALG00000050638	6	4	21	6
ENSGALG00000003484	16	4	133	105
ENSGALG00000029276	3909	2167	3987	2602
ENSGALG00000004559	119	66	102	121
ENSGALG00000031312	213	143	257	214
ENSGALG00000007641	1578	1561	1046	717
ENSGALG00000017159	827	406	570	499
ENSGALG00000034253	1107	639	929	635
ENSGALG00000012903	198	102	225	253
ENSGALG00000047192	46	22	86	64
ENSGALG00000041520	762	593	538	465
ENSGALG00000028347	26	15	14	7
ENSGALG00000051142	6	2	2	0
ENSGALG00000011831	42	28	34	51
ENSGALG00000041181	250	168	292	172
ENSGALG00000003570	1612	1025	1473	1295
ENSGALG00000051188	1482	1223	1085	678
ENSGALG00000034413	656	454	383	262
ENSGALG00000048556	25	25	34	0
ENSGALG00000004519	1341	1322	412	212
ENSGALG00000011489	171	78	72	29
ENSGALG00000031274	86	47	42	20
ENSGALG00000049455	3	0	2	1
ENSGALG00000009234	1216	827	922	1077
ENSGALG00000007590	918	512	639	492
ENSGALG00000033428	20	20	13	8
ENSGALG00000007181	286	212	388	203
ENSGALG00000008567	534	416	414	305
ENSGALG00000006399	1000	983	564	301
ENSGALG00000004630	2	1	1	2
ENSGALG00000052156	10	5	13	9
ENSGALG00000035230	2	2	0	0
ENSGALG00000011537	2	3	4	4
ENSGALG00000015603	225	164	185	122
ENSGALG00000004648	1477	847	1659	900
ENSGALG00000011834	149	97	134	164
ENSGALG00000009229	33648	18428	45955	29443
ENSGALG00000054070	101	58	78	2
ENSGALG00000039121	272	148	67	81
ENSGALG00000011450	2	4	1	4
ENSGALG00000043394	2058	1300	1578	1617
ENSGALG00000010259	3	0	2	1
ENSGALG00000050856	12	21	10	0
ENSGALG00000027786	269	87	1885	1905
ENSGALG00000035156	6011	4555	5350	3453
ENSGALG00000006113	1370	809	1356	862
ENSGALG00000006574	1	1	3	2
ENSGALG00000009728	1909	1069	1946	1351
ENSGALG00000009217	1381	761	1029	570
ENSGALG00000004671	261	142	180	184
ENSGALG00000011555	1794	1168	1380	835
ENSGALG00000027822	118	42	495	793
ENSGALG00000000109	151	113	268	212
ENSGALG00000030800	934	782	312	240
ENSGALG00000010699	858	860	462	397
ENSGALG00000026007	409	341	379	305
ENSGALG00000007599	378	306	200	138
ENSGALG00000017163	1621	1070	2016	1723
ENSGALG00000025751	769	722	1484	801
ENSGALG00000020805	2568	1344	2758	1629
ENSGALG00000007608	150	65	130	135
ENSGALG00000010700	199	132	284	178
ENSGALG00000029072	26	10	20	6
ENSGALG00000006194	180	154	264	247
ENSGALG00000006170	228	139	132	80
ENSGALG00000031120	14667	9938	12127	8161
ENSGALG00000007666	4	1	1	3
ENSGALG00000023189	311	136	392	418
ENSGALG00000052223	699	451	490	405
ENSGALG00000006167	1650	483	850	443
ENSGALG00000038708	208	107	69	124
ENSGALG00000035239	1697	637	912	455
ENSGALG00000034527	72	49	34	49
ENSGALG00000032156	308	182	220	203
ENSGALG00000017166	2	0	1	4
ENSGALG00000005701	1419	1352	789	566
ENSGALG00000006188	200	47	122	136
ENSGALG00000054095	68	16	231	1
ENSGALG00000006543	418	267	534	634
ENSGALG00000014716	1093	788	903	705
ENSGALG00000001812	12	12	8	0
ENSGALG00000007697	6601	7105	3082	2058
ENSGALG00000009205	187	218	118	87
ENSGALG00000008597	1079	791	1268	899
ENSGALG00000003578	1506	2496	311	194
ENSGALG00000021647	5	7	0	5
ENSGALG00000040620	3	4	3	5
ENSGALG00000026276	4	2	3	0
ENSGALG00000004613	978	610	270	110
ENSGALG00000004675	120	90	94	65
ENSGALG00000027902	3605	1925	5172	3919
ENSGALG00000026757	31	17	90	43
ENSGALG00000007646	5	4	1	0
ENSGALG00000053332	483	285	354	208
ENSGALG00000030384	2733	2088	3167	1514
ENSGALG00000029484	518	330	442	297
ENSGALG00000004704	9	3	0	0
ENSGALG00000051043	41	21	58	31
ENSGALG00000038671	5028	4268	5063	4617
ENSGALG00000035029	851	466	565	452
ENSGALG00000044727	3	3	0	0
ENSGALG00000015577	21	2	31	26
ENSGALG00000039791	189	148	139	105
ENSGALG00000052581	23	5	10	7
ENSGALG00000011562	14	10	3	21
ENSGALG00000040956	157	58	110	84
ENSGALG00000032329	354	216	297	349
ENSGALG00000053164	166	149	236	11
ENSGALG00000045074	7	9	1	11
ENSGALG00000026741	149	60	213	171
ENSGALG00000049397	2872	2548	865	151
ENSGALG00000011571	505	346	592	451
ENSGALG00000014718	1528	892	885	693
ENSGALG00000007683	726	360	554	388
ENSGALG00000017170	115	66	115	107
ENSGALG00000043209	90	57	29	26
ENSGALG00000028327	5	3	7	1
ENSGALG00000007753	831	745	759	660
ENSGALG00000047687	146	87	72	61
ENSGALG00000011805	431	457	550	548
ENSGALG00000020534	246	136	219	156
ENSGALG00000012898	1078	696	800	848
ENSGALG00000051054	49	41	46	33
ENSGALG00000026492	584	394	653	526
ENSGALG00000012023	7	2	6	4
ENSGALG00000003265	1863	1274	1850	1307
ENSGALG00000001792	853	604	749	688
ENSGALG00000034769	1251	620	1159	808
ENSGALG00000005789	3365	2252	4164	3104
ENSGALG00000034534	91	79	105	70
ENSGALG00000009939	1411	911	1095	773
ENSGALG00000039861	2695	1953	3439	2255
ENSGALG00000053552	314	155	339	171
ENSGALG00000015094	54	31	64	79
ENSGALG00000006201	1612	763	936	615
ENSGALG00000051980	226	142	146	37
ENSGALG00000006237	1533	1090	914	1044
ENSGALG00000006252	51	14	75	52
ENSGALG00000004814	25	8	22	2
ENSGALG00000035047	240	125	257	153
ENSGALG00000031248	161	89	188	176
ENSGALG00000035913	106	78	130	121
ENSGALG00000031966	119	85	145	117
ENSGALG00000037483	2559	1952	2343	1702
ENSGALG00000012658	2373	1372	1089	830
ENSGALG00000008127	9483	5738	14241	10201
ENSGALG00000004839	806	620	538	428
ENSGALG00000006482	3	3	4	0
ENSGALG00000017171	437	271	381	342
ENSGALG00000028423	199	93	196	194
ENSGALG00000024378	482	253	444	300
ENSGALG00000010718	429	362	169	52
ENSGALG00000053063	575	476	575	453
ENSGALG00000052703	8	0	4	0
ENSGALG00000016350	41	33	42	60
ENSGALG00000007820	547	388	361	361
ENSGALG00000008609	1970	1368	2195	1696
ENSGALG00000035561	1366	540	1038	674
ENSGALG00000004378	642	554	424	362
ENSGALG00000042073	150	55	77	125
ENSGALG00000006261	427	214	397	350
ENSGALG00000037485	1355	834	1425	1114
ENSGALG00000042521	118	43	43	33
ENSGALG00000051771	132	91	89	60
ENSGALG00000015551	4	2	3	2
ENSGALG00000053464	102	66	83	60
ENSGALG00000006284	1380	885	1355	1018
ENSGALG00000033997	138	36	67	46
