	chicken_a_control_1	chicken_a_control_2	chicken_a_pic_4h	chicken_d_pic_4h
ENSGALG00000027526	13	11	21	20
ENSGALG00000032011	7	3	5	0
ENSGALG00000005929	1139	1042	2365	2202
ENSGALG00000046425	77	42	159	75
ENSGALG00000036763	137	95	73	97
ENSGALG00000054202	6	0	15	4
ENSGALG00000043012	23	11	21	2
ENSGALG00000048475	19346	19425	11774	7514
ENSGALG00000053505	25	4	40	4
ENSGALG00000047071	53	19	32	12
ENSGALG00000049412	240	197	233	144
ENSGALG00000006651	60	32	56	34
ENSGALG00000053881	652	451	648	546
ENSGALG00000005655	94	57	39	30
ENSGALG00000043143	41	21	21	24
ENSGALG00000036805	1108	969	1062	1035
ENSGALG00000029702	3395	3073	3240	2670
ENSGALG00000032042	33	42	40	25
ENSGALG00000037439	5	0	125	88
ENSGALG00000012365	2529	2092	1401	1354
ENSGALG00000036196	1364	928	655	384
ENSGALG00000009965	14941	20096	10445	10868
ENSGALG00000031524	32	10	13	7
ENSGALG00000013239	483	275	143	8
ENSGALG00000051726	16	5	13	4
ENSGALG00000048605	8	6	4	10
ENSGALG00000047566	298	180	219	127
ENSGALG00000038522	1058	788	697	528
ENSGALG00000036994	20	5	32	0
ENSGALG00000031447	596	445	355	385
ENSGALG00000041233	2	3	0	0
ENSGALG00000002389	116	207	79	85
ENSGALG00000049533	399	435	392	315
ENSGALG00000046371	382	422	211	189
ENSGALG00000044235	1	0	3	2
ENSGALG00000054889	2676	1357	1349	1421
ENSGALG00000035743	17	11	13	3
ENSGALG00000043906	18	88	21	50
ENSGALG00000038593	134	60	39	33
ENSGALG00000049390	72	27	58	53
ENSGALG00000004504	86	59	20	15
ENSGALG00000054495	517	379	353	298
ENSGALG00000028898	227	157	196	149
ENSGALG00000039964	2083	1539	1508	1592
ENSGALG00000005644	6052	3268	4170	2868
ENSGALG00000049626	1477	1148	1170	1038
ENSGALG00000036593	0	0	5	10
ENSGALG00000027899	505	306	187	263
ENSGALG00000042686	1	1	14	34
ENSGALG00000001764	78	49	3	3
ENSGALG00000033234	4644	2702	3093	2530
ENSGALG00000040041	572	421	375	310
ENSGALG00000043389	228	228	196	124
ENSGALG00000051259	545	562	277	308
ENSGALG00000047702	1220	669	863	589
ENSGALG00000051897	175	60	46	35
ENSGALG00000009156	257	155	250	177
ENSGALG00000035030	45	0	24	5
ENSGALG00000002678	2	0	2	1
ENSGALG00000030657	56	49	40	36
ENSGALG00000044684	261	80	306	218
ENSGALG00000027429	48	36	34	21
ENSGALG00000029533	1023	610	1002	502
ENSGALG00000038853	438	235	240	179
ENSGALG00000039257	1584	864	477	233
ENSGALG00000054956	192	130	131	133
ENSGALG00000042944	1	0	20	7
ENSGALG00000049014	10	2	0	14
ENSGALG00000039780	94	44	44	25
ENSGALG00000037269	538	250	493	243
ENSGALG00000034426	114	72	58	55
ENSGALG00000002957	6	3	4	1
ENSGALG00000027592	1595	1231	850	579
ENSGALG00000050386	1766	1983	846	794
ENSGALG00000011326	317	194	227	119
ENSGALG00000054882	613	311	229	239
ENSGALG00000009650	236	265	79	30
ENSGALG00000008337	1397	835	666	658
ENSGALG00000042551	7	5	3	14
ENSGALG00000037527	2325	1497	1368	940
ENSGALG00000025800	2	0	10	5
ENSGALG00000051984	142	135	140	51
ENSGALG00000051385	34	30	69	79
ENSGALG00000011715	4140	6552	6163	13463
ENSGALG00000054952	2311	2695	1376	1686
ENSGALG00000052734	38	28	16	38
ENSGALG00000041371	4	0	5	1
ENSGALG00000040316	43	15	64	47
ENSGALG00000033656	473	312	197	130
ENSGALG00000006123	156	103	111	107
ENSGALG00000005770	430	305	267	195
ENSGALG00000037018	1657	1053	565	503
ENSGALG00000026221	633	455	269	194
ENSGALG00000049557	295	106	165	93
ENSGALG00000026834	10	11	1	1
ENSGALG00000053084	12	9	10	4
ENSGALG00000008457	1433	934	1787	1710
ENSGALG00000038311	18	12	5	3
ENSGALG00000028026	367	226	257	141
ENSGALG00000029166	226	108	115	59
ENSGALG00000016325	13001	8984	5928	3328
ENSGALG00000011189	17	9	12	8
ENSGALG00000007572	845	594	495	375
ENSGALG00000048579	40	60	42	20
ENSGALG00000004622	438	316	301	229
ENSGALG00000015006	16	10	37	28
ENSGALG00000035818	4	1	1	3
ENSGALG00000012869	2	1	1	3
ENSGALG00000028551	656	552	342	175
ENSGALG00000033971	749	497	163	98
ENSGALG00000007592	381	322	230	176
ENSGALG00000002532	1227	1642	136	217
ENSGALG00000019551	23	19	19	17
ENSGALG00000033730	121	89	109	79
ENSGALG00000012552	1942	1655	1035	897
ENSGALG00000030481	221	226	140	119
ENSGALG00000016737	984	546	1224	1138
ENSGALG00000032402	4	5	4	12
ENSGALG00000045788	1783	1174	1066	659
ENSGALG00000025991	8	3	5	5
ENSGALG00000039160	4903	3631	3395	2554
ENSGALG00000011192	630	627	617	541
ENSGALG00000046992	295	195	37	6
ENSGALG00000005670	1112	583	986	1044
ENSGALG00000049949	537	285	485	417
ENSGALG00000011193	392	186	226	214
ENSGALG00000034473	1747	818	1141	886
ENSGALG00000054377	24	2	20	10
ENSGALG00000030025	5326	2114	1609	54
ENSGALG00000037837	8711	6843	2895	1759
ENSGALG00000007546	454	237	419	368
ENSGALG00000045030	20	23	15	21
ENSGALG00000032428	80	42	2718	1414
ENSGALG00000049368	4	2	0	0
ENSGALG00000052593	849	592	810	537
ENSGALG00000043252	123	81	99	97
ENSGALG00000041309	49	43	23	28
ENSGALG00000013548	43	13	124	21
ENSGALG00000029152	739	471	434	254
ENSGALG00000005802	171	254	49	87
ENSGALG00000039811	244	106	259	274
ENSGALG00000004364	1197	710	1033	560
ENSGALG00000012872	1275	1659	778	882
ENSGALG00000006714	518	491	263	190
ENSGALG00000048791	22	3	40	9
ENSGALG00000008525	22191	13004	7991	4900
ENSGALG00000030245	65	8	63	19
ENSGALG00000029917	19	25	37	28
ENSGALG00000029244	3461	2243	2477	1891
ENSGALG00000054174	98	114	33	49
ENSGALG00000012559	44	16	56	57
ENSGALG00000038652	1304	804	459	374
ENSGALG00000009733	1299	1059	891	542
ENSGALG00000017148	45	25	24	13
ENSGALG00000013371	700	430	678	679
ENSGALG00000046427	51	57	61	54
ENSGALG00000011296	4	10	5	0
ENSGALG00000006038	198	58	29	69
ENSGALG00000038217	4838	3283	5548	3251
ENSGALG00000051392	137	89	199	150
ENSGALG00000004400	534	358	177	114
ENSGALG00000012879	3474	2180	2157	1587
ENSGALG00000051661	39	7	41	3
ENSGALG00000033416	29	29	43	21
ENSGALG00000049426	1263	744	638	735
ENSGALG00000050569	14	14	43	2
ENSGALG00000048491	66	26	141	17
ENSGALG00000054891	212	80	45	51
ENSGALG00000036901	381	126	129	127
ENSGALG00000007609	152	65	61	35
ENSGALG00000029047	275	276	136	174
ENSGALG00000028627	3385	4154	4298	3049
ENSGALG00000006152	2094	1161	575	258
ENSGALG00000023686	71	63	58	40
ENSGALG00000049628	26	17	20	25
ENSGALG00000027332	868	302	268	228
ENSGALG00000046502	205	51	282	32
ENSGALG00000012882	492	314	124	114
ENSGALG00000029485	3322	1994	642	240
ENSGALG00000014709	786	517	636	564
ENSGALG00000003189	1459	1078	1193	1206
ENSGALG00000012885	539	232	383	385
ENSGALG00000050049	2538	1526	547	253
ENSGALG00000036739	3859	1779	2774	2099
ENSGALG00000050967	1088	383	951	234
ENSGALG00000049378	46	21	28	27
ENSGALG00000017154	155	109	320	373
ENSGALG00000009748	2260	1261	1476	905
ENSGALG00000053575	3645	2864	2834	2414
ENSGALG00000017395	3	0	10	4
ENSGALG00000035476	47	15	30	23
ENSGALG00000029198	159	112	54	53
ENSGALG00000006376	1	1	5	2
ENSGALG00000006182	1101	854	734	575
ENSGALG00000012860	341	152	215	138
ENSGALG00000015073	927	613	737	427
ENSGALG00000035804	5544	5570	7734	5734
ENSGALG00000032820	215	83	193	8
ENSGALG00000041226	2749	1787	2309	1440
ENSGALG00000012006	2	2	1	0
ENSGALG00000036443	381	216	159	101
ENSGALG00000011423	553	243	268	241
ENSGALG00000015617	6877	4952	6082	4155
ENSGALG00000015069	173	118	165	130
ENSGALG00000048752	29	13	104	13
ENSGALG00000050568	4	0	5	3
ENSGALG00000005678	27055	24735	17424	11873
ENSGALG00000013365	2372	1914	2316	1982
ENSGALG00000047597	117	32	113	25
ENSGALG00000037220	10	7	8	7
ENSGALG00000014711	532	194	567	526
ENSGALG00000022891	345	199	396	309
ENSGALG00000011426	5715	1546	9812	6921
ENSGALG00000005924	124	83	20	30
ENSGALG00000017158	51	15	17	20
ENSGALG00000004528	14	3	2	4
ENSGALG00000052725	77	57	51	51
ENSGALG00000014182	49	13	171	36
ENSGALG00000021193	959	606	1579	1513
ENSGALG00000004532	117	96	73	116
ENSGALG00000052504	285	88	429	64
ENSGALG00000050638	6	4	3	2
ENSGALG00000003484	16	4	19	23
ENSGALG00000029276	3909	2167	2074	1431
ENSGALG00000004559	119	66	66	97
ENSGALG00000031312	213	143	105	48
ENSGALG00000007641	1578	1561	752	813
ENSGALG00000017159	827	406	591	549
ENSGALG00000034253	1107	639	751	793
ENSGALG00000012903	198	102	122	116
ENSGALG00000047192	46	22	82	61
ENSGALG00000041520	762	593	512	483
ENSGALG00000003553	2	0	5	7
ENSGALG00000028347	26	15	18	14
ENSGALG00000051142	6	2	7	5
ENSGALG00000011831	42	28	23	22
ENSGALG00000041181	250	168	284	180
ENSGALG00000003570	1612	1025	1168	700
ENSGALG00000051695	1	0	4	2
ENSGALG00000051188	1482	1223	2113	1544
ENSGALG00000034413	656	454	367	288
ENSGALG00000048556	25	25	38	31
ENSGALG00000004519	1341	1322	1087	1017
ENSGALG00000011489	171	78	466	323
ENSGALG00000031274	86	47	92	79
ENSGALG00000049455	3	0	2	1
ENSGALG00000009234	1216	827	673	436
ENSGALG00000007590	918	512	632	770
ENSGALG00000033428	20	20	43	82
ENSGALG00000007181	286	212	801	680
ENSGALG00000008567	534	416	278	248
ENSGALG00000006399	1000	983	694	765
ENSGALG00000052156	10	5	5	1
ENSGALG00000035230	2	2	2	0
ENSGALG00000011537	2	3	2	1
ENSGALG00000015603	225	164	177	176
ENSGALG00000004648	1477	847	867	707
ENSGALG00000011834	149	97	68	40
ENSGALG00000009229	33648	18428	21867	11712
ENSGALG00000054070	101	58	85	8
ENSGALG00000039121	272	148	59	80
ENSGALG00000011450	2	4	1	1
ENSGALG00000043394	2058	1300	1370	1098
ENSGALG00000010259	3	0	8	9
ENSGALG00000050856	12	21	43	19
ENSGALG00000027786	269	87	7043	4499
ENSGALG00000035156	6011	4555	3458	2886
ENSGALG00000006113	1370	809	847	810
ENSGALG00000009728	1909	1069	963	660
ENSGALG00000009217	1381	761	356	245
ENSGALG00000004671	261	142	209	224
ENSGALG00000011555	1794	1168	815	804
ENSGALG00000027822	118	42	125	75
ENSGALG00000023195	0	0	5	3
ENSGALG00000000109	151	113	127	110
ENSGALG00000030800	934	782	327	567
ENSGALG00000010699	858	860	636	629
ENSGALG00000026007	409	341	204	126
ENSGALG00000007599	378	306	133	128
ENSGALG00000017163	1621	1070	706	433
ENSGALG00000025751	769	722	408	83
ENSGALG00000020805	2568	1344	912	629
ENSGALG00000007608	150	65	92	100
ENSGALG00000010700	199	132	1550	1439
ENSGALG00000029072	26	10	11	8
ENSGALG00000006194	180	154	175	96
ENSGALG00000006170	228	139	284	305
ENSGALG00000031120	14667	9938	8449	8529
ENSGALG00000007666	4	1	6	5
ENSGALG00000023189	311	136	544	522
ENSGALG00000052223	699	451	411	482
ENSGALG00000006167	1650	483	530	690
ENSGALG00000038708	208	107	73	58
ENSGALG00000016744	0	0	17	15
ENSGALG00000035239	1697	637	2340	2107
ENSGALG00000034527	72	49	44	66
ENSGALG00000032156	308	182	153	158
ENSGALG00000006547	0	3	3	0
ENSGALG00000005701	1419	1352	1966	1779
ENSGALG00000006188	200	47	123	143
ENSGALG00000054095	68	16	140	4
ENSGALG00000006543	418	267	203	202
ENSGALG00000014716	1093	788	1524	1268
ENSGALG00000001812	12	12	5	2
ENSGALG00000007697	6601	7105	4801	6975
ENSGALG00000009205	187	218	74	137
ENSGALG00000008597	1079	791	587	465
ENSGALG00000001806	2	0	5	3
ENSGALG00000003578	1506	2496	946	762
ENSGALG00000021647	5	7	6	17
ENSGALG00000040620	3	4	50	32
ENSGALG00000026276	4	2	7	11
ENSGALG00000004613	978	610	993	912
ENSGALG00000004675	120	90	95	203
ENSGALG00000027902	3605	1925	1727	843
ENSGALG00000026757	31	17	18	16
ENSGALG00000007646	5	4	2	1
ENSGALG00000053332	483	285	167	100
ENSGALG00000030384	2733	2088	2001	1365
ENSGALG00000017169	2	0	0	2
ENSGALG00000029484	518	330	314	221
ENSGALG00000004704	9	3	3	6
ENSGALG00000051043	41	21	39	18
ENSGALG00000038671	5028	4268	5012	2907
ENSGALG00000035029	851	466	642	433
ENSGALG00000044727	3	3	0	0
ENSGALG00000015577	21	2	7	4
ENSGALG00000039791	189	148	131	159
ENSGALG00000052581	23	5	8	9
ENSGALG00000011562	14	10	4	11
ENSGALG00000040956	157	58	79	102
ENSGALG00000032329	354	216	143	134
ENSGALG00000053164	166	149	77	12
ENSGALG00000014717	0	0	8	9
ENSGALG00000045074	7	9	0	3
ENSGALG00000026741	149	60	51	29
ENSGALG00000049397	2872	2548	3629	5010
ENSGALG00000011571	505	346	208	111
ENSGALG00000014718	1528	892	1009	1390
ENSGALG00000007683	726	360	487	475
ENSGALG00000017170	115	66	65	54
ENSGALG00000043209	90	57	109	114
ENSGALG00000028327	5	3	2	8
ENSGALG00000007753	831	745	538	474
ENSGALG00000047687	146	87	109	150
ENSGALG00000011805	431	457	229	183
ENSGALG00000020534	246	136	137	76
ENSGALG00000011219	0	0	6	5
ENSGALG00000040709	0	0	4	3
ENSGALG00000012898	1078	696	656	536
ENSGALG00000051054	49	41	71	58
ENSGALG00000026492	584	394	314	234
ENSGALG00000012023	7	2	2	0
ENSGALG00000003265	1863	1274	956	754
ENSGALG00000001792	853	604	537	411
ENSGALG00000034769	1251	620	629	464
ENSGALG00000005789	3365	2252	1845	1145
ENSGALG00000034534	91	79	94	84
ENSGALG00000009939	1411	911	2013	1557
ENSGALG00000039861	2695	1953	1725	1200
ENSGALG00000053552	314	155	135	65
ENSGALG00000015094	54	31	34	38
ENSGALG00000006201	1612	763	746	527
ENSGALG00000051980	226	142	184	170
ENSGALG00000006237	1533	1090	838	1010
ENSGALG00000006252	51	14	188	119
ENSGALG00000004814	25	8	25	18
ENSGALG00000035047	240	125	135	105
ENSGALG00000031248	161	89	84	89
ENSGALG00000035913	106	78	52	50
ENSGALG00000031966	119	85	106	74
ENSGALG00000037483	2559	1952	1329	889
ENSGALG00000012658	2373	1372	1288	1821
ENSGALG00000008127	9483	5738	13619	6592
ENSGALG00000004839	806	620	562	532
ENSGALG00000006482	3	3	10	5
ENSGALG00000017171	437	271	375	269
ENSGALG00000028423	199	93	90	89
ENSGALG00000024378	482	253	339	187
ENSGALG00000010718	429	362	158	92
ENSGALG00000053063	575	476	296	240
ENSGALG00000052703	8	0	4	0
ENSGALG00000016350	41	33	11	9
ENSGALG00000007820	547	388	362	304
ENSGALG00000008609	1970	1368	644	387
ENSGALG00000035561	1366	540	510	578
ENSGALG00000004378	642	554	587	553
ENSGALG00000042073	150	55	28	8
ENSGALG00000006261	427	214	280	198
ENSGALG00000037485	1355	834	389	215
ENSGALG00000042521	118	43	144	119
ENSGALG00000051771	132	91	153	117
ENSGALG00000015551	4	2	5	2
ENSGALG00000053464	102	66	48	18
ENSGALG00000006284	1380	885	1711	1137
ENSGALG00000033997	138	36	77	81
ENSGALG00000007750	1414	922	863	706
ENSGALG00000014727	4669	2848	3269	3535
ENSGALG00000035254	3505	1990	3453	3488
ENSGALG00000028236	1	2	31	10
ENSGALG00000015123	214	228	132	166
ENSGALG00000052532	96	25	17	30
ENSGALG00000032029	1524	1314	1121	978
ENSGALG00000026449	393	274	126	106
ENSGALG00000007237	1474	986	962	657
ENSGALG00000034510	1435	1016	1015	716
ENSGALG00000004293	25	55	29	0
ENSGALG00000012659	676	368	230	205
ENSGALG00000003812	1005	686	531	362
ENSGALG00000004660	7	4	0	8
ENSGALG00000046708	4	3	170	88
ENSGALG00000006471	28	3	53	5
ENSGALG00000044431	57	18	15	12
ENSGALG00000040434	15	18	28	23
ENSGALG00000026311	533	153	188	154
ENSGALG00000020002	171	152	117	66
ENSGALG00000001616	31	7	10	8
ENSGALG00000033157	70	33	18	9
ENSGALG00000046568	5	5	0	1
ENSGALG00000010722	61	67	20	5
ENSGALG00000042810	1957	921	304	74
ENSGALG00000053779	14	2	166	46
ENSGALG00000055056	9	5	17	15
ENSGALG00000012039	2714	1990	1899	1326
ENSGALG00000009929	3	2	10	6
ENSGALG00000003408	474	316	630	558
ENSGALG00000002042	790	486	358	220
ENSGALG00000001486	1343	694	1942	1638
ENSGALG00000046863	46	38	7	4
ENSGALG00000049072	743	352	653	668
ENSGALG00000032365	1633	1090	1221	1154
ENSGALG00000007286	1077	950	756	680
ENSGALG00000007800	69	35	23	32
ENSGALG00000036678	5	4	0	0
ENSGALG00000039571	1	2	2	1
ENSGALG00000002119	1883	1002	941	741
ENSGALG00000036076	528	252	321	258
ENSGALG00000008701	1100	520	2466	2535
ENSGALG00000032335	324	73	11377	7097
ENSGALG00000011875	2304	2731	2281	2095
ENSGALG00000007843	4968	3850	5152	4501
ENSGALG00000006804	21	11	94	57
ENSGALG00000011579	10	13	0	7
ENSGALG00000055118	28	0	15	10
ENSGALG00000033957	1355	1067	556	440
ENSGALG00000016739	6132	3939	4435	4423
ENSGALG00000026302	1552	960	1103	727
ENSGALG00000006519	2	0	0	2
ENSGALG00000012041	794	460	634	506
ENSGALG00000035203	2251	1686	1663	1133
ENSGALG00000007861	1734	732	627	557
ENSGALG00000031021	81	44	54	29
ENSGALG00000010770	5261	1146	2919	1170
ENSGALG00000011880	1522	1907	1302	1576
ENSGALG00000032031	3	0	2	0
ENSGALG00000006534	17	7	2	4
ENSGALG00000012691	27	54	9	7
ENSGALG00000011621	8703	5168	3138	2972
ENSGALG00000006267	172	134	155	84
ENSGALG00000033857	188	102	60	75
ENSGALG00000005909	1102	1276	1327	1106
ENSGALG00000054902	48	32	71	75
ENSGALG00000016359	477	271	322	304
ENSGALG00000017179	2	2	0	2
ENSGALG00000052421	71	30	83	59
ENSGALG00000035879	29	28	77	56
ENSGALG00000048448	32	22	11	6
ENSGALG00000040759	346	126	106	72
ENSGALG00000007300	122	89	70	55
ENSGALG00000007902	652	456	1820	1917
ENSGALG00000054106	1101	1054	1015	732
ENSGALG00000023709	70	21	2646	1608
ENSGALG00000023612	197	116	107	107
ENSGALG00000011884	507	315	430	302
ENSGALG00000041560	27	3	10	6
ENSGALG00000014719	265	371	298	291
ENSGALG00000000812	10349	5607	16343	8245
ENSGALG00000017627	447	333	192	149
ENSGALG00000012697	228	126	318	296
ENSGALG00000004180	1292	819	2493	1630
ENSGALG00000046704	745	646	908	606
ENSGALG00000014730	102	6	27	1
