,gene_ids,n_cells,MT,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts
ENSGALG00010029961,ENSGALG00010029961,9,False,9,0.00045074374,99.95492562728502,9.0
ENSGALG00010029991,ENSGALG00010029991,7,False,7,0.00035057846,99.96494215455502,7.0
ENSGALG00010029995,ENSGALG00010029995,12,False,12,0.00060099165,99.93990083638002,12.0
ENSGALG00010029997,ENSGALG00010029997,1152,False,1152,0.06976511,94.2304802924826,1393.0
ENSGALG00010029998,ENSGALG00010029998,7,False,7,0.00040066108,99.96494215455502,8.0
ENSGALG00010029999,ENSGALG00010029999,3,False,3,0.00015024791,99.98497520909501,3.0
ENSGALG00010030001,ENSGALG00010030001,1244,False,1244,0.07076676,93.76972003806281,1413.0
ENSGALG00010030007,ENSGALG00010030007,389,False,389,0.02088446,98.05178544598587,417.0
ENSGALG00010030008,ENSGALG00010030008,144,False,144,0.00796314,99.27881003656033,159.0
ENSGALG00010030012,ENSGALG00010030012,65,False,65,0.003455702,99.67446286372514,69.0
ENSGALG00010030013,ENSGALG00010030013,14,False,14,0.0007011569,99.92988430911002,14.0
ENSGALG00010030016,ENSGALG00010030016,3,False,3,0.00015024791,99.98497520909501,3.0
ENSGALG00010030018,ENSGALG00010030018,7,False,7,0.00035057846,99.96494215455502,7.0
ENSGALG00010030020,ENSGALG00010030020,6,False,6,0.00030049583,99.96995041819001,6.0
ENSGALG00010030021,ENSGALG00010030021,10,False,10,0.00050082634,99.94991736365002,10.0
ENSGALG00010030022,ENSGALG00010030022,5,False,5,0.00030049583,99.97495868182502,6.0
ENSGALG00010030026,ENSGALG00010030026,111,False,111,0.0059598335,99.44408273651526,119.0
ENSGALG00010030042,ENSGALG00010030042,9,False,9,0.00045074374,99.95492562728502,9.0
ENSGALG00010030044,ENSGALG00010030044,4,False,4,0.00030049583,99.97996694546,6.0
ENSGALG00010030047,ENSGALG00010030047,97,False,97,0.0053087594,99.51419842740522,106.0
ENSGALG00010030048,ENSGALG00010030048,32,False,32,0.001652727,99.83973556368008,33.0
ENSGALG00010030049,ENSGALG00010030049,17,False,17,0.0009014875,99.91485951820503,18.0
ENSGALG00010030051,ENSGALG00010030051,3,False,3,0.00015024791,99.98497520909501,3.0
ENSGALG00010030059,ENSGALG00010030059,3,False,3,0.00020033054,99.98497520909501,4.0
ENSGALG00010030063,ENSGALG00010030063,9,False,9,0.00045074374,99.95492562728502,9.0
ENSGALG00010030064,ENSGALG00010030064,13,False,13,0.0006510743,99.93489257274503,13.0
ENSGALG00010030065,ENSGALG00010030065,45,False,45,0.0023538838,99.77462813642511,47.0
ENSGALG00010030066,ENSGALG00010030066,167,False,167,0.009165122,99.16361997295537,183.0
ENSGALG00010030067,ENSGALG00010030067,10,False,10,0.00050082634,99.94991736365002,10.0
ENSGALG00010030068,ENSGALG00010030068,42,False,42,0.0021034707,99.7896529273301,42.0
ENSGALG00010030072,ENSGALG00010030072,353,False,353,0.021034706,98.2320829368458,420.0
ENSGALG00010030073,ENSGALG00010030073,414,False,414,0.023138179,97.92657885511093,462.0
ENSGALG00010030074,ENSGALG00010030074,20,False,20,0.0011519006,99.89983472730005,23.0
ENSGALG00010030076,ENSGALG00010030076,8,False,8,0.00045074374,99.95993389092001,9.0
ENSGALG00010030081,ENSGALG00010030081,248,False,248,0.013021486,98.75795061852057,260.0
ENSGALG00010030083,ENSGALG00010030083,4,False,4,0.00020033054,99.97996694546,4.0
ENSGALG00010030084,ENSGALG00010030084,7,False,7,0.00040066108,99.96494215455502,8.0
ENSGALG00010030088,ENSGALG00010030088,3,False,3,0.00015024791,99.98497520909501,3.0
ENSGALG00010030089,ENSGALG00010030089,7,False,7,0.00035057846,99.96494215455502,7.0
ENSGALG00010030101,ENSGALG00010030101,295,False,295,0.015275204,98.52256222767566,305.0
GPS1,ENSGALG00010030102,494,False,494,0.027445285,97.5259177643111,548.0
C1QTNF1,ENSGALG00010030103,10,False,10,0.000550909,99.94991736365002,11.0
P4HB,ENSGALG00010030104,958,False,958,0.06976511,95.20208343767216,1393.0
RAB40B,ENSGALG00010030105,88,False,88,0.0044573545,99.5592728001202,89.0
GPRC5C,ENSGALG00010030106,239,False,239,0.02183603,98.80302499123555,436.0
RPTOR,ENSGALG00010030107,138,False,138,0.0072119,99.30885961837032,144.0
LLGL2,ENSGALG00010030108,1516,False,1516,0.08809536,92.40747232934342,1759.0
FBF1,ENSGALG00010030109,173,False,173,0.009365453,99.13357039114538,187.0
FUT7,ENSGALG00010027375,49,False,49,0.0027044623,99.75459508188511,54.0
