sample_name,type
crocodile_5_pic_4h,PIC_4
crocodile_5_control_1,CTRL
crocodile_3_control_2,CTRL
crocodile_3_control_1,CTRL
crocodile_3_pic_4h,PIC_4
crocodile_3_lps_4h,LPS_4
