lps_names,lps_logfoldchanges,lps_pvals,lps_pvals_adj,lps_pts,UNST_pts,1to1_bat_dragon
COL1A1,2.93680501,0.903160019,1,0.002754821,0.000489476,no
RAB19,3.049977541,0.903182955,1,0.002754821,0.000489476,RAB19
TMEM116,2.92257309,0.903182955,1,0.002754821,0.000489476,TMEM116
ENSVKKG00000000107,3.13752532,0.903182955,1,0.002754821,0.000489476,no
SLC2A4RG,3.470010281,0.903182955,1,0.002754821,0.000489476,SLC2A4RG
RGL2_3,3.509458303,0.903182955,1,0.002754821,0.000489476,no
KDM2B_2,2.46503973,0.903182955,1,0.002754821,0.000489476,no
PDLIM5_2,2.728951931,0.90320589,1,0.002754821,0.000489476,no
FAH,2.715710878,0.90320589,1,0.002754821,0.000489476,FAH
ELFN1,2.507068157,0.903228826,1,0.002754821,0.000489476,ELFN1
PLXNB3,2.283232212,0.903228826,1,0.002754821,0.000489476,PLXNB3
OCRL,0.465718299,0.903320569,1,0.02369146,0.021536955,OCRL
NAV2,0.261218727,0.903343505,1,0.007162534,0.004894763,NAV2
RCCD1,0.191333607,0.903389377,1,0.007162534,0.004894763,RCCD1
DUS4L,0.152522951,0.903756367,1,0.047933884,0.046010768,DUS4L
CCDC173,0.835951746,0.904020153,1,0.011019284,0.008810573,CCDC173
WDR20,0.050807592,0.904169254,1,0.134435262,0.135584924,WDR20
ZKSCAN1_6,0.569881022,0.904375708,1,0.015426997,0.013215859,no
TBCE,0.188345149,0.904421588,1,0.062258953,0.060695056,TBCE
MAFG,0.694045901,0.904455997,1,0.011019284,0.008810573,MAFG
