lps_names,lps_logfoldchanges,lps_pvals,lps_pvals_adj,lps_pts,UNST_pts,1to1_bat_dragon
OAF,6.052907467,0.001184363,0.012941127,0.062258953,0.001957905,OAF
TRADD,0.307628274,0.001253506,0.013593766,0.510743802,0.495839452,TRADD
TRMT6,0.643244624,0.001325424,0.014340553,0.26446281,0.222711698,TRMT6
YTHDF2,0.392183125,0.001334601,0.01442322,0.38677686,0.360744004,YTHDF2
TRMT44,0.616516471,0.001370246,0.014748996,0.239669421,0.18844836,TRMT44
PANX1,4.389569759,0.001372244,0.014762038,0.063911846,0.004405286,PANX1
ZFC3H1,0.360108674,0.001374935,0.014782519,0.544352617,0.527165932,ZFC3H1
NOP16,0.255577564,0.001383316,0.014847117,0.504683196,0.493881547,NOP16
ACER3,0.645584226,0.00141639,0.015186262,0.173002755,0.115516397,ACER3
CTNNB1,0.266460299,0.001449322,0.015511993,0.549311295,0.540871268,CTNNB1
EIF2S1,0.197560281,0.001465941,0.015653385,0.642424242,0.634361233,EIF2S1
ETV4,0.480194896,0.001469609,0.01568363,0.314600551,0.269701419,ETV4
ATP6V1G2,1.053889155,0.001494702,0.015942357,0.125068871,0.067058248,ATP6V1G2
NAIP,0.514151812,0.001516859,0.016151146,0.322865014,0.284385707,NAIP
TMBIM1,0.157207549,0.001525578,0.016234774,0.763636364,0.780225159,TMBIM1
TNFRSF12A,1.637501836,0.001538321,0.016358292,0.086501377,0.027900147,TNFRSF12A
SURF6,0.777280211,0.001541158,0.016358292,0.202754821,0.152227117,SURF6
RBCK1,0.797634363,0.001542616,0.016360449,0.192837466,0.141948116,RBCK1
PHF6,0.705050409,0.00156457,0.016574551,0.208264463,0.156632403,PHF6
FN1,0.301952899,0.001583818,0.01674067,0.461707989,0.424865394,FN1
ZNF207,0.337874562,0.00161102,0.016999473,0.424242424,0.402349486,ZNF207
FBRS,0.378621608,0.001620879,0.017093896,0.371349862,0.331375428,FBRS
PDCL3,0.375339717,0.001641495,0.017282189,0.383471074,0.350465002,PDCL3
CD47,0.231920868,0.001648094,0.017332224,0.564738292,0.54968184,CD47
CBLL1,0.61936152,0.001712901,0.017896129,0.233057851,0.183064121,CBLL1
SRP9,0.965860307,0.001849872,0.01923557,0.125068871,0.0680372,SRP9
ESCO1,0.252824664,0.001852325,0.019242854,0.626997245,0.604013705,ESCO1
RIOK1,0.477309793,0.001882722,0.019515437,0.332231405,0.294664709,RIOK1
PPIL4,0.631907642,0.001903116,0.019694212,0.242975207,0.198727362,PPIL4
UBE2I,0.22999987,0.001910115,0.019755749,0.54214876,0.539402839,UBE2I
CNP,3.86824584,0.001952131,0.020123777,0.061157025,0.003426334,CNP
CHIC2,0.468121737,0.001952131,0.020123777,0.272176309,0.227606461,CHIC2
DMXL1,0.383852541,0.001964756,0.020231705,0.43030303,0.406265296,DMXL1
WDFY1,0.486418724,0.001969654,0.020262881,0.266115702,0.216348507,WDFY1
SIRT7,0.533635557,0.002013556,0.020668206,0.2815427,0.239843368,SIRT7
DHX30,0.6970191,0.002016697,0.02067583,0.204958678,0.154674498,DHX30
PIGX,0.652921557,0.002025953,0.02075938,0.192286501,0.140479687,PIGX
CDH2,0.639008284,0.002067583,0.021162852,0.269421488,0.226627509,CDH2
PUM1,0.384011865,0.002134915,0.02179874,0.39338843,0.362701909,PUM1
WTAP,0.38138184,0.002140409,0.021824961,0.361432507,0.323543808,WTAP
DOCK11,0.463703871,0.002171958,0.022086672,0.466666667,0.451786588,DOCK11
SMARCE1,0.223916069,0.002197759,0.022336942,0.601101928,0.601566324,SMARCE1
SRSF6,0.677609742,0.0022034,0.0223733,0.223140496,0.173764072,SRSF6
