pic_names,pic_logfoldchanges,pic_pvals,pic_pvals_adj,pic_pts,UNST_pts,1to1_bat_dragon
LOC118612931,16.1170063,0.977608018,1,0.000170872,0,no
CRYGB_LOC107505161,17.9607811,0.977608018,1,0.000170872,0,no
ASPG,17.54963684,0.977608018,1,0.000170872,0,no
LOC118613235,18.31818771,0.977608018,1,0.000170872,0,no
LOC118601538,18.03851128,0.977608018,1,0.000170872,0,no
PTPRB,18.24715042,0.977608018,1,0.000170872,0,PTPRB
LOC118600984,18.37404251,0.977608018,1,0.000170872,0,no
LOC107505717,17.64881897,0.977608018,1,0.000170872,0,no
LOC118605108,17.63088226,0.977608018,1,0.000170872,0,no
MAPK10,17.70459938,0.977608018,1,0.000170872,0,MAPK10
LOC107521659,18.51102829,0.977608018,1,0.000170872,0,no
LOC107508025,18.04856491,0.977608018,1,0.000170872,0,no
TCF24,17.81175041,0.977608018,1,0.000170872,0,TCF24
HAL,16.65708351,0.977608018,1,0.000170872,0,HAL
CLCN2,17.77557945,0.977608018,1,0.000170872,0,CLCN2
LOC107516208,17.36930084,0.977608018,1,0.000170872,0,no
LOC118610252,18.28487968,0.977608018,1,0.000170872,0,no
LOC118613814,18.31040955,0.977608018,1,0.000170872,0,no
LOC118603886,18.24456215,0.977608018,1,0.000170872,0,no
FRMPD4,17.68245888,0.977608018,1,0.000170872,0,FRMPD4
LOC118601178,17.99523544,0.977608018,1,0.000170872,0,no
LOC118603024,17.43664551,0.977608018,1,0.000170872,0,no
LOC107512665,17.10349274,0.977608018,1,0.000170872,0,no
HSPA12A,18.38412285,0.977608018,1,0.000170872,0,HSPA12A
LOC118601111,17.95395851,0.977608018,1,0.000170872,0,no
LOC118609650,17.65865326,0.977608018,1,0.000170872,0,no
SULT2B1,18.06875229,0.977608018,1,0.000170872,0,no
FER1L5,18.32016945,0.977608018,1,0.000170872,0,FER1L5
LOC118609323,17.17113686,0.977608018,1,0.000170872,0,no
CDH7,18.01570892,0.977608018,1,0.000170872,0,CDH7
PRICKLE2,18.48954201,0.977608018,1,0.000170872,0,PRICKLE2
LOC118604723,17.27195358,0.977608018,1,0.000170872,0,no
CPB2,17.42594528,0.977608018,1,0.000170872,0,CPB2
LOC118607818,17.83394432,0.977608018,1,0.000170872,0,no
OPRD1,17.87412834,0.977608018,1,0.000170872,0,OPRD1
C19ORF26_LOC107500927_P,18.00502205,0.977608018,1,0.000170872,0,no
LOC118604065,18.20516014,0.977608018,1,0.000170872,0,no
LOC118610176,17.92073059,0.977608018,1,0.000170872,0,no
LOC118602995,18.30317116,0.977608018,1,0.000170872,0,no
APOB,17.48395729,0.977608018,1,0.000170872,0,APOB
KBTBD12,18.37751198,0.977608018,1,0.000170872,0,KBTBD12
LOC118609207,18.20364189,0.977608018,1,0.000170872,0,no
PRKAG3,17.95413971,0.977608018,1,0.000170872,0,PRKAG3
LOC107498543,17.93094826,0.977608018,1,0.000170872,0,no
LOC118605871,18.05842018,0.977608018,1,0.000170872,0,no
HOXA5,17.91030312,0.977608018,1,0.000170872,0,HOXA5
LOC118604761,17.7618866,0.977608018,1,0.000170872,0,no
LOC107516955,18.04027557,0.977608018,1,0.000170872,0,no
RGSL1,17.4793911,0.977608018,1,0.000170872,0,RGSL1
LOC107498228,18.06900215,0.977608018,1,0.000170872,0,no
LGI3,18.01762009,0.977608018,1,0.000170872,0,no
LOC118603868,0.169208765,0.977775532,1,0.005695734,0.005530853,no
MYO18B,0.146721542,0.97781559,1,0.002392208,0.002223186,no
MSH4,0.139565662,0.97782611,1,0.010024492,0.009868778,MSH4
LOC107512898,0.357161552,0.977873452,1,0.001253061,0.001084481,no
ZNF160_LOC107504813_P,0.178147852,0.977909868,1,0.001253061,0.001084481,no
ZXDB_LOC107506244_P,0.326390088,0.978104089,1,0.00341744,0.003253443,no
ENAH,0.519918263,0.978227906,1,0.001196104,0.001030257,ENAH
LOC118609357,0.397295117,0.978237617,1,0.001196104,0.001030257,no
TMEM240,0.269188464,0.978242472,1,0.001196104,0.001030257,TMEM240
PIGV,0.165010676,0.978399065,1,0.021985533,0.021906518,PIGV
COL11A2,0.055525448,0.978643059,1,0.001139147,0.000976033,no
LOC107513746,-0.015753876,0.978667338,1,0.014808908,0.014640495,no
LOC118603773,0.282964468,0.978759999,1,0.002221336,0.002060514,no
LOC118612467,0.163480043,0.978832025,1,0.003360483,0.003199219,no
LOC118613688,0.378212303,0.978946538,1,0.001082189,0.000921809,no
IRF5,0.094164945,0.978946943,1,0.129691861,0.131439106,IRF5
LOC107518054,0.277295202,0.978961914,1,0.001082189,0.000921809,no
ANGPT2,0.122528248,0.979011281,1,0.001082189,0.000921809,no
IMMP1L,0.111037828,0.979047294,1,0.042205388,0.042240538,IMMP1L
STYXL1,0.392700702,0.979097469,1,0.002164379,0.00200629,STYXL1
BAMBI,0.219432011,0.979192965,1,0.002164379,0.00200629,BAMBI
LOC118602842,0.470003605,0.979318,1,0.001025232,0.000867585,no
LOC107509561,0.377404958,0.979323665,1,0.001025232,0.000867585,no
LOC118612964,0.386776775,0.979323665,1,0.001025232,0.000867585,no
KIT,0.132907912,0.979346325,1,0.001025232,0.000867585,KIT
CCDC86,0.19708845,0.979501709,1,0.010821894,0.010682139,CCDC86
LOC107517663,0.506644249,0.979660736,1,0.000968275,0.000813361,no
TAS2R20_LOC107506195_P,0.417975038,0.979661141,1,0.000968275,0.000813361,no
LOC118606567,0.493026108,0.979679755,1,0.000968275,0.000813361,no
P2RX5,0.331391722,0.979688657,1,0.000968275,0.000813361,P2RX5
LOC107510257,0.293048769,0.979691085,1,0.000968275,0.000813361,no
LOC107498287,0.129366279,0.979705653,1,0.000968275,0.000813361,no
TSHZ1,0.101898931,0.979741262,1,0.006550094,0.006398438,TSHZ1
CCNJ,0.115852848,0.979829476,1,0.016175884,0.01605032,CCNJ
MFAP2,0.0065058,0.979890983,1,0.0166885,0.016538336,MFAP2
AGBL2,0.7610991,0.980018853,1,0.000911317,0.000759137,AGBL2
DNAAF4,0.427026957,0.98004637,1,0.000911317,0.000759137,no
LOC107501438,0.129199713,0.980049607,1,0.000911317,0.000759137,no
KCNH1,0.199475199,0.980062556,1,0.000911317,0.000759137,KCNH1
LOC118602368,0.231668919,0.980128919,1,0.004214843,0.004066804,no
TRAV18_LOC107506188_P,0.006555466,0.98013418,1,0.005467905,0.005313957,no
CUNH5orf49,0.413420171,0.980408133,1,0.00085436,0.000704913,no
GJA10,0.349791616,0.980417845,1,0.00085436,0.000704913,GJA10
GALNTL6,0.09873601,0.980422701,1,0.00085436,0.000704913,GALNTL6
CTSV_LOC107500189,0.141013727,0.980431603,1,0.00085436,0.000704913,no
FGF13,-0.241840988,0.980453455,1,0.00085436,0.000704913,FGF13
SAMD13,0.243992701,0.980648097,1,0.00193655,0.001789394,no
CUNHXorf65,0.189043105,0.980701512,1,0.00193655,0.001789394,no
LOC107504984,0.624469697,0.98075776,1,0.000797403,0.000650689,no
PTCRA,0.317488015,0.980771519,1,0.000797403,0.000650689,PTCRA
MICALL2,0.114510298,0.980771519,1,0.000797403,0.000650689,MICALL2
RPL37A_LOC107503364_P,0.136894956,0.980783659,1,0.000797403,0.000650689,no
KCNT2,0.210189357,0.980784468,1,0.000797403,0.000650689,KCNT2
MYBPC1,0.06915506,0.980791752,1,0.000797403,0.000650689,MYBPC1
PDGFRA,-0.377272129,0.980819269,1,0.000797403,0.000650689,PDGFRA
PPP1R16A,0.232232645,0.980906677,1,0.003018739,0.002873875,no
ANKRD34B,0.198121578,0.98108473,1,0.001879592,0.00173517,ANKRD34B
LOC118612513,0.704227209,0.981110629,1,0.000740445,0.000596465,no
LOC107501294,0.54177624,0.981113866,1,0.000740445,0.000596465,no
GSG1L,0.535105169,0.981117913,1,0.000740445,0.000596465,GSG1L
LOC118603444,0.428117633,0.981118722,1,0.000740445,0.000596465,no
LOC107514047,0.434686422,0.981121959,1,0.000740445,0.000596465,no
ROR1,0.32751736,0.981126006,1,0.000740445,0.000596465,ROR1
LOC107504024,0.171289846,0.981132481,1,0.000740445,0.000596465,no
DPH1,0.02368338,0.981143812,1,0.000740445,0.000596465,DPH1
PLA2R1,0.07572566,0.981143812,1,0.000740445,0.000596465,PLA2R1
MUC19_LOC107514218,-0.023869976,0.981172138,1,0.003018739,0.002873875,no
LOC107506019,1.319354892,0.981447314,1,0.000683488,0.000542241,no
GUCY2D,0.365571767,0.981479688,1,0.000683488,0.000542241,no
LRRC34,0.590982318,0.981482925,1,0.000683488,0.000542241,LRRC34
CUNH17orf67,0.450086325,0.981487781,1,0.000683488,0.000542241,no
LOC107514850,0.292301089,0.981494256,1,0.000683488,0.000542241,no
CCDC17,0.07016772,0.981500731,1,0.000683488,0.000542241,no
CCDC154,0.330938429,0.98152663,1,0.002904824,0.002765427,no
LHX4,0.190612391,0.981747177,1,0.001765678,0.001626722,LHX4
LOC118609399,1.28405273,0.981816377,1,0.000626531,0.000488016,no
LOC118602844,0.68201977,0.981831754,1,0.000626531,0.000488016,no
LOC118601073,0.575641215,0.981838229,1,0.000626531,0.000488016,no
COL7A1,0.520640194,0.981846323,1,0.000626531,0.000488016,no
CUNH16orf92,0.505009651,0.981848751,1,0.000626531,0.000488016,no
HSFY2_LOC107505199_P,0.217393383,0.981853607,1,0.000626531,0.000488016,no
LOC107505482,0.247686028,0.981859272,1,0.000626531,0.000488016,no
LOC118605083,-0.341118038,0.981864938,1,0.000626531,0.000488016,no
LOC118610022,1.165709138,0.982190299,1,0.000569573,0.000433792,no
CNGA4,0.730814576,0.982191109,1,0.000569573,0.000433792,CNGA4
LOC107498963,1.188664675,0.982191918,1,0.000569573,0.000433792,no
TMOD3,0.018929638,0.982197179,1,0.390043857,0.400227741,TMOD3
PPP2R2C,0.538251936,0.982204058,1,0.000569573,0.000433792,no
IL31RA,1.377937794,0.98254642,1,0.000512616,0.000379568,IL31RA
DDX25,0.906767607,0.982549657,1,0.000512616,0.000379568,DDX25
GRIK5,0.794240177,0.982556132,1,0.000512616,0.000379568,GRIK5
LOC107509033,0.561444163,0.982560179,1,0.000512616,0.000379568,no
KCNN3,0.652055502,0.982560179,1,0.000512616,0.000379568,KCNN3
TRAV41_LOC118600449,0.604775488,0.982560179,1,0.000512616,0.000379568,no
LOC107500352,0.419380665,0.982560988,1,0.000512616,0.000379568,no
LOC118611461,0.425973356,0.982564226,1,0.000512616,0.000379568,no
LOC107516481,0.252241194,0.982566654,1,0.000512616,0.000379568,no
IQCD,0.385421813,0.982568273,1,0.000512616,0.000379568,IQCD
THSD1,0.17103523,0.982568273,1,0.000512616,0.000379568,THSD1
ZBTB49,0.040415034,0.982569487,1,0.019422453,0.019303763,ZBTB49
SIRPB1_LOC107499688,0.238413975,0.982569891,1,0.000512616,0.000379568,no
SLC9C1,-0.195438981,0.982573938,1,0.000512616,0.000379568,SLC9C1
CCDC113,0.033188801,0.982574748,1,0.000512616,0.000379568,CCDC113
ACTN2,0.38215661,0.982608741,1,0.003816142,0.003687236,ACTN2
LOC107521785,0.084556408,0.982791659,1,0.002733952,0.002602755,no
KCNJ1,0.019811377,0.982824843,1,0.005012246,0.004880165,KCNJ1
CETN4_LOC107518503,0.646741569,0.982917112,1,0.000455659,0.000325344,no
PRELID3A,0.696060479,0.98291954,1,0.000455659,0.000325344,no
LOC107501288,0.592008531,0.98292035,1,0.000455659,0.000325344,no
COL6A6,0.603449225,0.98292035,1,0.000455659,0.000325344,no
ESM1,0.506244957,0.982921969,1,0.000455659,0.000325344,ESM1
LOC107505163,0.436552048,0.982922778,1,0.000455659,0.000325344,no
LAMC2,0.164667368,0.982925206,1,0.000455659,0.000325344,LAMC2
LOC118602946,0.439496785,0.982925206,1,0.000455659,0.000325344,no
LOC118604447,0.26279977,0.982925206,1,0.000455659,0.000325344,no
LOC118602363,0.147424385,0.982929253,1,0.000455659,0.000325344,no
MEIS1,-0.136444733,0.98293249,1,0.000455659,0.000325344,MEIS1
LOC107513160,0.180288643,0.98293249,1,0.000455659,0.000325344,no
MAPRE1_LOC107507297_P,0.227231205,0.982934919,1,0.000455659,0.000325344,no
