pic_names,pic_logfoldchanges_x,pic_pvals_x,pic_pvals_adj_x,pic_pts_x,UNST_pts_x,1to1_bat_dragon_x,pic_logfoldchanges_y,pic_pvals_y,pic_pvals_adj_y,pic_pts_y,UNST_pts_y,1to1_bat_dragon_y
AKIRIN2,0.167611584,0.001945512,0.01541918,0.264452925,0.250786249,AKIRIN2,0.508586884,0.000156248,0.001967197,0.242807825,0.174253549,AKIRIN2
GNG5,0.1669828,5.56E-14,1.76E-12,0.658996412,0.625637133,GNG5,-0.052532807,0.046640587,0.303354562,0.570771001,0.490455213,GNG5
MBNL1,0.166023508,3.07E-24,1.66E-22,0.845132995,0.831146296,MBNL1,0.150324106,0.008844116,0.073105131,0.789988493,0.725893294,MBNL1
IL1B,0.159978911,0.002277852,0.017723108,0.108617645,0.131330658,IL1B,2.402141571,8.66E-40,1.36E-37,0.334867664,0.092511013,IL1B
SH3GLB1,0.153710231,0.004671552,0.033471594,0.28296406,0.272638542,SH3GLB1,0.213872135,0.000322198,0.003825613,0.859608746,0.769946158,SH3GLB1
FMR1,0.15128988,0.003894673,0.028464331,0.264054223,0.249430647,FMR1,0.24289453,0.000145224,0.001838262,0.489067894,0.412139011,FMR1
XIAP_LOC107497750,0.147709951,0.003337712,0.024892469,0.247821382,0.232024726,XIAP,,,,,,
NDUFV2,0.144099668,0.000427805,0.003972523,0.353989862,0.341177746,NDUFV2,-0.151581988,0.149754693,0.775288224,0.570195627,0.542829173,NDUFV2
CDC42SE2,0.141115084,3.61E-07,5.73E-06,0.506863359,0.493384665,CDC42SE2,0.14203015,0.399261854,1,0.093210587,0.076358297,CDC42SE2
BBX,0.140706241,0.000674832,0.005989746,0.303582617,0.285218523,BBX,-0.244695067,0.35090066,1,0.15132336,0.167400881,BBX
CST7,0.140089586,0.005273463,0.037271841,0.248447913,0.231970502,CST7,0.052836131,0.785233442,1,0.021864212,0.016642193,CST7
FXR1,0.13857165,0.000171889,0.001740429,0.38013328,0.367367964,FXR1,0.314592451,3.19E-05,0.000457014,0.375719217,0.290748899,FXR1
TCEA1,0.134428948,0.002825225,0.021471711,0.349205445,0.340852402,TCEA1,0.025973972,0.215209447,1,0.377445339,0.343122859,TCEA1
ARHGAP15,0.133060664,0.000354558,0.003357058,0.365552201,0.346925496,ARHGAP15,-0.327142358,0.870830666,1,0.017836594,0.014684288,ARHGAP15
ATP6,0.131957754,1.29E-28,8.21E-27,0.991969015,0.991757944,ATP6,0.184835851,0.286463057,1,0.97410817,0.932941752,ATP6
THOC2,0.127812728,0.003550783,0.026221166,0.314917127,0.300997723,THOC2,0.534014404,6.88E-22,4.07E-20,0.791139241,0.63876652,THOC2
BCLAF1,0.118463017,8.64E-05,0.000928218,0.475764652,0.462531179,BCLAF1,0.327926517,3.88E-06,6.34E-05,0.52013809,0.424865394,BCLAF1
NDFIP1,0.118411697,0.000763083,0.006689356,0.413510281,0.403589632,NDFIP1,-0.124163926,0.000358189,0.004197204,0.82853855,0.776798825,NDFIP1
ACTR3,0.117990948,4.86E-07,7.57E-06,0.579427009,0.562791454,ACTR3,0.255922109,2.44E-06,4.10E-05,0.927502877,0.864415076,ACTR3
UQCRH_LOC107517907,0.111392744,3.93E-09,7.95E-08,0.648801048,0.644127535,UQCRH,,,,,,
SKIL,0.108894192,2.14E-05,0.00025634,0.559321069,0.548530528,SKIL,0.540360749,4.19E-08,8.88E-07,0.332566168,0.228585414,SKIL
B2M,0.108346939,2.01E-112,4.54E-110,0.993848607,0.996529661,B2M,0.016302638,0.071364486,0.432844629,0.989643268,0.977973568,B2M
RBM3,0.108159401,2.87E-09,5.91E-08,0.678532779,0.667010086,RBM3,0.375050217,4.63E-39,6.89E-37,0.955120829,0.926578561,RBM3
TRA2B,0.10000667,0.006614032,0.045499979,0.435609728,0.43379243,TRA2B,0.162485585,0.797208887,1,0.050632911,0.045521292,TRA2B
CYTIP_LOC107513427,0.097873218,0.000815185,0.007087698,0.446032921,0.428153129,CYTIP,,,,,,
DEK,0.092528321,0.000200144,0.002008198,0.570883408,0.562574558,DEK,-0.06495221,0.883604521,1,0.383774453,0.363680861,DEK
PSMA2,0.092453472,0.001345958,0.011101543,0.448652959,0.437045874,PSMA2,0.96978116,2.22E-83,1.07E-80,0.894131185,0.773861968,PSMA2
ZC3H11A,0.084767506,0.006314218,0.043696445,0.469442388,0.464537469,ZC3H11A,0.739743173,7.10E-12,2.18E-10,0.336593786,0.211453744,ZC3H11A
EEF1B2,0.071245231,0.004312743,0.031216047,0.556757988,0.551946644,EEF1B2,-0.049384825,0.04322286,0.284195981,0.914844649,0.865394028,EEF1B2
PTPRC,0.059423592,0.000265991,0.002596462,0.871618158,0.866608828,PTPRC,0.292705655,1.66E-07,3.24E-06,0.785960875,0.684777288,PTPRC
GABARAPL2,0.057267945,0.001858569,0.014817487,0.645155778,0.652911832,GABARAPL2,0.262059987,3.61E-05,0.00051063,0.407940161,0.317670093,GABARAPL2
RPLP2,0.045776468,2.35E-05,0.00027949,0.915930968,0.924791237,RPLP2,-0.007255793,0.709422131,1,0.981012658,0.983357807,RPLP2
RPS21,0.045441005,2.09E-07,3.42E-06,0.92658199,0.936666305,RPS21,0.171806186,0.000357862,0.004195994,0.932105869,0.880078316,RPS21
