	Turtle-5-control-2	Turtle-5-control-1	Turtle-5-8h-PIC	Turtle-3-8h-PIC
ENSCPBG00000014498	21	22	23	10
ENSCPBG00000004815	14	17	12	73
ENSCPBG00000004641	25	39	10	380
ENSCPBG00000002755	49	43	10	313
ENSCPBG00000028372	184	216	147	390
ENSCPBG00000021014	5	2	0	6
ENSCPBG00000020177	4	2	0	117
ENSCPBG00000018823	186	180	178	182
ENSCPBG00000014801	3	0	2	1
ENSCPBG00000014213	5	5	0	20
ENSCPBG00000013646	447	441	477	370
ENSCPBG00000012991	302	334	158	289
ENSCPBG00000012751	1096	1155	894	1071
ENSCPBG00000009852	4	6	6	3
ENSCPBG00000009612	1066	737	1021	875
ENSCPBG00000008352	176	178	58	194
ENSCPBG00000007597	0	1	3	5
ENSCPBG00000006806	5786	5917	5132	5028
ENSCPBG00000006187	207	240	154	382
ENSCPBG00000004419	3191	4106	3316	446
ENSCPBG00000004409	5567	5649	5559	963
ENSCPBG00000004148	7	10	12	8
ENSCPBG00000003947	6	1	3	2
ENSCPBG00000003871	1653	926	2242	2357
ENSCPBG00000003707	17	11	7	9
ENSCPBG00000003056	1071	1187	1231	119
ENSCPBG00000003052	6	6	0	10
ENSCPBG00000002987	3	2	0	1
ENSCPBG00000002032	13	5	5	20
ENSCPBG00000002023	235	274	251	229
ENSCPBG00000001987	2	3	0	1
ENSCPBG00000001820	5	5	3	184
ENSCPBG00000001225	16	19	22	45
ENSCPBG00000000832	1	2	0	2
ENSCPBG00000000468	46	24	4	22
ENSCPBG00000028437	57	50	31	64
ENSCPBG00000028436	4	2	5	5
ENSCPBG00000028426	166	179	151	76
ENSCPBG00000028425	232	208	195	78
ENSCPBG00000028421	363	297	282	298
ENSCPBG00000028407	446	354	515	1380
ENSCPBG00000028406	257	268	212	350
ENSCPBG00000028405	471	444	393	298
ENSCPBG00000028404	493	448	377	656
ENSCPBG00000028402	642	547	495	2150
ENSCPBG00000028400	121	122	145	201
ENSCPBG00000028398	5	8	3	8
ENSCPBG00000028396	652	656	695	835
ENSCPBG00000028395	1581	1647	1538	2131
ENSCPBG00000028394	84	60	57	1366
ENSCPBG00000028392	20	15	18	23
ENSCPBG00000028390	168	166	109	393
ENSCPBG00000028385	1491	1266	1609	1588
ENSCPBG00000028384	2	2	1	13
ENSCPBG00000028383	560	558	418	588
ENSCPBG00000028382	47	49	66	113
ENSCPBG00000028381	792	710	764	1473
ENSCPBG00000028380	29	28	19	762
ENSCPBG00000028379	2981	2612	4392	5221
ENSCPBG00000028377	593	439	730	810
ENSCPBG00000028376	49	42	40	35
ENSCPBG00000028375	234	303	212	271
ENSCPBG00000028373	2	2	5	12
ENSCPBG00000028371	26	32	4	163
ENSCPBG00000028370	419	305	468	291
ENSCPBG00000028369	2	2	0	0
ENSCPBG00000028368	1	2	1	4
ENSCPBG00000028362	708	673	371	822
ENSCPBG00000028361	176	204	106	257
ENSCPBG00000028360	1058	1006	788	2444
ENSCPBG00000028358	58	79	40	42
ENSCPBG00000028347	584	510	544	2456
ENSCPBG00000028344	134	132	65	987
ENSCPBG00000028343	1283	1255	995	1172
ENSCPBG00000028342	565	554	273	1531
ENSCPBG00000028340	20	19	26	33
ENSCPBG00000028333	233	346	166	401
ENSCPBG00000028324	162	112	119	318
ENSCPBG00000028301	83	63	36	19
ENSCPBG00000028300	2	7	5	2
ENSCPBG00000028299	1269	944	1593	2061
ENSCPBG00000028297	597	577	448	868
ENSCPBG00000028294	265	234	178	351
ENSCPBG00000028293	325	353	313	484
ENSCPBG00000028289	63	61	74	118
ENSCPBG00000028288	326	409	333	794
ENSCPBG00000028286	22	42	11	19
ENSCPBG00000028285	270	250	183	969
ENSCPBG00000028279	9071	10002	7242	12189
ENSCPBG00000028278	1	8	6	23
ENSCPBG00000028276	120	115	68	109
ENSCPBG00000028273	106	123	95	117
ENSCPBG00000028270	466	542	305	513
ENSCPBG00000028268	99	95	59	79
ENSCPBG00000028258	383	420	311	1342
ENSCPBG00000028249	182	180	138	434
ENSCPBG00000028245	24	21	18	146
ENSCPBG00000028243	73	50	60	114
ENSCPBG00000028233	10	2	8	110
ENSCPBG00000028229	9	8	7	13
ENSCPBG00000028223	116	143	96	104
ENSCPBG00000028221	625	491	440	462
ENSCPBG00000028220	1781	1255	2525	2949
ENSCPBG00000028219	8	9	4	13
ENSCPBG00000028218	120	96	64	116
ENSCPBG00000028214	143	121	111	150
ENSCPBG00000028204	0	2	2	0
ENSCPBG00000028203	5	12	7	10
ENSCPBG00000028201	36	76	14	42
ENSCPBG00000028198	138	112	78	185
ENSCPBG00000028192	389	365	245	62
ENSCPBG00000028189	494	499	513	560
ENSCPBG00000028187	21	35	11	36
ENSCPBG00000028186	5	13	4	1
ENSCPBG00000028185	52	41	51	75
ENSCPBG00000028181	590	452	647	969
ENSCPBG00000028179	178	148	119	491
ENSCPBG00000028175	8	2	1	247
ENSCPBG00000028173	8	4	2	32
ENSCPBG00000028171	11	6	6	94
ENSCPBG00000028168	7	3	5	29
ENSCPBG00000028159	158	105	100	16
ENSCPBG00000028158	75	53	65	95
ENSCPBG00000028155	78	66	70	58
ENSCPBG00000028151	6842	5887	9572	6852
ENSCPBG00000028147	539	610	440	1154
ENSCPBG00000028144	14	15	13	7
ENSCPBG00000028143	3	2	1	7
ENSCPBG00000028138	79	95	64	44
ENSCPBG00000028135	37289	28068	50844	20021
ENSCPBG00000028134	170	120	121	72
ENSCPBG00000028133	796	633	436	839
ENSCPBG00000028130	12	21	12	6
ENSCPBG00000028118	8	3	4	1
ENSCPBG00000028117	655	562	587	765
ENSCPBG00000028116	593	477	688	832
ENSCPBG00000028114	308	221	244	424
ENSCPBG00000028103	421	425	287	380
ENSCPBG00000028101	2121	2052	1979	4356
ENSCPBG00000028099	334	307	282	272
ENSCPBG00000028097	194	250	116	186
ENSCPBG00000028086	1302	1245	1063	731
ENSCPBG00000028081	235	215	141	310
ENSCPBG00000028079	23	12	27	33
ENSCPBG00000028078	58	69	41	39
ENSCPBG00000028074	2420	1992	2319	2361
ENSCPBG00000028072	8	10	11	23
ENSCPBG00000028071	104	112	69	107
ENSCPBG00000028069	37	36	35	51
ENSCPBG00000028068	552	516	581	655
ENSCPBG00000028067	214	232	122	344
ENSCPBG00000028065	1163	1118	1139	1454
ENSCPBG00000028064	2	0	0	126
ENSCPBG00000028063	5	3	3	189
ENSCPBG00000028062	106	86	48	141
ENSCPBG00000028060	283	301	227	357
ENSCPBG00000028059	535	500	494	874
ENSCPBG00000028057	6	3	0	425
ENSCPBG00000028055	105	79	108	80
ENSCPBG00000028054	405	381	472	233
ENSCPBG00000028053	5169	4180	6284	10607
ENSCPBG00000028046	201	207	98	217
ENSCPBG00000028043	32	44	24	59
ENSCPBG00000028041	223	215	180	407
ENSCPBG00000028040	317	217	309	367
ENSCPBG00000028039	190	197	136	90
ENSCPBG00000028035	11	9	10	75
ENSCPBG00000028034	1856	1643	1143	3683
ENSCPBG00000028029	199	167	148	628
ENSCPBG00000028027	1368	1303	1415	1090
ENSCPBG00000028022	25	17	23	6
ENSCPBG00000028020	1	3	0	55
ENSCPBG00000028019	7	3	4	79
ENSCPBG00000028017	287	258	137	625
ENSCPBG00000028016	199	143	218	484
ENSCPBG00000028009	773	703	373	1383
ENSCPBG00000028003	16	17	13	8
ENSCPBG00000028002	0	0	2	3
ENSCPBG00000027999	760	608	706	8079
ENSCPBG00000027991	374	378	291	1104
ENSCPBG00000027982	7	7	11	19
ENSCPBG00000027977	117	92	115	140
ENSCPBG00000027975	3589	3110	3880	3003
ENSCPBG00000027973	239	205	121	325
ENSCPBG00000027970	260	189	266	249
ENSCPBG00000027964	493	437	410	2106
ENSCPBG00000027960	2056	1967	1150	1627
ENSCPBG00000027958	62	49	40	56
ENSCPBG00000027952	172	187	125	117
ENSCPBG00000027951	2917	2427	1987	4079
ENSCPBG00000027949	1973	1658	902	36
ENSCPBG00000027932	289	297	156	238
ENSCPBG00000027927	1494	1858	1273	1113
ENSCPBG00000027926	196	215	123	165
ENSCPBG00000027925	276	237	235	316
ENSCPBG00000027923	56	62	109	13
ENSCPBG00000027918	24	32	9	38
ENSCPBG00000027917	6	3	1	7
ENSCPBG00000027913	249	199	164	227
ENSCPBG00000027911	841	767	734	3955
ENSCPBG00000027905	231	216	180	440
ENSCPBG00000027904	10	9	7	326
ENSCPBG00000027903	34	18	32	47
ENSCPBG00000027902	248	197	82	8851
ENSCPBG00000027894	0	1	2	119
ENSCPBG00000027891	48	47	52	117
ENSCPBG00000027890	4	3	2	2
ENSCPBG00000027888	317	345	295	458
ENSCPBG00000027886	2	1	4	24
ENSCPBG00000027885	8403	7237	5327	6745
ENSCPBG00000027874	2	6	5	5
ENSCPBG00000027873	42	63	39	13
ENSCPBG00000027871	364	322	360	251
ENSCPBG00000027867	9	9	14	26
ENSCPBG00000027863	35	54	47	68
ENSCPBG00000027861	2	1	1	4
ENSCPBG00000027860	84	42	58	631
ENSCPBG00000027859	936	958	818	1424
ENSCPBG00000027858	967	926	875	1376
ENSCPBG00000027857	850	983	451	1885
ENSCPBG00000027855	257	269	280	386
ENSCPBG00000027854	5	3	4	3
ENSCPBG00000027853	0	0	3	2
ENSCPBG00000027852	259	222	116	215
ENSCPBG00000027846	503	468	469	556
ENSCPBG00000027840	167	168	114	344
ENSCPBG00000013969	110	86	74	44
ENSCPBG00000004944	52	46	41	78
ENSCPBG00000013967	47	27	27	18
ENSCPBG00000013955	312	220	242	231
ENSCPBG00000024122	3	1	0	2
ENSCPBG00000013944	3	8	5	27
ENSCPBG00000011150	3789	3351	2766	2925
ENSCPBG00000013935	1	5	10	74
ENSCPBG00000013923	8	1	2	40
ENSCPBG00000003211	25	28	26	34
ENSCPBG00000016789	242	192	275	135
ENSCPBG00000023836	1912	1612	1927	1518
ENSCPBG00000013920	869	765	612	4522
ENSCPBG00000022231	6	1	3	0
ENSCPBG00000013915	1389	1325	1142	10688
ENSCPBG00000013906	203	335	179	606
ENSCPBG00000020010	259	212	301	138
