	turtle_3_control_1	turtle_3_control_2	turtle_3_lps_8h	turtle_5_lps_8h
ENSCPBG00000007735	83	21	43	6
ENSCPBG00000023653	1	4	2	1
ENSCPBG00000002155	923	314	1015	163
ENSCPBG00000010894	49	32	30	372
ENSCPBG00000002709	128	49	137	89
ENSCPBG00000001770	1428	765	1350	718
ENSCPBG00000009423	156	79	136	86
ENSCPBG00000016178	849	359	798	2142
ENSCPBG00000004237	2166	759	1649	898
ENSCPBG00000002188	35	16	22	2
ENSCPBG00000005657	783	386	816	181
ENSCPBG00000002718	2671	1138	2469	801
ENSCPBG00000015765	663	278	741	172
ENSCPBG00000002148	845	449	887	642
ENSCPBG00000011948	10853	4860	10856	3822
ENSCPBG00000011692	3443	1742	3415	1061
ENSCPBG00000003209	702	319	537	323
ENSCPBG00000002897	1085	481	950	324
ENSCPBG00000004216	12	13	18	12
ENSCPBG00000022719	937	280	1145	138
ENSCPBG00000002146	29	16	12	1
ENSCPBG00000016137	943	306	850	661
ENSCPBG00000002775	165	101	191	102
ENSCPBG00000006276	16	11	9	6
ENSCPBG00000020784	338	206	545	10
ENSCPBG00000020907	482	153	462	94
ENSCPBG00000008746	392	195	306	148
ENSCPBG00000004111	300	123	269	50
ENSCPBG00000007265	4	1	1	2
ENSCPBG00000009997	564	252	440	162
ENSCPBG00000002126	5	6	2	0
ENSCPBG00000024886	54	16	57	58
ENSCPBG00000008384	6470	2290	5777	898
ENSCPBG00000000178	280	74	250	81
ENSCPBG00000001045	419	157	466	173
ENSCPBG00000003192	3003	1125	2720	825
ENSCPBG00000002119	469	134	476	223
ENSCPBG00000005431	389	178	379	122
ENSCPBG00000015168	51	12	32	9
ENSCPBG00000015869	1916	933	1643	74
ENSCPBG00000027657	4733	1775	3874	1331
ENSCPBG00000006843	109	73	174	94
ENSCPBG00000015206	443	186	359	17
ENSCPBG00000007234	8	2	5	0
ENSCPBG00000007591	327	115	242	119
ENSCPBG00000009043	1086	428	1008	415
ENSCPBG00000016961	264	114	207	92
ENSCPBG00000005182	14	6	20	9
ENSCPBG00000005578	2855	1341	2321	455
ENSCPBG00000017677	8831	4358	6758	9405
ENSCPBG00000022525	8	1	12	9
ENSCPBG00000005254	735	484	1112	456
ENSCPBG00000015066	896	373	939	1349
ENSCPBG00000002086	400	118	406	167
ENSCPBG00000021659	200	79	183	157
ENSCPBG00000009492	31	7	24	41
ENSCPBG00000005703	179	87	210	169
ENSCPBG00000025647	3520	1673	2954	1468
ENSCPBG00000005411	262	118	218	90
ENSCPBG00000011509	128	61	141	72
ENSCPBG00000002083	29	12	35	21
ENSCPBG00000013940	83	44	121	56
ENSCPBG00000017760	261	124	274	35
ENSCPBG00000017762	1126	448	1027	591
ENSCPBG00000002079	390	191	430	147
ENSCPBG00000002473	72	27	86	6
ENSCPBG00000018673	24	17	23	10
ENSCPBG00000002076	1164	521	927	534
ENSCPBG00000023504	15	7	21	15
ENSCPBG00000020360	2	1	4	0
ENSCPBG00000018622	3	5	13	0
ENSCPBG00000005247	776	362	572	245
ENSCPBG00000018563	345	123	342	171
ENSCPBG00000020653	926	369	906	400
ENSCPBG00000000577	15	6	29	10
ENSCPBG00000005331	2	0	1	2
ENSCPBG00000012391	14	2	10	18
ENSCPBG00000002071	574	267	474	380
ENSCPBG00000002070	11	6	8	3
ENSCPBG00000006994	7	0	8	19
ENSCPBG00000002628	678	264	784	204
ENSCPBG00000011937	1046	400	893	565
ENSCPBG00000011980	1767	756	1568	374
ENSCPBG00000000331	6397	3002	4126	515
ENSCPBG00000007761	67	23	47	17
ENSCPBG00000002068	563	251	452	180
ENSCPBG00000002061	1362	491	1463	439
ENSCPBG00000000217	211	100	189	14
ENSCPBG00000002213	247	130	255	124
ENSCPBG00000003021	136	65	94	91
ENSCPBG00000011542	72	30	64	36
ENSCPBG00000014851	8	7	17	1
ENSCPBG00000009581	248	106	217	69
ENSCPBG00000021161	40002	17209	31433	30865
ENSCPBG00000022643	166	51	160	105
ENSCPBG00000009422	839	403	709	221
ENSCPBG00000008613	1486	443	1566	471
ENSCPBG00000007923	2170	832	1668	848
ENSCPBG00000003247	27195	16875	31115	5194
ENSCPBG00000027123	77	23	39	25
ENSCPBG00000002048	79	30	57	31
ENSCPBG00000004584	5995	2126	6138	830
ENSCPBG00000001727	18	7	12	7
ENSCPBG00000004091	8	7	8	16
ENSCPBG00000002044	11	2	13	5
ENSCPBG00000003261	102	48	101	7
ENSCPBG00000002521	18	12	29	11
ENSCPBG00000023766	7431	3270	6870	2700
ENSCPBG00000005880	255	110	276	121
ENSCPBG00000000212	3	1	2	0
ENSCPBG00000006530	175	59	180	67
ENSCPBG00000026192	2	0	1	2
ENSCPBG00000017541	10	4	6	26
ENSCPBG00000004363	231	66	276	75
ENSCPBG00000012079	161	82	128	34
ENSCPBG00000006491	133	39	164	58
ENSCPBG00000011401	11651	4738	10450	3527
ENSCPBG00000001995	59	32	53	52
ENSCPBG00000012009	10	6	12	2
ENSCPBG00000024646	3588	1522	2766	1333
ENSCPBG00000020840	3587	1381	3331	796
ENSCPBG00000021364	25	4	15	14
ENSCPBG00000001961	59	32	49	276
ENSCPBG00000009638	781	378	791	277
ENSCPBG00000001952	1898	873	1844	431
ENSCPBG00000027230	8992	4161	8122	5136
ENSCPBG00000006110	17	6	17	4
ENSCPBG00000005791	1636	625	1382	241
ENSCPBG00000006993	1674	710	1690	193
ENSCPBG00000001949	269	101	224	34
ENSCPBG00000003370	82	37	68	10
ENSCPBG00000007491	143	62	128	79
ENSCPBG00000001943	9	12	11	13
ENSCPBG00000005985	184	72	165	37
ENSCPBG00000005831	90	35	104	64
ENSCPBG00000028248	3474	1376	3075	1680
ENSCPBG00000009770	177	84	130	72
ENSCPBG00000003222	100	35	89	16
ENSCPBG00000007734	1136	596	914	429
ENSCPBG00000006517	173	48	152	42
ENSCPBG00000000196	708	284	889	361
ENSCPBG00000012956	403	159	378	16
ENSCPBG00000009578	933	419	855	414
ENSCPBG00000006348	51	19	59	7
ENSCPBG00000013968	5901	2545	5350	277
ENSCPBG00000010818	804	308	733	152
ENSCPBG00000018054	647	269	651	62
ENSCPBG00000010797	1074	473	831	367
ENSCPBG00000023206	6	4	12	2
ENSCPBG00000004985	1083	495	1044	35
ENSCPBG00000021977	180	80	168	163
ENSCPBG00000022807	508	258	444	253
ENSCPBG00000003190	4737	1210	5024	1258
ENSCPBG00000004446	1998	955	1633	221
ENSCPBG00000001012	528	214	381	0
ENSCPBG00000009419	24	17	24	19
ENSCPBG00000001910	57	26	62	33
ENSCPBG00000012924	299	123	326	71
ENSCPBG00000018375	2	0	4	0
ENSCPBG00000027533	1381	676	1064	438
ENSCPBG00000010457	1482	677	1337	442
ENSCPBG00000011467	615	400	891	135
ENSCPBG00000008232	616	221	604	195
ENSCPBG00000001905	9	3	11	3
ENSCPBG00000001804	19	7	14	3
ENSCPBG00000020746	17	5	22	2
ENSCPBG00000001507	746	368	609	282
ENSCPBG00000013861	8	2	11	3
ENSCPBG00000006258	14	3	10	5
ENSCPBG00000001901	181	73	200	3
ENSCPBG00000001900	175	72	120	49
ENSCPBG00000020557	1142	458	937	1198
ENSCPBG00000005393	15	6	23	1
ENSCPBG00000001898	226	90	173	93
ENSCPBG00000022679	4845	1836	4546	1408
ENSCPBG00000005493	60	42	75	64
ENSCPBG00000021761	521	195	493	188
ENSCPBG00000009181	896	426	1080	253
ENSCPBG00000001893	517	211	518	163
ENSCPBG00000012361	1548	653	1503	583
ENSCPBG00000006801	2615	1261	2084	1569
ENSCPBG00000008743	400	165	511	245
ENSCPBG00000007880	150	56	63	125
ENSCPBG00000006248	1239	484	1073	718
ENSCPBG00000001885	2705	1004	2439	780
ENSCPBG00000003859	5089	2226	4442	2975
ENSCPBG00000001176	7	1	5	5
ENSCPBG00000013166	21	4	10	7
ENSCPBG00000006175	7	1	4	0
ENSCPBG00000002835	122	59	124	76
ENSCPBG00000001881	1391	716	1442	505
ENSCPBG00000016435	905	391	777	258
ENSCPBG00000001880	88	44	105	22
ENSCPBG00000006157	425	141	271	136
ENSCPBG00000000908	336	150	305	227
ENSCPBG00000026154	0	0	2	2
ENSCPBG00000001867	1667	722	1467	852
ENSCPBG00000024474	850	331	594	510
ENSCPBG00000026498	358	127	323	361
ENSCPBG00000001863	134	66	120	46
ENSCPBG00000001861	2	1	5	10
ENSCPBG00000009323	653	262	586	160
ENSCPBG00000000446	35	17	39	3
ENSCPBG00000004766	93	52	119	37
ENSCPBG00000008220	479	200	382	299
ENSCPBG00000016039	336	136	430	172
ENSCPBG00000025940	137	47	167	84
ENSCPBG00000002783	82	61	71	43
ENSCPBG00000004936	2674	1353	3053	1543
ENSCPBG00000027137	134	56	111	86
ENSCPBG00000009806	1649	668	1665	472
ENSCPBG00000024241	372	138	282	1750
ENSCPBG00000007916	6	1	8	2
ENSCPBG00000015288	1376	604	1163	652
ENSCPBG00000005940	54	26	84	64
ENSCPBG00000008298	5943	2849	4545	4980
ENSCPBG00000015463	29	21	31	0
ENSCPBG00000001818	5438	2340	4229	2267
ENSCPBG00000026666	3	4	7	19
ENSCPBG00000006170	272	111	237	84
ENSCPBG00000018705	10	2	6	1
ENSCPBG00000002319	599	205	548	196
ENSCPBG00000011592	3115	1360	2765	173
ENSCPBG00000009937	2259	993	2090	1482
ENSCPBG00000003938	1094	501	1072	464
ENSCPBG00000000241	1109	559	1196	684
ENSCPBG00000004171	1857	716	2013	246
ENSCPBG00000001812	1123	378	1016	262
ENSCPBG00000001807	375	155	371	12
ENSCPBG00000020061	7	0	1	6
ENSCPBG00000016862	13312	5942	10860	9516
ENSCPBG00000001800	5	1	6	5
ENSCPBG00000021121	874	336	740	208
ENSCPBG00000001799	218	84	236	72
ENSCPBG00000016612	2143	868	1988	918
ENSCPBG00000027554	24	10	40	0
ENSCPBG00000023929	1236	483	1232	568
ENSCPBG00000026511	13	4	14	1
ENSCPBG00000008993	3777	1718	3362	777
ENSCPBG00000001769	373	188	431	201
ENSCPBG00000008991	36860	16879	37154	2898
ENSCPBG00000004246	69	18	68	16
ENSCPBG00000001792	1203	456	1076	191
ENSCPBG00000022493	1	2	4	0
ENSCPBG00000002352	71	19	54	6
ENSCPBG00000006102	35	15	12	3
ENSCPBG00000001024	2821	1399	2594	1943
ENSCPBG00000010561	320	157	476	135
ENSCPBG00000003812	1212	536	1030	591
ENSCPBG00000008196	8	7	11	0
ENSCPBG00000023913	0	2	2	1
ENSCPBG00000001962	41	22	52	19
ENSCPBG00000007979	27	10	18	7
ENSCPBG00000001782	4	2	4	1
ENSCPBG00000026015	221	103	254	94
ENSCPBG00000019693	625	306	488	139
ENSCPBG00000008181	28	16	15	11
ENSCPBG00000010703	490	424	805	307
ENSCPBG00000005134	51	13	30	104
ENSCPBG00000025231	70	29	82	17
ENSCPBG00000008358	960	412	1008	227
ENSCPBG00000002343	33	10	22	10
ENSCPBG00000027535	6105	2325	5641	1349
ENSCPBG00000005138	2	0	3	1
ENSCPBG00000024237	356	154	349	90
ENSCPBG00000003497	18	10	12	7
ENSCPBG00000000839	34	14	28	6
ENSCPBG00000009825	9	3	3	1
ENSCPBG00000021334	1321	570	1315	397
ENSCPBG00000004011	329	99	368	179
ENSCPBG00000004999	30	12	30	4
ENSCPBG00000024032	983	400	782	319
ENSCPBG00000001553	1619	813	1565	807
ENSCPBG00000023980	121	65	59	133
ENSCPBG00000001948	10	5	15	3
ENSCPBG00000006073	17	7	13	11
ENSCPBG00000015651	205	186	307	121
ENSCPBG00000005887	91	35	105	34
ENSCPBG00000009577	1253	524	1002	867
ENSCPBG00000003611	2686	1141	2705	606
ENSCPBG00000009856	27	10	19	0
ENSCPBG00000011894	37	10	37	1
ENSCPBG00000009050	1	4	4	2
ENSCPBG00000028412	33	15	37	24
ENSCPBG00000002049	37	18	48	25
ENSCPBG00000001763	6	2	10	8
ENSCPBG00000004817	249	123	196	65
ENSCPBG00000009927	9	2	4	9
ENSCPBG00000010110	3	1	3	10
ENSCPBG00000010883	22	14	38	8
ENSCPBG00000001053	15695	5800	15235	9340
ENSCPBG00000010951	1793	877	1461	1091
ENSCPBG00000000353	18	13	7	50
ENSCPBG00000001758	4	5	5	8
ENSCPBG00000024964	1746	815	1746	491
ENSCPBG00000013269	215	118	143	75
ENSCPBG00000001218	28	20	39	4
ENSCPBG00000006450	2	0	0	4
ENSCPBG00000015686	1216	350	1282	157
ENSCPBG00000008726	3458	1590	2921	430
ENSCPBG00000001755	4	7	7	2
ENSCPBG00000010374	110	30	77	38
ENSCPBG00000000208	417	184	330	302
ENSCPBG00000005415	288	119	262	122
ENSCPBG00000020016	4243	1898	3646	849
ENSCPBG00000023512	2168	1157	2825	1738
ENSCPBG00000002326	710	278	626	17
ENSCPBG00000002759	4134	1917	3826	952
ENSCPBG00000016516	405	198	317	205
ENSCPBG00000023447	230	94	192	222
ENSCPBG00000009599	3	0	2	1
ENSCPBG00000020215	1107	596	1265	353
ENSCPBG00000002193	29	3	18	2
ENSCPBG00000016295	799	325	760	240
ENSCPBG00000007573	337	129	240	137
ENSCPBG00000019901	358	186	377	100
ENSCPBG00000000238	16	13	16	10
ENSCPBG00000006267	154	43	117	43
ENSCPBG00000001661	110	57	126	149
ENSCPBG00000010835	452	175	410	87
ENSCPBG00000006473	1449	798	1657	551
ENSCPBG00000019174	236	87	182	157
ENSCPBG00000009784	315	103	246	26
ENSCPBG00000001735	2440	976	2230	1146
ENSCPBG00000016413	133	83	80	58
ENSCPBG00000001850	207	90	177	44
ENSCPBG00000000512	2541	1075	2306	1113
ENSCPBG00000027799	482	141	425	127
ENSCPBG00000002497	1236	541	1144	433
ENSCPBG00000011094	12	6	5	3
ENSCPBG00000020990	3068	1615	2855	1274
ENSCPBG00000021862	686	372	722	0
ENSCPBG00000001732	15692	5112	13985	3266
ENSCPBG00000010609	3	1	1	4
ENSCPBG00000005654	23	7	18	19
ENSCPBG00000013895	2	2	0	13
ENSCPBG00000011068	48	20	48	32
ENSCPBG00000007263	26	12	28	11
ENSCPBG00000003395	1510	689	1143	2486
ENSCPBG00000016038	990	320	1034	245
ENSCPBG00000014918	15019	6852	12055	5061
ENSCPBG00000013434	8	1	13	9
ENSCPBG00000012937	26888	12204	28016	712
ENSCPBG00000016234	0	1	2	9
ENSCPBG00000010919	449	148	421	131
ENSCPBG00000012676	1401	732	1335	406
ENSCPBG00000007166	74	45	146	5
ENSCPBG00000002849	285	103	271	49
ENSCPBG00000002089	1792	784	1684	513
ENSCPBG00000001729	38	13	43	11
ENSCPBG00000010418	5301	2258	4580	1786
ENSCPBG00000007436	15332	6096	13525	6765
ENSCPBG00000024868	12	4	10	1
ENSCPBG00000016327	0	4	2	0
ENSCPBG00000015983	350	168	390	105
ENSCPBG00000007891	84	75	120	9
ENSCPBG00000022434	85	20	51	63
ENSCPBG00000003319	70	27	56	2
ENSCPBG00000001721	5099	1096	5043	30
ENSCPBG00000017884	171	107	290	71
ENSCPBG00000002715	93	29	71	30
ENSCPBG00000009989	431	234	402	7
ENSCPBG00000006416	121	69	167	44
ENSCPBG00000002408	124	50	95	75
ENSCPBG00000011862	2599	1013	2184	302
ENSCPBG00000003973	558	201	575	28
ENSCPBG00000011206	578	300	633	97
ENSCPBG00000009020	3055	1298	2653	1296
ENSCPBG00000000055	11	1	15	6
ENSCPBG00000003619	889	367	771	281
ENSCPBG00000001705	144	55	117	45
ENSCPBG00000026280	35	25	93	12
ENSCPBG00000004491	971	338	713	221
ENSCPBG00000025359	467	179	354	92
ENSCPBG00000003074	113	36	124	51
ENSCPBG00000011207	663	298	693	115
ENSCPBG00000027109	165	57	129	30
ENSCPBG00000027587	215	75	228	100
ENSCPBG00000007475	46	17	31	11
ENSCPBG00000001691	967	387	799	466
ENSCPBG00000001785	3490	1609	3113	10972
ENSCPBG00000004159	217	94	294	91
ENSCPBG00000007038	2697	995	2722	177
ENSCPBG00000010439	6890	3020	6009	1580
ENSCPBG00000001700	1610	688	1387	633
ENSCPBG00000000292	12	2	10	2
ENSCPBG00000003139	2120	807	1841	629
ENSCPBG00000017598	774	311	647	206
ENSCPBG00000010583	3	1	4	0
ENSCPBG00000004598	2409	1027	1924	1473
ENSCPBG00000005961	41	30	62	11
ENSCPBG00000005854	12	4	15	23
ENSCPBG00000026363	28	7	20	4
ENSCPBG00000000385	5	4	2	0
ENSCPBG00000003015	28	16	35	0
ENSCPBG00000014312	263	64	267	51
ENSCPBG00000004224	511	221	489	199
ENSCPBG00000020007	12	5	17	8
ENSCPBG00000026599	1225	478	1087	406
ENSCPBG00000001687	3286	1506	2996	365
ENSCPBG00000002494	237	105	234	70
ENSCPBG00000011966	5102	2359	4531	2143
ENSCPBG00000010196	2322	1066	1810	898
ENSCPBG00000001674	210	52	154	118
ENSCPBG00000020496	129	28	128	73
ENSCPBG00000001673	1035	331	1098	254
ENSCPBG00000024828	6	3	3	7
ENSCPBG00000001672	267	118	244	84
ENSCPBG00000013579	1127	414	1319	135
ENSCPBG00000009630	251	119	210	57
ENSCPBG00000004478	128	50	169	28
ENSCPBG00000011316	63	25	91	25
ENSCPBG00000022422	48871	16786	41206	463
ENSCPBG00000005682	52	33	45	3
ENSCPBG00000008920	3207	1798	3250	737
ENSCPBG00000019098	53	43	61	129
ENSCPBG00000016237	126	39	106	129
ENSCPBG00000002318	844	371	810	109
ENSCPBG00000009190	0	2	0	2
ENSCPBG00000013291	4	3	3	242
ENSCPBG00000013617	133	95	114	49
ENSCPBG00000012914	2101	781	1692	317
ENSCPBG00000020126	204	77	162	29
ENSCPBG00000012298	535	228	493	312
ENSCPBG00000002249	67	21	64	43
ENSCPBG00000021620	974	420	794	274
ENSCPBG00000001639	5455	2230	5299	1747
ENSCPBG00000001829	283	121	253	167
ENSCPBG00000001637	997	354	1107	137
ENSCPBG00000000690	20	10	9	3
ENSCPBG00000010941	222	67	213	64
ENSCPBG00000019180	8	0	5	7
ENSCPBG00000016064	934	317	805	134
ENSCPBG00000012259	447	178	365	216
ENSCPBG00000004044	35	21	33	33
ENSCPBG00000002854	1304	577	994	646
ENSCPBG00000008056	4	7	14	4
ENSCPBG00000026236	57	14	43	36
ENSCPBG00000022428	13	7	9	21
ENSCPBG00000026103	2621	998	2611	756
ENSCPBG00000007905	160	97	143	0
ENSCPBG00000002147	511	226	549	215
ENSCPBG00000004473	39	22	26	17
ENSCPBG00000025770	590	256	524	161
ENSCPBG00000001626	69	20	75	45
ENSCPBG00000013065	572	344	777	307
ENSCPBG00000010029	1692	761	1724	172
ENSCPBG00000002237	11	17	7	1
ENSCPBG00000003750	401	202	374	215
ENSCPBG00000000147	0	2	5	1
ENSCPBG00000017219	76	43	71	16
ENSCPBG00000003250	184	84	234	80
ENSCPBG00000001422	427	190	303	15
ENSCPBG00000016487	5280	2238	4499	1453
ENSCPBG00000003345	308	144	280	145
ENSCPBG00000009521	580	251	513	187
ENSCPBG00000010874	30	12	5	10
ENSCPBG00000022748	126	56	106	57
ENSCPBG00000017097	531	202	520	185
ENSCPBG00000006466	24	15	26	52
ENSCPBG00000010446	790	330	688	187
ENSCPBG00000023648	588	283	507	190
ENSCPBG00000001611	1995	937	1729	1056
ENSCPBG00000011971	296	155	346	274
ENSCPBG00000004282	1255	561	1156	565
ENSCPBG00000024147	299	146	219	77
ENSCPBG00000006499	5	1	5	1
ENSCPBG00000005285	250	133	177	173
ENSCPBG00000001682	165	100	156	35
ENSCPBG00000001609	26	8	24	8
ENSCPBG00000000694	6	3	0	1
ENSCPBG00000000500	13	10	14	14
ENSCPBG00000002092	405	183	348	83
ENSCPBG00000010078	90	59	112	30
ENSCPBG00000005174	264	123	302	110
ENSCPBG00000003065	704	306	1046	266
ENSCPBG00000003087	6	2	9	0
ENSCPBG00000014626	1802	601	1896	745
ENSCPBG00000027183	2931	1079	2568	1027
ENSCPBG00000008792	784	352	633	283
ENSCPBG00000006351	284	104	210	0
ENSCPBG00000001586	1101	504	852	570
ENSCPBG00000005297	293	131	230	53
ENSCPBG00000023830	502	271	530	148
ENSCPBG00000024047	2287	1048	1860	911
ENSCPBG00000018483	3321	1438	3197	1266
ENSCPBG00000023643	287	136	260	23
ENSCPBG00000008959	107	60	77	7
ENSCPBG00000028393	1007	444	725	340
ENSCPBG00000010301	3866	1482	3536	1110
ENSCPBG00000004045	583	205	550	194
ENSCPBG00000015347	113	41	76	58
ENSCPBG00000008477	1361	552	1874	253
ENSCPBG00000003654	94	37	148	20
ENSCPBG00000011752	2018	1152	2291	1251
ENSCPBG00000003241	1247	441	988	5
ENSCPBG00000006981	145	58	113	46
ENSCPBG00000025749	10	1	13	6
ENSCPBG00000002109	24804	10263	18918	25442
ENSCPBG00000023113	0	0	3	2
ENSCPBG00000012281	278	142	262	131
ENSCPBG00000001571	663	266	443	127
ENSCPBG00000010714	9	7	10	0
ENSCPBG00000018884	650	308	609	307
ENSCPBG00000009998	1	2	1	2
ENSCPBG00000018949	4017	1732	3813	2280
ENSCPBG00000003633	77	51	65	30
ENSCPBG00000006554	332	199	299	254
ENSCPBG00000020516	34	21	24	82
ENSCPBG00000020903	43	19	68	34
ENSCPBG00000022805	8	3	5	3
ENSCPBG00000001569	12	3	2	21
ENSCPBG00000013264	81	36	59	17
ENSCPBG00000001813	480	186	386	299
ENSCPBG00000010539	1430	387	1636	540
ENSCPBG00000017956	57	43	76	19
ENSCPBG00000001652	1	0	4	4
ENSCPBG00000002828	982	393	910	285
ENSCPBG00000021643	14	1	8	4
ENSCPBG00000001860	226	148	262	142
ENSCPBG00000013545	4	2	0	0
ENSCPBG00000001701	158	71	148	62
ENSCPBG00000013756	651	201	742	139
ENSCPBG00000001565	1840	801	1715	773
ENSCPBG00000001562	459	226	418	110
ENSCPBG00000015509	327	137	251	50
ENSCPBG00000011510	835	412	723	308
ENSCPBG00000014301	419	214	406	107
ENSCPBG00000014974	192	85	181	89
ENSCPBG00000007959	219	129	198	106
ENSCPBG00000005352	89	33	86	113
ENSCPBG00000002557	5354	2255	3301	812
ENSCPBG00000024292	13	6	8	9
ENSCPBG00000003591	329	137	270	140
ENSCPBG00000010545	5	2	1	2
ENSCPBG00000021929	123	66	128	111
ENSCPBG00000008706	49	18	47	0
ENSCPBG00000004064	6386	2511	5308	1679
ENSCPBG00000002776	113	35	100	147
ENSCPBG00000000572	1023	376	846	345
ENSCPBG00000010304	243	84	176	50
ENSCPBG00000002797	136	41	106	73
ENSCPBG00000012593	7816	3785	7939	1680
ENSCPBG00000016120	1950	790	1533	772
ENSCPBG00000007626	163	70	144	54
ENSCPBG00000013443	25	9	35	2
ENSCPBG00000012130	472	258	553	63
ENSCPBG00000019834	2227	784	2035	643
ENSCPBG00000001358	100	35	76	1
ENSCPBG00000016336	224	109	188	90
ENSCPBG00000014383	294	125	293	47
ENSCPBG00000027714	1249	550	1188	787
ENSCPBG00000010219	5	5	13	6
ENSCPBG00000009141	154	74	239	40
ENSCPBG00000007417	38	23	46	15
ENSCPBG00000000642	225	53	286	2
ENSCPBG00000006067	653	252	648	381
ENSCPBG00000004153	1035	488	894	655
ENSCPBG00000010344	783	305	606	179
ENSCPBG00000017068	523	227	381	165
ENSCPBG00000000716	879	282	832	169
ENSCPBG00000001650	540	240	677	137
ENSCPBG00000003089	187	101	138	373
ENSCPBG00000001258	2	0	2	1
ENSCPBG00000023993	1261	566	1187	443
ENSCPBG00000013800	613	218	556	372
ENSCPBG00000006398	1156	499	908	445
ENSCPBG00000013205	725	415	640	292
ENSCPBG00000004350	588	219	470	255
ENSCPBG00000021860	263	94	288	119
ENSCPBG00000000374	2131	913	1795	737
ENSCPBG00000003787	10	4	6	0
ENSCPBG00000004313	101	34	77	224
ENSCPBG00000002584	2352	964	2139	1204
ENSCPBG00000001165	36	7	22	5
ENSCPBG00000011078	203	89	176	163
ENSCPBG00000010346	1551	678	1751	339
ENSCPBG00000010594	1153	567	1118	439
ENSCPBG00000000222	20	9	21	7
ENSCPBG00000026196	537	246	683	196
ENSCPBG00000000209	64	28	70	0
ENSCPBG00000000599	468	198	360	111
ENSCPBG00000004255	242	94	292	78
ENSCPBG00000015675	120	45	86	60
ENSCPBG00000000954	2633	801	2240	1273
ENSCPBG00000026959	295	139	250	128
ENSCPBG00000000691	398	166	440	125
ENSCPBG00000021362	209	107	256	158
ENSCPBG00000003447	20	15	14	1
ENSCPBG00000017712	38	17	25	13
ENSCPBG00000019586	64	39	81	46
ENSCPBG00000012901	633	278	610	198
ENSCPBG00000001547	1993	776	1810	634
ENSCPBG00000027711	15	9	15	4
ENSCPBG00000021526	254	102	241	113
ENSCPBG00000004450	522	235	373	324
ENSCPBG00000004959	2008	815	1946	717
ENSCPBG00000001482	1953	784	1538	967
ENSCPBG00000006169	26	8	14	5
ENSCPBG00000002229	471	204	448	216
ENSCPBG00000008819	8525	3525	7597	2740
ENSCPBG00000028427	73	30	110	16
ENSCPBG00000007804	29	5	15	12
ENSCPBG00000027386	683	266	586	204
ENSCPBG00000005468	1156	389	1139	38
ENSCPBG00000004573	8507	3232	8014	1419
ENSCPBG00000013445	229	121	230	53
ENSCPBG00000017994	1000	376	933	217
ENSCPBG00000021544	7918	3288	8707	1208
ENSCPBG00000006986	106	44	143	140
ENSCPBG00000021471	182	92	192	88
ENSCPBG00000019398	594	229	501	253
ENSCPBG00000002576	452	220	570	67
ENSCPBG00000003357	1980	1021	2269	659
ENSCPBG00000005422	419	192	399	38
ENSCPBG00000000504	3221	1447	3642	272
ENSCPBG00000000467	1449	599	1233	523
ENSCPBG00000012511	14004	5576	12546	6631
ENSCPBG00000024533	958	282	1077	174
ENSCPBG00000010226	2666	929	2494	694
ENSCPBG00000000652	8	12	20	0
ENSCPBG00000001534	12	5	11	1
ENSCPBG00000002460	2	11	11	9
ENSCPBG00000018081	65	29	140	17
ENSCPBG00000011738	531	267	577	214
ENSCPBG00000016112	1087	488	919	545
ENSCPBG00000003801	712	349	636	53
ENSCPBG00000020437	3090	1112	2846	1368
ENSCPBG00000021312	3888	1808	3631	1316
ENSCPBG00000013584	37	19	50	2
ENSCPBG00000026050	1650	670	1598	629
ENSCPBG00000023126	351	148	247	45
ENSCPBG00000000138	225	90	171	20
ENSCPBG00000000798	807	304	724	363
ENSCPBG00000018263	0	2	8	4
ENSCPBG00000007998	280	105	299	41
ENSCPBG00000017427	15683	4998	12405	4607
ENSCPBG00000011098	1165	581	1289	336
ENSCPBG00000009270	22	8	22	0
ENSCPBG00000019068	94	36	70	33
ENSCPBG00000007510	129	60	80	53
ENSCPBG00000020937	126	47	99	41
ENSCPBG00000007633	770	265	775	135
ENSCPBG00000003468	28	11	25	51
ENSCPBG00000014369	8	0	5	1
ENSCPBG00000020001	721	272	768	203
ENSCPBG00000002018	1700	670	1326	101
ENSCPBG00000026378	2465	1049	2479	749
ENSCPBG00000022644	1838	752	1601	426
ENSCPBG00000012247	1174	632	1115	369
ENSCPBG00000020639	389	140	369	41
ENSCPBG00000017199	8627	4104	7478	16974
ENSCPBG00000000524	7	2	6	0
ENSCPBG00000007583	22	5	18	23
ENSCPBG00000017612	207	85	225	191
ENSCPBG00000026417	580	250	534	329
ENSCPBG00000001689	492	194	468	107
ENSCPBG00000025587	1426	509	1793	651
ENSCPBG00000025506	4323	1740	4527	1570
ENSCPBG00000002534	898	360	736	190
ENSCPBG00000005973	162	79	109	59
ENSCPBG00000001825	243	147	315	151
ENSCPBG00000016984	1713	720	1763	524
ENSCPBG00000019566	12	4	16	9
ENSCPBG00000004812	1409	645	1188	95
ENSCPBG00000019658	732	316	767	435
ENSCPBG00000013472	233	82	216	51
ENSCPBG00000012786	431	275	556	173
ENSCPBG00000000359	35	23	37	12
ENSCPBG00000011919	315	116	331	202
ENSCPBG00000027135	25209	10711	18701	19762
ENSCPBG00000002569	37327	16164	29968	31824
