	turtle_3_control_1	turtle_3_control_2	turtle_3_lps_8h	turtle_5_lps_8h
ENSCPBG00000028059	1673	736	1531	449
ENSCPBG00000028057	607	339	641	6
ENSCPBG00000028055	158	61	147	70
ENSCPBG00000028054	419	106	388	347
ENSCPBG00000028053	16299	6573	14980	5044
ENSCPBG00000028046	257	171	289	96
ENSCPBG00000028043	119	73	134	11
ENSCPBG00000028041	806	370	792	182
ENSCPBG00000028040	847	293	797	231
ENSCPBG00000028039	170	83	151	151
ENSCPBG00000028035	80	23	59	10
ENSCPBG00000028034	5427	2119	5024	1037
ENSCPBG00000028031	4	3	0	0
ENSCPBG00000028029	975	344	686	164
ENSCPBG00000028027	1943	787	1647	1236
ENSCPBG00000028022	27	15	18	16
ENSCPBG00000028020	216	79	135	1
ENSCPBG00000028019	117	46	127	3
ENSCPBG00000028017	674	283	746	110
ENSCPBG00000028016	1223	610	1061	170
ENSCPBG00000028009	1521	893	1489	425
ENSCPBG00000028003	12	1	10	7
ENSCPBG00000027999	6202	2747	5406	683
ENSCPBG00000027994	66	44	80	0
ENSCPBG00000027991	727	315	744	237
ENSCPBG00000027982	44	16	50	10
ENSCPBG00000027977	300	126	253	91
ENSCPBG00000027975	5357	2184	4368	3029
ENSCPBG00000027973	440	179	519	104
ENSCPBG00000027970	513	187	368	217
ENSCPBG00000027964	2030	645	1946	411
ENSCPBG00000027960	2626	1404	2619	1301
ENSCPBG00000027958	109	38	96	24
ENSCPBG00000027952	303	99	231	142
ENSCPBG00000027951	6023	2655	5980	1648
ENSCPBG00000027949	114	44	99	732
ENSCPBG00000027932	673	204	628	184
ENSCPBG00000027927	2209	775	1828	1641
ENSCPBG00000027926	394	114	325	127
ENSCPBG00000027925	841	291	681	197
ENSCPBG00000027923	46	16	28	109
ENSCPBG00000027918	67	29	52	26
ENSCPBG00000027917	13	6	16	1
ENSCPBG00000027913	495	198	544	157
ENSCPBG00000027911	4459	1866	4343	675
ENSCPBG00000027905	864	362	766	141
ENSCPBG00000027904	372	135	528	9
ENSCPBG00000027903	71	25	48	24
ENSCPBG00000027902	20932	8024	19778	96
ENSCPBG00000027899	92	28	103	0
ENSCPBG00000027894	133	65	130	2
ENSCPBG00000027891	31	12	20	48
ENSCPBG00000027890	7	2	5	3
ENSCPBG00000027888	870	355	805	282
ENSCPBG00000027886	78	48	94	0
ENSCPBG00000027885	9021	4422	7749	4923
ENSCPBG00000027874	0	0	3	3
ENSCPBG00000027873	23	21	22	49
ENSCPBG00000027871	437	151	357	273
ENSCPBG00000027867	21	11	23	9
ENSCPBG00000027863	75	39	64	55
ENSCPBG00000027861	4	1	2	2
ENSCPBG00000027860	551	188	438	36
ENSCPBG00000027859	2271	821	2234	755
ENSCPBG00000027858	2621	1119	2405	754
ENSCPBG00000027857	2941	886	3421	596
ENSCPBG00000027855	763	243	635	245
ENSCPBG00000027854	6	1	2	3
ENSCPBG00000027853	9	5	10	1
ENSCPBG00000027852	357	153	398	99
ENSCPBG00000027846	929	373	980	451
ENSCPBG00000027840	497	189	575	113
ENSCPBG00000013969	105	52	92	70
ENSCPBG00000004944	155	72	135	45
ENSCPBG00000013967	53	21	40	20
ENSCPBG00000013955	450	128	375	206
ENSCPBG00000024122	5	1	1	3
ENSCPBG00000013944	39	11	36	3
ENSCPBG00000011150	4629	1951	5392	2947
ENSCPBG00000013935	244	94	299	1
ENSCPBG00000013923	26	19	54	1
ENSCPBG00000003211	53	28	38	25
ENSCPBG00000016789	281	92	238	200
ENSCPBG00000023836	3002	1369	2352	1549
ENSCPBG00000013920	2382	772	1977	561
ENSCPBG00000022231	5	1	9	0
ENSCPBG00000025591	2	3	1	0
ENSCPBG00000013915	7754	2427	6808	909
ENSCPBG00000013906	498	238	450	236
ENSCPBG00000020010	273	127	217	283
ENSCPBG00000009847	556	257	494	146
ENSCPBG00000005719	109	33	100	9
ENSCPBG00000014042	5389	1890	5038	186
ENSCPBG00000013893	116	85	146	31
ENSCPBG00000013889	1317	484	1318	199
ENSCPBG00000002440	16	3	12	0
ENSCPBG00000013887	1345	489	1465	267
ENSCPBG00000013879	96	59	133	59
ENSCPBG00000013877	183	54	147	9
ENSCPBG00000017480	2595	919	2514	977
ENSCPBG00000009718	6618	2591	7145	314
ENSCPBG00000025962	2946	1145	2611	607
ENSCPBG00000025814	791	374	647	476
ENSCPBG00000002970	668	364	591	172
ENSCPBG00000022372	323	147	269	56
ENSCPBG00000027455	178	98	92	33
ENSCPBG00000013846	2364	1024	2336	597
ENSCPBG00000013836	5	0	4	0
ENSCPBG00000019486	364	246	564	108
ENSCPBG00000013835	60	12	45	21
ENSCPBG00000026979	835	308	684	384
ENSCPBG00000013832	344	153	325	118
ENSCPBG00000013830	303	108	270	83
ENSCPBG00000013827	30	4	12	1
ENSCPBG00000011194	1001	435	939	690
ENSCPBG00000017868	454	178	387	177
ENSCPBG00000000026	36	24	23	18
ENSCPBG00000020282	620	195	465	151
ENSCPBG00000016829	115	46	26	8
ENSCPBG00000013806	20	11	16	0
ENSCPBG00000023220	39	25	47	50
ENSCPBG00000013797	5	3	1	0
ENSCPBG00000013795	485	182	375	213
ENSCPBG00000013792	92	53	77	35
ENSCPBG00000013788	31	14	39	17
ENSCPBG00000023509	43	21	24	5
ENSCPBG00000020135	579	261	576	238
ENSCPBG00000013778	213	75	158	53
ENSCPBG00000022437	1075	518	954	664
ENSCPBG00000027443	498	223	247	64
ENSCPBG00000013774	1905	878	1697	1083
ENSCPBG00000013772	371	144	340	136
ENSCPBG00000007016	56	45	93	1
ENSCPBG00000013771	512	285	521	405
ENSCPBG00000028028	11	6	18	1
ENSCPBG00000003481	2519	945	2251	755
ENSCPBG00000017949	2356	1058	1931	1664
ENSCPBG00000013757	259	100	250	105
ENSCPBG00000027565	5043	1763	4693	336
ENSCPBG00000007652	153	74	203	95
ENSCPBG00000013750	60	36	72	49
ENSCPBG00000023657	34	17	31	9
ENSCPBG00000011148	1773	693	1792	947
ENSCPBG00000013744	2278	1008	2064	134
ENSCPBG00000012946	211	118	283	239
ENSCPBG00000017223	2605	1010	1988	85
ENSCPBG00000001407	409	178	358	197
ENSCPBG00000013734	2204	1120	2042	174
ENSCPBG00000013731	172	51	125	123
ENSCPBG00000013725	1198	687	1386	265
ENSCPBG00000013717	35	10	15	14
ENSCPBG00000018601	165	60	107	20
ENSCPBG00000013714	15308	7590	13989	6015
ENSCPBG00000003378	1510	614	1352	606
ENSCPBG00000028391	160	62	175	69
ENSCPBG00000015868	16	5	9	7
ENSCPBG00000013705	3	0	3	5
ENSCPBG00000013704	1428	703	1266	752
ENSCPBG00000013699	26	24	37	23
ENSCPBG00000013694	949	380	726	126
ENSCPBG00000013693	110	39	90	86
ENSCPBG00000013688	441	189	487	175
ENSCPBG00000012670	155	65	132	36
ENSCPBG00000013686	2227	891	1658	113
ENSCPBG00000002825	2	0	0	3
ENSCPBG00000013685	427	189	444	99
ENSCPBG00000027355	413	163	439	40
ENSCPBG00000019696	82	31	112	116
ENSCPBG00000013671	696	258	653	554
ENSCPBG00000013670	627	256	595	250
ENSCPBG00000015839	1620	444	1546	496
ENSCPBG00000013821	405	145	260	139
ENSCPBG00000013338	188	68	204	159
ENSCPBG00000013657	6824	3037	5728	1193
ENSCPBG00000023947	6582	2266	5487	1986
ENSCPBG00000013656	8110	3609	7516	2621
ENSCPBG00000013653	148	65	120	30
ENSCPBG00000013652	541	261	437	315
ENSCPBG00000021070	1060	535	1321	660
ENSCPBG00000013639	1	2	3	0
ENSCPBG00000016506	64	22	45	9
ENSCPBG00000016953	45	14	45	9
ENSCPBG00000013638	2502	945	2165	704
ENSCPBG00000013624	57	25	60	35
ENSCPBG00000013622	353	233	337	199
ENSCPBG00000019569	6104	2309	5215	2193
ENSCPBG00000023169	169	89	178	1
ENSCPBG00000013608	11	2	7	13
ENSCPBG00000007883	502	248	444	249
ENSCPBG00000013602	3	0	2	1
ENSCPBG00000013364	5678	2361	5283	1491
ENSCPBG00000013591	9764	4288	7139	6971
ENSCPBG00000020888	2043	881	1835	786
ENSCPBG00000024880	2637	1182	2296	418
ENSCPBG00000023200	740	253	876	31
ENSCPBG00000025146	465	157	414	108
ENSCPBG00000013568	15726	6644	14310	1772
ENSCPBG00000013565	285	131	242	169
ENSCPBG00000013562	19	16	26	15
ENSCPBG00000013556	72	32	51	11
ENSCPBG00000013551	4408	1795	3871	578
ENSCPBG00000017551	3	2	5	1
ENSCPBG00000018352	317	76	249	17
ENSCPBG00000013532	178	54	137	62
ENSCPBG00000011014	2	3	0	3
ENSCPBG00000004307	851	311	888	350
ENSCPBG00000013528	4	2	2	1
ENSCPBG00000013523	335	115	264	71
ENSCPBG00000023226	1948	630	1883	482
