lps_names,lps_logfoldchanges,lps_pvals,lps_pvals_adj,lps_pts,UNST_pts,1to1_bat_dragon
DENND11,-0.029490164,0.946295736,1,0.12415115,0.123956187,no
NAB2,-0.067399777,0.946274557,1,0.048630887,0.048910097,no
LOC118606585,-0.260201931,0.946204745,1,0.00279299,0.003199219,no
ELMO3,-0.185201108,0.946200823,1,0.002683461,0.003090771,ELMO3
MTMR9,-0.055788025,0.946021982,1,0.041401972,0.041752521,no
LOC107519808,-0.024758847,0.945930601,1,0.002409639,0.002819651,no
COBLL1,-0.063625693,0.945885107,1,0.0483023,0.048530528,COBLL1
TPGS2,-0.052077647,0.945789021,1,0.021686747,0.02206919,TPGS2
TMEM116,-0.284040362,0.945733723,1,0.002409639,0.002819651,TMEM116
CHRNB1,-0.134390816,0.945678425,1,0.018072289,0.018436178,CHRNB1
PRKCZ,-0.248141974,0.945616461,1,0.00230011,0.002711203,PRKCZ
AQP9,-0.484933019,0.945612539,1,0.002354874,0.002765427,AQP9
LOC118609371,-0.068949141,0.945525868,1,0.024205915,0.024563496,no
TMEM56_LOC107508889,-0.239423513,0.945459198,1,0.002190581,0.002602755,TMEM56
LOC107503093,-0.247438043,0.945386646,1,0.002135816,0.002548531,no
LOC107504329,-0.414637595,0.945357233,1,0.002190581,0.002602755,no
LOC118606562,-0.04600855,0.945258798,1,0.00728368,0.007699816,no
CCNY,-0.003606484,0.945173698,1,0.092771084,0.093211148,CCNY
LOC118600444,-0.186406732,0.944927421,1,0.001752464,0.002168962,no
PRUNE2,-0.040533375,0.944867029,1,0.001642935,0.002060514,no
ELOVL4,-0.288914621,0.944839971,1,0.0016977,0.002114738,ELOVL4
LOC118612619,-0.445402086,0.944807814,1,0.0016977,0.002114738,no
LOC118600343,-0.120050251,0.944762717,1,0.007721796,0.008133608,no
IGSF5,-0.392105907,0.944737619,1,0.001642935,0.002060514,IGSF5
METTL22,-0.087491371,0.944628994,1,0.012595838,0.013013773,METTL22
GRIK1,-0.285438955,0.944558408,1,0.001478642,0.001897842,GRIK1
BEST1,-0.814066827,0.944506253,1,0.001533406,0.001952066,BEST1
LOC118606646,-0.565035164,0.944469784,1,0.001478642,0.001897842,no
CXCL13,0.094965599,0.944459196,1,0.001314348,0.00173517,no
TMEM260,-0.084168836,0.944422727,1,0.020208105,0.02060514,TMEM260
LOC107514928,-0.424402237,0.94439214,1,0.001369113,0.001789394,no
RNF43,-0.771740794,0.94439018,1,0.001423877,0.001843618,RNF43
TMEM198,-0.26388818,0.944364299,1,0.001314348,0.00173517,TMEM198
TNPO3,-0.005665282,0.944261559,1,0.091182913,0.091530203,TNPO3
SLC18A1,-0.634180009,0.944243129,1,0.001259584,0.001680946,SLC18A1
TYMS,-0.604831755,0.944232149,1,0.001259584,0.001680946,TYMS
LOC107506792,-0.210581601,0.944225091,1,0.001150055,0.001572498,no
SGO2,0.026260408,0.944209405,1,0.00618839,0.006615335,no
LOC107515885,-0.292783767,0.94415137,1,0.001150055,0.001572498,no
LOC118608900,-0.20084244,0.944132156,1,0.00109529,0.001518274,no
MST1,-0.499144465,0.94410353,1,0.001150055,0.001572498,MST1
MPI,0.02517586,0.944093727,1,0.016046002,0.016484112,MPI
PARD3B,-0.847609639,0.944092159,1,0.001204819,0.001626722,PARD3B
POU3F1,-0.561959803,0.944083924,1,0.001150055,0.001572498,POU3F1
LRCH2,-0.605886936,0.944057259,1,0.001150055,0.001572498,LRCH2
RTKN2,-0.648517907,0.944038829,1,0.00109529,0.001518274,RTKN2
ACHE,-0.568492651,0.944010596,1,0.00109529,0.001518274,ACHE
LOC118610800,-0.358415216,0.943993735,1,0.001040526,0.001464049,no
TIE1,-0.543192267,0.943985892,1,0.001040526,0.001464049,TIE1
TUSC3,-0.700340092,0.943974521,1,0.00109529,0.001518274,TUSC3
SMARCAL1,0.033302188,0.943894528,1,0.020646221,0.021093157,SMARCAL1
LOC118605502,-0.887883127,0.943852963,1,0.000985761,0.001409825,no
MTFP1,-0.497506857,0.943845513,1,0.000930997,0.001355601,MTFP1
ECHDC3,0.285332471,0.943742778,1,0.000821468,0.001247153,ECHDC3
CEP170B,-0.615322471,0.943741602,1,0.000876232,0.001301377,CEP170B
NLGN3,-0.471818477,0.943706704,1,0.000821468,0.001247153,NLGN3
SCARF2,-0.55762732,0.943687098,1,0.000821468,0.001247153,SCARF2
PDZK1IP1,-0.279830307,0.943672198,1,0.008050383,0.008458952,no
ZP3,-0.658778787,0.943636907,1,0.000766703,0.001192929,no
LOC118612485,-0.732171476,0.943618478,1,0.000766703,0.001192929,no
STUM,-0.711131573,0.94361691,1,0.000766703,0.001192929,no
DLL1,-0.734300554,0.943606715,1,0.000766703,0.001192929,DLL1
LOC118615028,-0.967382193,0.943591815,1,0.000766703,0.001192929,no
PTX4,-0.398113787,0.943581228,1,0.000711939,0.001138705,PTX4
MYORG,-0.518004596,0.943573778,1,0.000711939,0.001138705,no
PTPRR,-0.688467801,0.943557309,1,0.000711939,0.001138705,PTPRR
TEKT2,-1.025524974,0.943525548,1,0.000711939,0.001138705,TEKT2
