lps_names,lps_logfoldchanges_x,lps_pvals_x,lps_pvals_adj_x,lps_pts_x,UNST_pts_x,1to1_bat_dragon_x,lps_logfoldchanges_y,lps_pvals_y,lps_pvals_adj_y,lps_pts_y,UNST_pts_y,1to1_bat_dragon_y
ADORA2A,1.166218758,0.000170429,0.00307568,0.041456736,0.018815747,ADORA2A,0.0,1.0,1.0,0.0,0.0,ADORA2A
GBP1_LOC107512699,1.161271214,0.0,0.0,0.685323111,0.525593753,GBP1,,,,,,
GFPT1,1.147783995,8.82167e-30,8.90396e-28,0.161993428,0.098958898,GFPT1,0.271285623,0.857203145,1.0,0.133884298,0.142437592,GFPT1
CMTR1,1.103031397,3.2528999999999997e-136,1.0788e-133,0.328477547,0.18311463,CMTR1,0.401907653,0.32226593,1.0,0.087603306,0.069505629,CMTR1
STAT1,1.092862129,0.0,0.0,0.740525739,0.535787876,STAT1,-0.272801608,0.151895701,0.782702745,0.066115702,0.093489966,STAT1
ENPP4,1.07469368,6.983599999999999e-22,5.080719999999999e-20,0.116976999,0.059266891,ENPP4,-0.509473205,0.000210736,0.002715119,0.132231405,0.204601077,ENPP4
PTAFR,1.073124528,2.58455e-09,8.64994e-08,0.08143483,0.046307342,PTAFR,0.128242984,0.714681458,1.0,0.217630854,0.231522271,PTAFR
IFI35,1.047304153,2.1736e-269,1.4232e-266,0.518510405,0.341828435,IFI35,0.23840861,0.356035198,1.0,0.272727273,0.272638277,IFI35
NOD1,1.04099524,1.08505e-17,6.06296e-16,0.104764513,0.053139573,NOD1,-0.544274569,5.48373e-05,0.000785806,0.180165289,0.259422418,NOD1
UBE2L6,1.040215731,2.17941e-24,1.77806e-22,0.120427163,0.058507754,UBE2L6,1.776682138,0.576602099,1.0,0.014325069,0.00391581,UBE2L6
RAB19,1.038285613,5.09789e-47,7.272609999999999e-45,0.191949617,0.107092506,RAB19,3.049977541,0.903182955,1.0,0.002754821,0.000489476,RAB19
RNF19B,1.023966908,4.4198900000000004e-29,4.32438e-27,0.147754655,0.081498753,RNF19B,0.243644163,0.470436253,1.0,0.242975207,0.24082232,RNF19B
ZCWPW2,1.010592699,7.27424e-22,5.27713e-20,0.124479737,0.066966706,ZCWPW2,0.0,1.0,1.0,0.0,0.0,ZCWPW2
PARP11,0.9995597,1.7415299999999998e-35,2.05888e-33,0.168181818,0.094404078,PARP11,0.252653807,0.540632869,1.0,0.188980716,0.185022026,PARP11
XAF1,0.997481823,3.6780999999999997e-163,1.3418e-160,0.400054765,0.241134367,XAF1,-0.155191049,0.406414313,1.0,0.056198347,0.072442487,XAF1
SLC39A14,0.993997753,1.73177e-12,7.38273e-11,0.105914567,0.064960416,SLC39A14,0.480608374,0.849026454,1.0,0.026446281,0.023005384,SLC39A14
PXK,0.987327814,8.719919999999999e-57,1.51478e-54,0.221467689,0.128348335,PXK,-0.477074414,0.047609149,0.310727457,0.068319559,0.106705825,PXK
PECAM1,0.983907878,2.8739699999999997e-27,2.63991e-25,0.176013143,0.116039475,PECAM1,2.073374271,0.366460099,1.0,0.023140496,0.006363191,PECAM1
ATF3,0.982738614,3.23645e-10,1.15266e-08,0.085104053,0.047608719,ATF3,0.229430988,0.414085393,1.0,0.290358127,0.288301517,ATF3
