lps_names,lps_logfoldchanges,lps_pvals,lps_pvals_adj,lps_pts,UNST_pts,1to1_bat_dragon
ANKFY1,0.488134772,5.57182e-22,4.0652e-20,0.242223439,0.185175144,ANKFY1
ENPP4,1.07469368,6.983599999999999e-22,5.080719999999999e-20,0.116976999,0.059266891,ENPP4
ZCWPW2,1.010592699,7.27424e-22,5.27713e-20,0.124479737,0.066966706,ZCWPW2
OSTF1,0.27340585,1.98436e-21,1.3921e-19,0.514403067,0.468604273,OSTF1
SLTM,0.317664087,2.5598e-21,1.77628e-19,0.3983023,0.345841015,SLTM
YWHAZ,0.235051721,4.5397599999999995e-21,3.09966e-19,0.572398686,0.522665654,YWHAZ
GADD45B,0.665868044,6.6426399999999996e-21,4.50226e-19,0.18422782,0.129378592,GADD45B
GNG5,0.222137406,6.7654099999999995e-21,4.57041e-19,0.673822563,0.625637133,GNG5
TDRD7,1.200635195,7.04728e-21,4.74826e-19,0.104271632,0.047879839,TDRD7
VMP1,0.315654874,7.90615e-21,5.29899e-19,0.373767798,0.317319163,VMP1
IL1B,1.25136292,8.18198e-21,5.4695e-19,0.176560789,0.131330658,IL1B
PHIP_LOC107517039,0.323092401,9.282119999999999e-21,6.18873e-19,0.376998905,0.323500705,PHIP
KLF6,0.296683997,1.0779799999999998e-20,7.13144e-19,0.405202629,0.352131005,KLF6
PLEK,0.509396195,1.0922899999999999e-20,7.19308e-19,0.368455641,0.339605249,PLEK
PSMA5,0.313239425,1.1746099999999998e-20,7.71073e-19,0.371851041,0.318512092,PSMA5
SNAPC1,0.626309693,1.8678499999999998e-20,1.21988e-18,0.183953998,0.128999024,SNAPC1
JAK2,0.628945112,2.3452299999999998e-20,1.5161500000000002e-18,0.175629792,0.120052055,JAK2
FGL2,0.357402533,3.4233599999999994e-20,2.20199e-18,0.372562979,0.324585186,FGL2
SETX,0.292761832,6.756879999999999e-20,4.2814800000000004e-18,0.399561884,0.343726277,SETX
