pic_names,pic_logfoldchanges,pic_pvals,pic_pvals_adj,pic_pts,UNST_pts,1to1_bat_dragon
LUC7L3,0.386749625,6.44207e-08,1.33183e-06,0.507479862,0.399902105,LUC7L3
VRK1,0.349505305,6.65883e-08,1.37513e-06,0.464326812,0.355359765,VRK1
PABPC1,0.288960725,6.73189e-08,1.38869e-06,0.957997699,0.913362702,PABPC1
BCAT2,0.48045668,6.92978e-08,1.42795e-06,0.326812428,0.217816936,BCAT2
GLYR1,0.441054165,7.08659e-08,1.45706e-06,0.410241657,0.311306902,GLYR1
ABCF2,0.328393698,7.29335e-08,1.49793e-06,0.579976985,0.471855115,ABCF2
RNF34,0.488884538,7.36153e-08,1.50863e-06,0.35443038,0.251590798,RNF34
MTDH,0.290186644,7.48231e-08,1.53171e-06,0.898734177,0.807146353,MTDH
CHST15,0.775618434,7.49599e-08,1.53257e-06,0.30840046,0.21732746,CHST15
NRIP1,0.532689452,7.50284e-08,1.53257e-06,0.372266974,0.272638277,NRIP1
RAB12,0.397677332,7.51219e-08,1.53281e-06,0.443037975,0.339207048,RAB12
PTMA,0.333612233,7.8329e-08,1.59478e-06,0.926927503,0.852178169,PTMA
PIP4K2A,0.526081324,8.21023e-08,1.66799e-06,0.371116226,0.273127753,PIP4K2A
TGIF1,0.728428006,8.35e-08,1.69272e-06,0.260069045,0.159079785,TGIF1
RABGAP1L,0.368306756,8.75286e-08,1.77248e-06,0.667433832,0.572197748,RABGAP1L
UTP15,0.567815185,8.82035e-08,1.78422e-06,0.291139241,0.188937837,UTP15
CCDC181,0.50832808,9.11116e-08,1.84106e-06,0.381472957,0.278511992,CCDC181
UXS1,0.920290411,9.45087e-08,1.90765e-06,0.226121979,0.128732256,UXS1
ZRANB2,0.466080308,9.81495e-08,1.97689e-06,0.405638665,0.303475281,ZRANB2
CCDC59,0.367735773,1.05634e-07,2.12082e-06,0.519562716,0.42927068,CCDC59
CCT2,0.293237567,1.08055e-07,2.16709e-06,0.732451093,0.621634851,CCT2
PDE12,0.615402162,1.09249e-07,2.18871e-06,0.294591484,0.195301028,PDE12
PHF6,0.786631644,1.11055e-07,2.22253e-06,0.255466053,0.156632403,PHF6
SUDS3,0.281407297,1.13029e-07,2.25962e-06,0.670886076,0.548702888,SUDS3
PMF1,0.292717069,1.15557e-07,2.30524e-06,0.67433832,0.595203133,PMF1
CLINT1,0.314869374,1.15812e-07,2.30789e-06,0.640966628,0.52227117,CLINT1
TMBIM1,0.248550713,1.17205e-07,2.33315e-06,0.855581128,0.780225159,TMBIM1
ZFAND2A,0.503259301,1.18836e-07,2.36313e-06,0.30264672,0.197748409,ZFAND2A
MFAP1,0.292011261,1.20845e-07,2.40054e-06,0.632336018,0.51052374,MFAP1
SNRPF,0.311362863,1.24799e-07,2.47384e-06,0.490218642,0.383749388,SNRPF
B4GALT5,0.381863236,1.25361e-07,2.48235e-06,0.487341772,0.386686246,B4GALT5
XYLT1,0.73895067,1.41109e-07,2.7883e-06,0.247986191,0.149290259,XYLT1
CHD9,0.450793236,1.41822e-07,2.79945e-06,0.384349827,0.279490945,CHD9
BNIP3L,0.443272918,1.42829e-07,2.81637e-06,0.319332566,0.21732746,BNIP3L
LIG4,0.48345232,1.46307e-07,2.88192e-06,0.358457998,0.261869799,LIG4
RBCK1,0.829926729,1.47776e-07,2.9078e-06,0.238204833,0.141948116,RBCK1
FBRS,0.385064691,1.50366e-07,2.95567e-06,0.439585731,0.331375428,FBRS
MMGT1,0.318466425,1.51813e-07,2.97788e-06,0.523590334,0.418502203,MMGT1
PDCL3,0.356972605,1.57136e-07,3.07267e-06,0.457422325,0.350465002,PDCL3
PRRG4,0.530590534,1.6142e-07,3.15316e-06,0.259493671,0.154185022,PRRG4
OTUD6B,0.31914565,1.65992e-07,3.23908e-06,0.547756041,0.442486539,OTUD6B
PTPRC,0.292705655,1.66462e-07,3.24489e-06,0.785960875,0.684777288,PTPRC
DSG2,1.035264492,1.80775e-07,3.51659e-06,0.192750288,0.093979442,DSG2
ANKUB1,1.881995916,1.91807e-07,3.72734e-06,0.14556962,0.04845815,ANKUB1
EIF3A,0.318936199,1.95219e-07,3.78971e-06,0.877445339,0.759667156,EIF3A
SARNP,0.321137846,1.96385e-07,3.8084e-06,0.575373993,0.456191875,SARNP
PSMC2,0.351653516,2.03833e-07,3.9447e-06,0.483314154,0.383259912,PSMC2
SUCO,0.384343058,2.08102e-07,4.02289e-06,0.448791715,0.34948605,SUCO
ALDH1A3,1.376413107,2.08302e-07,4.02289e-06,0.173187572,0.076358297,ALDH1A3
IPO7,0.346814871,2.11622e-07,4.08091e-06,0.506904488,0.407244249,IPO7
TNS4,0.456515163,2.14649e-07,4.12848e-06,0.437284235,0.348017621,TNS4
PSMD3,0.375479072,2.16482e-07,4.15521e-06,0.463176064,0.36123348,PSMD3
FUNDC2,0.837746441,2.21484e-07,4.24689e-06,0.211737629,0.113069016,FUNDC2
HGS,0.43728143,2.2418e-07,4.29325e-06,0.378596087,0.280959373,HGS
CD83,1.717735291,2.2436e-07,4.29325e-06,0.134637514,0.03671072,CD83
RNF185,0.398131967,2.25965e-07,4.31956e-06,0.440161105,0.337249143,RNF185
ATP6V0D1,0.271238476,2.3425e-07,4.46885e-06,0.658803222,0.532550171,ATP6V0D1
R3HDM2,0.394199193,2.48816e-07,4.73709e-06,0.410241657,0.311796378,R3HDM2
EIF2S1,0.258620262,2.52456e-07,4.80152e-06,0.745109321,0.634361233,EIF2S1
HMGXB4,0.474892527,2.53788e-07,4.82198e-06,0.36593786,0.268232991,HMGXB4
MIER3,0.619751394,2.69481e-07,5.10465e-06,0.277330265,0.18061674,MIER3
NCOR2,0.296054035,2.82383e-07,5.34365e-06,0.747986191,0.618208517,NCOR2
FADD,0.569048226,2.89056e-07,5.46441e-06,0.321058688,0.227606461,FADD
XRN1,0.33966139,3.05344e-07,5.74917e-06,0.453394707,0.352912384,XRN1
TRAPPC12,0.483809918,3.05853e-07,5.75298e-06,0.360759494,0.265296133,TRAPPC12
MMADHC,0.418335795,3.06338e-07,5.75634e-06,0.401611047,0.306412139,MMADHC
BLNK,0.305232525,3.0792e-07,5.78028e-06,0.665132336,0.56681351,BLNK
PARP11,0.626902938,3.09657e-07,5.80128e-06,0.279631761,0.185022026,PARP11
CBX3,0.279021829,3.20837e-07,6.00474e-06,0.581127733,0.475770925,CBX3
