pic_names,pic_logfoldchanges,pic_pvals,pic_pvals_adj,pic_pts,UNST_pts,1to1_bat_dragon
RPUSD4,-0.172414333,0.933817348,1,0.068469505,0.066079295,RPUSD4
POMK,-0.165613547,0.933888656,1,0.03452244,0.032794909,POMK
GPATCH2L,0.018867668,0.934530449,1,0.049482163,0.047968674,GPATCH2L
ENSVKKG00000016375,0.140087381,0.934601762,1,0.010356732,0.008810573,no
NCOA5_2,0.044511687,0.934673075,1,0.01726122,0.01566324,no
WDR59,0.080946319,0.93502965,1,0.010356732,0.008810573,WDR59
PDCD4,-0.290836275,0.935196057,1,0.024165708,0.022515908,PDCD4
MXD4,-0.106689967,0.935243602,1,0.010356732,0.008810573,MXD4
TIMM17B,0.046892446,0.935540764,1,0.040851554,0.039158101,TIMM17B
SLC20A2_2,-0.002992765,0.935552651,1,0.006904488,0.005384239,no
PRKD2,-0.015129135,0.935576424,1,0.013808976,0.012236907,PRKD2
ACBD7,-0.108561717,0.935766614,1,0.013808976,0.012236907,ACBD7
FHAD1_2,-0.148991838,0.93602813,1,0.006904488,0.005384239,no
EML6,-0.054261062,0.936051905,1,0.006904488,0.005384239,EML6
UNC13B,-0.40353334,0.936218328,1,0.010356732,0.008810573,UNC13B
RNF4_1,-0.194216639,0.936313429,1,0.030494822,0.028879099,no
CAPN15,0.062885806,0.936360979,1,0.006904488,0.005384239,CAPN15
ENSVKKG00000006171,0.064455397,0.936527408,1,0.006904488,0.005384239,no
PLK4,1.231352925,0.936622511,1,0.003452244,0.001957905,PLK4
ABHD3,-0.404439241,0.936622511,1,0.013808976,0.012236907,ABHD3
SLC25A18_1,1.846649528,0.936646287,1,0.003452244,0.001957905,no
ADI1,-0.089032665,0.936729503,1,0.075373993,0.072931963,ADI1
TECTA,1.293154001,0.936741392,1,0.003452244,0.001957905,no
MYBPC3,1.624806762,0.936788944,1,0.003452244,0.001957905,MYBPC3
CBLB,-0.146199927,0.936836497,1,0.073647871,0.07195301,CBLB
SLC24A3,0.53418225,0.936860273,1,0.003452244,0.001957905,SLC24A3
CRBN,-0.175241962,0.936872162,1,0.047756041,0.046010768,CRBN
CLEC2D_2,0.125864238,0.936872162,1,0.013233602,0.01174743,no
FCGBP_1,0.304307878,0.93688405,1,0.003452244,0.001957905,no
ENSVKKG00000003995,0.569959641,0.936907827,1,0.003452244,0.001957905,no
MPZ,0.171135783,0.936907827,1,0.003452244,0.001957905,MPZ
MST1,0.394092351,0.936931603,1,0.003452244,0.001957905,MST1
OXSM,-0.103754863,0.937157484,1,0.02013809,0.018600098,OXSM
RNF38_1,0.099041671,0.937371481,1,0.02013809,0.018600098,no
KMT2A,-0.039750218,0.937466593,1,0.35730725,0.346549192,KMT2A
IRAK1BP1,0.005875584,0.937847047,1,0.013233602,0.01174743,IRAK1BP1
TCTA,-0.101787739,0.938168066,1,0.222094361,0.216837983,TCTA
DNAL4,-0.071677722,0.938500986,1,0.016685846,0.015173764,DNAL4
