names
ADAR
AZI2
B2M
C2_1
CASP8
CD274
CD47
CMPK2
CMTR1
DDX58
DHX58
DNAJA1
DNAJC13
DTX3L
EHD4
ERAP1
FAM46A
FMR1
IFI35
IFIH1
IFITM3_2
IFITM3_3
IRF1_1
IRF1_2
IRF7
IRF9
ISG15
ISG20
LGALS9_1
LGALS9_2
MORC3
MOV10
MX1_1
MX1_2
MX1_3
MYD88
N4BP1
NLRC5
NMI
NUB1
OASL_1
OASL_2
OASL_3
OAS3_1
PARP12
PARP14_1
PARP14_2
PARP9
PML_1
PML_2
PSMB1
PSMB8
PSMB9_2
PSME1
PSME2
RFX5
RICTOR
RNF114
RNF19B
RNF213
RNF31
RSAD2
SAT1
SERTAD1
SHISA5
SLC25A28
SOCS1
STAT1
STAT2
TDRD7
TNFSF10
TRAFD1
TRIM25_1
TRIM25_2
UBA7
UBE2L6
USP18
USP25
WARS
XAF1
ZC3HAV1
ZCCHC2
ZNFX1
