names
ADAR
AZI2
B2M
C2
CASP8
CD274
CD47
CMPK2
CMTR1
DHX58
DNAJA1
DNAJC13
DTX3L
EHD4
EIF2AK2
ERAP1
FMR1
HERC6
IFI35
IFIH1
IFIT2
IFIT3
IL15RA
IRF1
IRF7
IRF9
ISG15
ISG20
LGALS9
MORC3
MOV10
MX1
MYD88
N4BP1
NLRC5
NMI
NUB1
OAS1
OAS2
OAS3
OASL
PARP12
PARP14
PARP9
PML
PSMB10
PSMB8
PSMB9
PSME1
PSME2
RBCK1
RFX5
RICTOR
RNF114
RNF19B
RNF213
RNF31
RSAD2
SAT1
SERTAD1
SHISA5
SLC25A28
SOCS1
SP110
STAT1
STAT2
TDRD7
TNFSF10
TRAFD1
TRIM21
TRIM25
UBA7
UBE2L6
USP18
USP25
WARS1
WARS2
WARS2-IT1
WARS2-AS1
XAF1
ZC3HAV1
ZCCHC2
ZNFX1
