animal,pic_4h,pic_8h,pic_24h,lps_4h,lps_8h,lps_24h
chicken_109,16950,16950,,16950,16950,16950
chicken_grcg6a,17136,17136,,17136,17136,17136
crocodile,15283,,,,,
turtle_painted,21294,21294,,21294,21294,
komodo,18163,,,18163,,
