	chicken_a_control_1	chicken_a_control_2	chicken_a_lps_8h	chicken_d_lps_8h
ENSGALG00010014241	50	216	85	45
ENSGALG00010029524	2541	1723	2250	1347
ENSGALG00010024181	1	1	2	2
ENSGALG00010021631	33	42	24	11
ENSGALG00010012009	0	7	0	4
ENSGALG00010005393	64	26	97	11
ENSGALG00010000313	266	35	193	10
ENSGALG00010000249	832	476	938	473
ENSGALG00010030108	2725	2428	1823	1276
ENSGALG00010030107	725	489	650	422
ENSGALG00010030106	3140	2106	3935	2279
ENSGALG00010030103	0	6	3	0
ENSGALG00010030014	169	140	262	230
ENSGALG00010029966	1440	921	1212	561
ENSGALG00010029962	30	0	214	602
ENSGALG00010029947	65	55	78	23
ENSGALG00010029945	130	20	205	32
ENSGALG00010029941	417	280	376	274
ENSGALG00010029938	3	4	7	5
ENSGALG00010029937	4902	6133	4564	1944
ENSGALG00010029936	12	10	4	11
ENSGALG00010029935	1368	851	810	625
ENSGALG00010029932	78	22	41	16
ENSGALG00010029929	1772	1248	1854	1020
ENSGALG00010029927	10	3	5	3
ENSGALG00010029925	1011	756	846	476
ENSGALG00010029895	4297	2564	2604	1708
ENSGALG00010029864	1474	985	771	145
ENSGALG00010029859	1695	1067	1451	729
ENSGALG00010029835	428	416	354	227
ENSGALG00010029782	855	734	615	352
ENSGALG00010029776	2087	1586	1802	930
ENSGALG00010029774	18	12	7	21
ENSGALG00010029773	790	523	695	370
ENSGALG00010029772	1556	999	1229	816
ENSGALG00010029770	590	341	323	182
ENSGALG00010029766	292	228	292	188
ENSGALG00010029765	19	16	5	5
ENSGALG00010029761	409	280	405	289
ENSGALG00010029755	2425	1151	1704	1275
ENSGALG00010029749	323	169	484	225
ENSGALG00010029745	342	238	318	190
ENSGALG00010029739	1245	878	1004	333
ENSGALG00010029737	46	20	38	22
ENSGALG00010029733	3	3	4	2
ENSGALG00010029727	75	56	96	42
ENSGALG00010029726	5691	3608	4498	2540
ENSGALG00010029725	464	257	345	296
ENSGALG00010029724	3	0	1	2
ENSGALG00010029723	86	20	99	17
ENSGALG00010029721	1191	996	1091	694
ENSGALG00010029711	205	118	161	169
ENSGALG00010029710	1986	1250	2159	1107
ENSGALG00010029709	1951	1880	1020	578
ENSGALG00010029708	1610	1003	1234	907
ENSGALG00010029706	4509	3858	3212	1602
ENSGALG00010029701	1271	1011	1361	703
ENSGALG00010029700	3624	2668	2704	1551
ENSGALG00010029699	279	150	224	103
ENSGALG00010029698	1722	1318	1628	795
ENSGALG00010029697	816	464	634	402
ENSGALG00010029693	3119	2089	3055	1227
ENSGALG00010029691	2736	1926	1757	1044
ENSGALG00010029690	627	578	447	250
ENSGALG00010029689	2362	2940	1864	964
ENSGALG00010029688	663	302	516	250
ENSGALG00010029683	246	174	275	166
ENSGALG00010029677	3684	2841	3319	1743
ENSGALG00010029675	95	64	99	27
ENSGALG00010029672	52	30	28	27
ENSGALG00010029669	445	361	390	309
ENSGALG00010029668	795	493	986	335
ENSGALG00010029664	508	283	718	220
ENSGALG00010029661	209	74	204	116
ENSGALG00010029658	1955	1324	1890	1041
ENSGALG00010029657	4720	2413	5228	3686
ENSGALG00010029656	505	303	501	285
ENSGALG00010029655	1580	936	1862	1249
ENSGALG00010029653	3306	2395	3873	2313
ENSGALG00010029650	326	189	365	213
ENSGALG00010029647	111	49	89	49
ENSGALG00010029641	1902	877	6754	1452
ENSGALG00010029639	88	124	301	1200
ENSGALG00010029636	954	770	859	618
ENSGALG00010029634	30692	21178	27768	14021
ENSGALG00010029633	608	457	384	209
ENSGALG00010029630	497	273	498	340
ENSGALG00010029627	184	148	202	97
ENSGALG00010029626	8732	6055	9431	5881
ENSGALG00010029625	3048	1955	2689	628
ENSGALG00010029631	929	715	801	591
ENSGALG00010029624	263	279	183	75
ENSGALG00010029622	63	15	46	12
ENSGALG00010029616	716	528	694	522
ENSGALG00010029614	5154	3473	5862	3385
ENSGALG00010029609	20	17	24	19
ENSGALG00010029605	815	316	733	243
ENSGALG00010029604	611	497	677	422
ENSGALG00010029600	911	536	919	415
ENSGALG00010029596	252	141	296	79
ENSGALG00010029595	1318	794	1195	844
ENSGALG00010029592	1007	1050	807	523
ENSGALG00010029588	142	93	164	127
ENSGALG00010029586	629	355	601	316
ENSGALG00010029585	260	121	507	110
ENSGALG00010029584	1974	903	1673	789
ENSGALG00010029581	687	445	494	295
ENSGALG00010029580	720	838	568	157
ENSGALG00010029577	63	130	35	0
ENSGALG00010029576	25603	33643	17776	9865
ENSGALG00010029573	385	182	427	193
ENSGALG00010029572	130	94	116	108
ENSGALG00010029570	574	412	504	222
ENSGALG00010029567	729	374	977	339
ENSGALG00010029566	325	134	351	147
ENSGALG00010029562	929	313	3311	2175
ENSGALG00010029659	878	330	710	313
ENSGALG00010029561	1389	852	1409	741
ENSGALG00010029551	17	19	372	1
ENSGALG00010029548	287	154	286	127
ENSGALG00010029546	6195	4347	4930	2310
ENSGALG00010029541	637	331	564	276
ENSGALG00010029538	12	10	29	7
ENSGALG00010029534	1973	1488	1209	830
ENSGALG00010029533	180	80	392	334
ENSGALG00010029532	1119	447	1727	352
ENSGALG00010029531	615	404	570	380
ENSGALG00010029529	688	526	568	324
ENSGALG00010029526	1221	1052	1291	981
ENSGALG00010029519	133	77	135	60
ENSGALG00010029516	7	10	9	12
ENSGALG00010029515	2158	1600	2097	1208
ENSGALG00010029514	438	314	490	300
ENSGALG00010029513	360	195	371	226
ENSGALG00010029512	48	83	16	9
ENSGALG00010029510	8	15	23	15
ENSGALG00010029509	140	70	112	64
ENSGALG00010029508	174	99	228	109
ENSGALG00010029507	52	19	37	12
ENSGALG00010029506	73	54	54	47
ENSGALG00010029501	278	222	362	132
ENSGALG00010029495	3460	3690	4076	3169
ENSGALG00010029491	142	157	141	101
ENSGALG00010029489	0	0	4	2
ENSGALG00010029487	277	169	209	74
ENSGALG00010029481	359	439	297	317
ENSGALG00010029477	1263	886	1073	591
ENSGALG00010029476	4	7	0	0
ENSGALG00010029473	821	671	851	508
ENSGALG00010029472	9	3	5	0
ENSGALG00010029456	275	134	274	152
ENSGALG00010029454	90	20	143	129
ENSGALG00010029451	512	520	731	357
ENSGALG00010029449	1018	757	972	537
ENSGALG00010029447	8	5	10	4
ENSGALG00010029446	646	531	635	477
ENSGALG00010029436	2082	1496	1716	772
ENSGALG00010029427	46	41	43	20
ENSGALG00010029424	76	36	48	13
ENSGALG00010029423	777	584	745	464
ENSGALG00010029413	327	200	291	161
ENSGALG00010029406	267	149	294	182
ENSGALG00010029404	93	58	82	51
ENSGALG00010029403	1	0	8	2
ENSGALG00010029402	2048	1678	1560	1229
ENSGALG00010029401	25	44	27	7
ENSGALG00010029400	0	3	2	0
ENSGALG00010029398	2107	1515	1660	1289
ENSGALG00010029397	185	134	168	73
ENSGALG00010029396	1213	1067	997	567
ENSGALG00010029395	306	182	313	237
ENSGALG00010029391	254	167	272	146
ENSGALG00010029390	1077	687	1364	609
ENSGALG00010029388	2	1	0	2
ENSGALG00010029384	1975	1352	1481	1192
ENSGALG00010029383	4831	2642	3460	1637
ENSGALG00010029382	49	25	41	11
ENSGALG00010029378	5	5	5	8
ENSGALG00010029375	1148	810	1157	933
ENSGALG00010029373	26	6	13	6
ENSGALG00010029372	51	46	61	39
ENSGALG00010029367	224	117	239	88
ENSGALG00010029362	208	162	228	109
ENSGALG00010029359	5	6	3	7
ENSGALG00010029357	15072	11417	16308	9878
ENSGALG00010029354	100	92	113	47
ENSGALG00010029350	1286	828	1366	1148
ENSGALG00010029348	6799	5646	5851	4018
ENSGALG00010029347	9160	6748	7551	5375
ENSGALG00010029346	86	46	65	55
ENSGALG00010029345	306	229	261	229
ENSGALG00010029342	709	562	832	619
ENSGALG00010029341	8129	6027	6067	5527
ENSGALG00010029340	2121	1661	1749	757
ENSGALG00010029338	1094	531	1006	430
ENSGALG00010029336	3637	1955	4900	2579
ENSGALG00010029331	76	11	264	65
ENSGALG00010029327	1762	1053	1431	514
ENSGALG00010029325	96	52	135	68
ENSGALG00010029324	398	245	393	327
ENSGALG00010029323	971	471	916	414
ENSGALG00010029322	4009	2988	3052	1636
