	chicken_a_control_1	chicken_a_control_2	chicken_a_lps_4h	chicken_d_lps_4h
ENSGALG00010014241	50	216	150	82
ENSGALG00010029524	2541	1723	2591	1400
ENSGALG00010021631	33	42	41	23
ENSGALG00010012009	0	7	3	3
ENSGALG00010005393	64	26	91	13
ENSGALG00010000313	266	35	228	19
ENSGALG00010000249	832	476	856	529
ENSGALG00010030108	2725	2428	2570	1781
ENSGALG00010030107	725	489	696	392
ENSGALG00010030106	3140	2106	3790	1478
ENSGALG00010030103	0	6	7	4
ENSGALG00010030014	169	140	226	159
ENSGALG00010029966	1440	921	1310	731
ENSGALG00010029962	30	0	13	196
ENSGALG00010029947	65	55	170	149
ENSGALG00010029945	130	20	494	209
ENSGALG00010029941	417	280	461	249
ENSGALG00010029938	3	4	6	7
ENSGALG00010029937	4902	6133	5492	2526
ENSGALG00010029936	12	10	12	7
ENSGALG00010029935	1368	851	1047	814
ENSGALG00010029932	78	22	71	21
ENSGALG00010029930	1	2	2	1
ENSGALG00010029929	1772	1248	1819	1191
ENSGALG00010029927	10	3	9	11
ENSGALG00010029925	1011	756	945	496
ENSGALG00010029895	4297	2564	3318	1637
ENSGALG00010029864	1474	985	1015	415
ENSGALG00010029859	1695	1067	1701	1034
ENSGALG00010029835	428	416	501	328
ENSGALG00010029782	855	734	877	347
ENSGALG00010029776	2087	1586	2142	1041
ENSGALG00010029774	18	12	21	5
ENSGALG00010029773	790	523	796	353
ENSGALG00010029772	1556	999	1495	810
ENSGALG00010029770	590	341	587	252
ENSGALG00010029766	292	228	341	188
ENSGALG00010029765	19	16	8	6
ENSGALG00010029761	409	280	487	262
ENSGALG00010029755	2425	1151	1749	1567
ENSGALG00010029749	323	169	372	199
ENSGALG00010029745	342	238	387	190
ENSGALG00010029739	1245	878	1381	553
ENSGALG00010029737	46	20	37	22
ENSGALG00010029733	3	3	5	2
ENSGALG00010029727	75	56	75	61
ENSGALG00010029726	5691	3608	7523	4462
ENSGALG00010029725	464	257	397	318
ENSGALG00010029724	3	0	1	4
ENSGALG00010029723	86	20	93	39
ENSGALG00010029721	1191	996	1258	803
ENSGALG00010029711	205	118	204	137
ENSGALG00010029710	1986	1250	2108	1155
ENSGALG00010029709	1951	1880	1230	771
ENSGALG00010029708	1610	1003	1599	969
ENSGALG00010029706	4509	3858	4453	1698
ENSGALG00010029701	1271	1011	1447	875
ENSGALG00010029700	3624	2668	3398	1765
ENSGALG00010029699	279	150	341	108
ENSGALG00010029698	1722	1318	1795	991
ENSGALG00010029697	816	464	737	318
ENSGALG00010029693	3119	2089	2955	1410
ENSGALG00010029691	2736	1926	2186	1036
ENSGALG00010029690	627	578	515	217
ENSGALG00010029689	2362	2940	2296	1031
ENSGALG00010029688	663	302	747	276
ENSGALG00010029683	246	174	219	139
ENSGALG00010029677	3684	2841	3784	2056
ENSGALG00010029675	95	64	111	25
ENSGALG00010029672	52	30	50	42
ENSGALG00010029669	445	361	476	347
ENSGALG00010029668	795	493	901	291
ENSGALG00010029664	508	283	564	149
ENSGALG00010029661	209	74	209	111
ENSGALG00010029658	1955	1324	2388	1131
ENSGALG00010029657	4720	2413	4878	3277
ENSGALG00010029656	505	303	528	266
ENSGALG00010029655	1580	936	1645	960
ENSGALG00010029653	3306	2395	3881	2453
ENSGALG00010029650	326	189	285	126
ENSGALG00010029647	111	49	100	47
ENSGALG00010029641	1902	877	2634	642
ENSGALG00010029639	88	124	59	563
ENSGALG00010029636	954	770	1196	657
ENSGALG00010029634	30692	21178	29769	17294
ENSGALG00010029633	608	457	494	210
ENSGALG00010029630	497	273	767	451
ENSGALG00010029627	184	148	223	121
ENSGALG00010029626	8732	6055	9715	5300
ENSGALG00010029625	3048	1955	3182	836
ENSGALG00010029631	929	715	942	618
ENSGALG00010029624	263	279	206	97
ENSGALG00010029622	63	15	62	9
ENSGALG00010029616	716	528	821	788
ENSGALG00010029614	5154	3473	5741	3428
ENSGALG00010029609	20	17	19	17
ENSGALG00010029605	815	316	680	229
ENSGALG00010029604	611	497	734	428
ENSGALG00010029601	1	1	4	2
ENSGALG00010029600	911	536	903	487
ENSGALG00010029596	252	141	262	106
ENSGALG00010029595	1318	794	1324	846
ENSGALG00010029592	1007	1050	1140	578
ENSGALG00010029588	142	93	148	134
ENSGALG00010029586	629	355	612	351
ENSGALG00010029585	260	121	709	191
ENSGALG00010029584	1974	903	1905	1100
ENSGALG00010029581	687	445	574	325
ENSGALG00010029580	720	838	781	231
ENSGALG00010029577	63	130	17	12
ENSGALG00010029576	25603	33643	25567	12525
ENSGALG00010029573	385	182	451	267
ENSGALG00010029572	130	94	153	87
ENSGALG00010029570	574	412	538	276
ENSGALG00010029567	729	374	843	350
ENSGALG00010029566	325	134	271	152
ENSGALG00010029562	929	313	2945	2619
ENSGALG00010029659	878	330	792	389
ENSGALG00010029561	1389	852	1642	969
ENSGALG00010029556	3	0	2	0
ENSGALG00010029551	17	19	35	10
ENSGALG00010029548	287	154	214	113
ENSGALG00010029546	6195	4347	6015	3316
ENSGALG00010029541	637	331	537	208
ENSGALG00010029538	12	10	29	17
ENSGALG00010029534	1973	1488	1468	899
ENSGALG00010029533	180	80	494	163
ENSGALG00010029532	1119	447	1539	616
ENSGALG00010029531	615	404	594	316
ENSGALG00010029529	688	526	738	398
ENSGALG00010029526	1221	1052	1411	840
ENSGALG00010029519	133	77	145	83
ENSGALG00010029516	7	10	9	3
ENSGALG00010029515	2158	1600	2255	1379
ENSGALG00010029514	438	314	525	317
ENSGALG00010029513	360	195	448	200
ENSGALG00010029512	48	83	43	3
ENSGALG00010029510	8	15	13	9
ENSGALG00010029509	140	70	160	60
ENSGALG00010029508	174	99	218	103
ENSGALG00010029507	52	19	53	30
ENSGALG00010029506	73	54	75	42
ENSGALG00010029501	278	222	367	208
ENSGALG00010029495	3460	3690	4457	2884
ENSGALG00010029491	142	157	178	132
ENSGALG00010029487	277	169	193	75
ENSGALG00010029481	359	439	374	196
ENSGALG00010029477	1263	886	1286	653
ENSGALG00010029476	4	7	4	1
ENSGALG00010029473	821	671	1046	619
ENSGALG00010029472	9	3	0	3
ENSGALG00010029456	275	134	357	190
ENSGALG00010029454	90	20	204	85
ENSGALG00010029451	512	520	532	240
ENSGALG00010029449	1018	757	1204	574
ENSGALG00010029447	8	5	4	17
ENSGALG00010029446	646	531	783	500
ENSGALG00010029436	2082	1496	1706	1048
ENSGALG00010029427	46	41	33	39
ENSGALG00010029424	76	36	67	20
ENSGALG00010029423	777	584	949	508
ENSGALG00010029413	327	200	280	156
ENSGALG00010029411	1	3	4	0
ENSGALG00010029406	267	149	269	169
ENSGALG00010029404	93	58	114	73
ENSGALG00010029403	1	0	3	3
ENSGALG00010029402	2048	1678	2152	1312
ENSGALG00010029401	25	44	32	19
ENSGALG00010029400	0	3	2	0
ENSGALG00010029398	2107	1515	2065	1372
ENSGALG00010029397	185	134	213	104
ENSGALG00010029396	1213	1067	1252	730
ENSGALG00010029395	306	182	351	229
ENSGALG00010029391	254	167	311	152
ENSGALG00010029390	1077	687	1309	680
ENSGALG00010029388	2	1	2	1
ENSGALG00010029387	0	1	2	3
ENSGALG00010029384	1975	1352	1932	1219
ENSGALG00010029383	4831	2642	3745	2126
ENSGALG00010029382	49	25	57	4
ENSGALG00010029378	5	5	7	1
ENSGALG00010029375	1148	810	1320	964
ENSGALG00010029373	26	6	18	13
ENSGALG00010029372	51	46	92	41
ENSGALG00010029367	224	117	253	131
ENSGALG00010029362	208	162	261	90
ENSGALG00010029359	5	6	7	6
ENSGALG00010029357	15072	11417	14644	8538
ENSGALG00010029354	100	92	97	48
ENSGALG00010029350	1286	828	1314	902
ENSGALG00010029348	6799	5646	6353	4132
ENSGALG00010029347	9160	6748	9393	5503
ENSGALG00010029346	86	46	105	51
ENSGALG00010029345	306	229	367	165
ENSGALG00010029342	709	562	1052	659
ENSGALG00010029341	8129	6027	4579	4020
ENSGALG00010029340	2121	1661	1885	902
ENSGALG00010029338	1094	531	1055	541
ENSGALG00010029336	3637	1955	5870	2891
ENSGALG00010029331	76	11	145	56
ENSGALG00010029327	1762	1053	1740	705
ENSGALG00010029325	96	52	151	77
ENSGALG00010029324	398	245	375	243
ENSGALG00010029323	971	471	987	570
ENSGALG00010029322	4009	2988	3891	2024
ENSGALG00010029321	17	8	17	6
ENSGALG00010029315	1617	1311	1618	702
ENSGALG00010029311	66	63	105	61
ENSGALG00010029597	1189	799	1043	726
ENSGALG00010029310	712	562	871	498
ENSGALG00010029344	5321	3957	5462	2979
ENSGALG00010029309	57	28	68	45
ENSGALG00010029307	1893	987	1652	764
ENSGALG00010029305	154	67	143	108
ENSGALG00010029304	801	729	873	514
ENSGALG00010029303	875	536	888	460
ENSGALG00010029301	9721	7745	9987	5078
ENSGALG00010029300	3	13	11	5
ENSGALG00010029298	351	277	409	183
ENSGALG00010029295	274	87	1949	1462
ENSGALG00010029294	709	460	753	483
ENSGALG00010029292	33	12	20	5
ENSGALG00010029290	1684	1128	1103	762
ENSGALG00010029284	9467	7400	10730	6479
ENSGALG00010029281	942	522	893	458
ENSGALG00010029280	1295	882	1458	744
ENSGALG00010029275	1737	1540	1701	921
ENSGALG00010029274	1712	530	2422	1061
ENSGALG00010029273	0	2	23	13
ENSGALG00010029271	7	1	5	1
ENSGALG00010029270	4012	2865	4631	5967
ENSGALG00010029269	296	157	249	140
ENSGALG00010029266	546	310	642	280
ENSGALG00010029264	5	2	2	4
ENSGALG00010029261	111	60	120	41
ENSGALG00010029259	391	277	421	305
ENSGALG00010029255	2885	3203	2531	1535
ENSGALG00010029252	385	284	441	250
ENSGALG00010029251	135	60	179	89
ENSGALG00010029250	1773	1195	1371	742
ENSGALG00010029248	2303	1716	2295	1444
ENSGALG00010029245	486	341	580	279
ENSGALG00010029242	826	575	954	482
ENSGALG00010029241	11	7	4	2
ENSGALG00010029385	1435	1503	1550	590
ENSGALG00010029227	641	434	831	436
ENSGALG00010029224	1148	871	1066	630
ENSGALG00010029223	3874	2957	4501	2762
ENSGALG00010029221	106	42	80	25
ENSGALG00010029218	8974	7705	10165	5373
ENSGALG00010029217	152	54	161	83
ENSGALG00010029216	34	23	29	3
ENSGALG00010029212	5130	4980	5090	2809
ENSGALG00010029210	20	21	5	9
ENSGALG00010029207	66	40	85	20
ENSGALG00010029203	16684	13339	19882	13296
ENSGALG00010029200	1138	528	725	338
ENSGALG00010029198	1016	872	1130	634
ENSGALG00010029233	10	4	4	2
ENSGALG00010029196	125	62	122	89
ENSGALG00010029194	60	40	61	27
ENSGALG00010029188	0	0	3	3
ENSGALG00010029187	10359	8769	10659	5924
ENSGALG00010029186	396	282	430	299
ENSGALG00010029181	211	154	219	166
ENSGALG00010029179	108	50	117	56
ENSGALG00010029175	372	224	368	195
ENSGALG00010029172	491	419	577	355
ENSGALG00010029170	226	190	226	167
ENSGALG00010029169	1165	787	1269	676
ENSGALG00010029164	367	209	439	234
ENSGALG00010029163	2500	1633	2383	1728
ENSGALG00010029162	74	87	73	57
ENSGALG00010029158	646	451	772	274
ENSGALG00010029151	2874	1986	3727	1953
ENSGALG00010029150	10871	5413	15541	11453
ENSGALG00010029149	45	40	31	16
ENSGALG00010029146	3521	1838	3763	1952
ENSGALG00010029143	450	281	447	179
ENSGALG00010029140	82	38	931	532
ENSGALG00010028926	210	152	86	6
ENSGALG00010028924	316	171	333	186
ENSGALG00010028923	1243	495	806	389
ENSGALG00010028922	7	10	2	1
ENSGALG00010028921	178	103	283	158
ENSGALG00010028915	10	5	2	1
ENSGALG00010029463	9	19	16	5
ENSGALG00010028914	2279	1343	1252	1291
ENSGALG00010028909	129	61	88	31
ENSGALG00010028901	7	5	4	11
ENSGALG00010028898	54	11	61	20
ENSGALG00010028897	4234	2417	3691	1921
ENSGALG00010028896	7087	4643	6617	3217
ENSGALG00010028893	4356	4403	3976	2435
ENSGALG00010028887	2917	2329	3046	1760
ENSGALG00010028885	1180	1057	1233	598
ENSGALG00010028875	305	215	322	142
ENSGALG00010028874	0	1	4	11
ENSGALG00010028872	1075	502	2231	1724
ENSGALG00010028871	1008	713	925	443
ENSGALG00010028870	146	43	84	59
ENSGALG00010028869	22	24	37	26
ENSGALG00010028860	253	190	292	149
ENSGALG00010028856	2460	1901	2389	1175
ENSGALG00010028854	10867	8592	11951	6052
ENSGALG00010028833	343	193	398	187
ENSGALG00010028829	241	191	281	149
ENSGALG00010028818	4513	4094	4084	2027
ENSGALG00010028783	479	324	508	327
ENSGALG00010028782	7	3	3	5
ENSGALG00010028772	857	488	907	435
ENSGALG00010028771	1918	1254	1789	1049
ENSGALG00010028768	55	45	112	59
ENSGALG00010028763	38028	40367	26339	6889
ENSGALG00010028753	46	56	53	28
ENSGALG00010028751	3436	2366	3441	1529
ENSGALG00010028745	1173	808	1340	760
ENSGALG00010028743	780	431	673	306
ENSGALG00010029343	1886	1294	2411	1359
ENSGALG00010028735	33	15	34	11
ENSGALG00010028734	20	15	20	22
ENSGALG00010028695	6	9	6	2
ENSGALG00010028678	3	0	8	23
ENSGALG00010028675	740	349	718	369
ENSGALG00010028671	6	3	9	12
ENSGALG00010028669	1027	353	776	233
ENSGALG00010028658	1339	909	1529	876
ENSGALG00010028626	1577	935	1462	803
ENSGALG00010028613	216	134	226	129
ENSGALG00010028614	6	3	11	4
ENSGALG00010028610	851	562	1739	570
ENSGALG00010028605	134	80	162	82
ENSGALG00010028604	3215	2588	3431	2315
ENSGALG00010028603	432	293	540	304
ENSGALG00010028601	708	292	693	169
ENSGALG00010028596	2766	2143	2896	1377
ENSGALG00010028594	191	111	189	126
ENSGALG00010028593	414	341	550	366
ENSGALG00010028591	214	120	252	80
ENSGALG00010028590	3777	2938	4461	2377
