	chicken_a_control_1	chicken_a_control_2	chicken_a_pic_4h	chicken_d_pic_4h
ENSGALG00010014241	50	216	88	26
ENSGALG00010029524	2541	1723	1741	1992
ENSGALG00010024181	1	1	14	34
ENSGALG00010021631	33	42	36	21
ENSGALG00010005701	2	0	3	2
ENSGALG00010005393	64	26	75	17
ENSGALG00010000313	266	35	53	88
ENSGALG00010000251	0	0	11	3
ENSGALG00010000249	832	476	931	674
ENSGALG00010030108	2725	2428	1576	1908
ENSGALG00010030107	725	489	337	234
ENSGALG00010030106	3140	2106	545	92
ENSGALG00010030103	0	6	10	5
ENSGALG00010030014	169	140	65	40
ENSGALG00010029966	1440	921	1172	902
ENSGALG00010029962	30	0	156	824
ENSGALG00010029947	65	55	101	57
ENSGALG00010029945	130	20	24005	22719
ENSGALG00010029941	417	280	266	202
ENSGALG00010029938	3	4	3	5
ENSGALG00010029937	4902	6133	4800	5201
ENSGALG00010029936	12	10	17	11
ENSGALG00010029935	1368	851	738	667
ENSGALG00010029932	78	22	83	47
ENSGALG00010029930	1	2	1	5
ENSGALG00010029929	1772	1248	488	369
ENSGALG00010029927	10	3	11	17
ENSGALG00010029925	1011	756	778	587
ENSGALG00010029895	4297	2564	2625	1695
ENSGALG00010029864	1474	985	824	317
ENSGALG00010029859	1695	1067	1369	1345
ENSGALG00010029835	428	416	782	923
ENSGALG00010029782	855	734	440	365
ENSGALG00010029776	2087	1586	1316	812
ENSGALG00010029774	18	12	11	7
ENSGALG00010029773	790	523	363	379
ENSGALG00010029772	1556	999	1037	835
ENSGALG00010029770	590	341	87	28
ENSGALG00010029766	292	228	220	182
ENSGALG00010029765	19	16	18	8
ENSGALG00010029761	409	280	238	197
ENSGALG00010029755	2425	1151	767	602
ENSGALG00010029749	323	169	296	148
ENSGALG00010029745	342	238	271	259
ENSGALG00010029739	1245	878	1254	1121
ENSGALG00010029737	46	20	116	60
ENSGALG00010029733	3	3	19	9
ENSGALG00010029727	75	56	55	43
ENSGALG00010029726	5691	3608	4843	2663
ENSGALG00010029725	464	257	281	345
ENSGALG00010029724	3	0	3	3
ENSGALG00010029723	86	20	308	76
ENSGALG00010029721	1191	996	930	676
ENSGALG00010029711	205	118	104	101
ENSGALG00010029710	1986	1250	1092	675
ENSGALG00010029709	1951	1880	1146	1445
ENSGALG00010029708	1610	1003	749	610
ENSGALG00010029706	4509	3858	2477	2325
ENSGALG00010029702	1	0	2	3
ENSGALG00010029701	1271	1011	779	697
ENSGALG00010029700	3624	2668	2401	2147
ENSGALG00010029699	279	150	189	134
ENSGALG00010029698	1722	1318	1011	824
ENSGALG00010029697	816	464	1050	839
ENSGALG00010029693	3119	2089	1635	932
ENSGALG00010029691	2736	1926	1683	1630
ENSGALG00010029690	627	578	316	361
ENSGALG00010029689	2362	2940	1790	1765
ENSGALG00010029688	663	302	272	75
ENSGALG00010029683	246	174	147	108
ENSGALG00010029677	3684	2841	2695	2489
ENSGALG00010029675	95	64	105	83
ENSGALG00010029672	52	30	12	7
ENSGALG00010029669	445	361	357	341
ENSGALG00010029668	795	493	344	142
ENSGALG00010029664	508	283	181	125
ENSGALG00010029661	209	74	129	35
ENSGALG00010029658	1955	1324	827	737
ENSGALG00010029657	4720	2413	2285	1753
ENSGALG00010029656	505	303	221	164
ENSGALG00010029655	1580	936	921	555
ENSGALG00010029653	3306	2395	2162	1671
ENSGALG00010029651	0	0	4	9
ENSGALG00010029650	326	189	268	210
ENSGALG00010029647	111	49	58	89
ENSGALG00010029641	1902	877	7807	2548
ENSGALG00010029639	88	124	431	1804
ENSGALG00010029636	954	770	779	900
ENSGALG00010029634	30692	21178	24647	24457
ENSGALG00010029633	608	457	499	417
ENSGALG00010029630	497	273	493	291
ENSGALG00010029627	184	148	160	112
ENSGALG00010029626	8732	6055	6196	3954
ENSGALG00010029625	3048	1955	3009	2199
ENSGALG00010029631	929	715	632	594
ENSGALG00010029624	263	279	205	195
ENSGALG00010029622	63	15	44	22
ENSGALG00010029616	716	528	409	351
ENSGALG00010029614	5154	3473	2827	1257
ENSGALG00010029609	20	17	17	11
ENSGALG00010029605	815	316	613	576
ENSGALG00010029604	611	497	895	589
ENSGALG00010029600	911	536	725	641
ENSGALG00010029596	252	141	231	190
ENSGALG00010029595	1318	794	475	345
ENSGALG00010029592	1007	1050	1202	1035
ENSGALG00010029588	142	93	72	33
ENSGALG00010029586	629	355	1061	854
ENSGALG00010029585	260	121	187	19
ENSGALG00010029584	1974	903	17065	17595
ENSGALG00010029581	687	445	696	869
ENSGALG00010029580	720	838	308	152
ENSGALG00010029577	63	130	15	0
ENSGALG00010029576	25603	33643	19444	21461
ENSGALG00010029573	385	182	227	166
