,logFC,logCPM,PValue,QValue
ENSGALG00010024571,2.67354769653045,5.30290200777759,1.72109445242651e-24,1.46293028456254e-22
ENSGALG00010029560,2.74872938397747,7.44486296201816,1.76891266499214e-24,1.49423678533497e-22
ENSGALG00010002113,10.2821014599027,1.9571178376046,2.39710471927001e-24,2.01238420876988e-22
ENSGALG00010021313,11.0337026259387,2.70931200687552,2.53830428127802e-24,2.10493525764518e-22
ENSGALG00010016355,-2.96843435846825,4.90663288332247,2.53507860969011e-24,2.10493525764518e-22
ENSGALG00010021843,-4.16233158051231,4.47775873048963,2.62857179360801e-24,2.16658038745873e-22
ENSGALG00010016622,2.91706428229551,5.7408824287187,3.76716828819672e-24,3.08635474213708e-22
ENSGALG00010017727,2.68475011997678,5.18519395294192,5.63549086585745e-24,4.58938178297373e-22
ENSGALG00010006025,2.764525123449,7.95615638322507,6.40174594179783e-24,5.18236576240777e-22
ENSGALG00010028128,-2.71731966383341,6.31809318398894,8.59835409179674e-24,6.91938554132756e-22
ENSGALG00010024894,2.84811152067876,8.21610020634937,8.87112869719838e-24,7.09690295775871e-22
ENSGALG00010025229,2.63954622289506,7.77149774894079,9.50162891598123e-24,7.51291588705492e-22
ENSGALG00010024881,2.98229755100231,5.52342875097768,9.49760442368936e-24,7.51291588705492e-22
ENSGALG00010020657,2.61196814045851,7.17899927932028,1.18118093800182e-23,9.2855842524999e-22
ENSGALG00010007546,7.2249744178755,2.84886790864503,3.49968911200119e-23,2.73538919098944e-21
ENSGALG00010028899,2.5685459549829,5.52652103705276,3.75310676720546e-23,2.91670011622824e-21
ENSGALG00010005012,7.6032951636293,9.85471678272389,3.90860354959583e-23,3.02028456105132e-21
ENSGALG00010028163,5.2220878006536,8.88818115216081,4.09620859047115e-23,3.14736931245241e-21
ENSGALG00010003431,2.68415382363517,5.25794987670255,4.83139199677746e-23,3.69140062675132e-21
ENSGALG00010001869,7.0522068964895,4.2549759722822,5.24243820077178e-23,3.98308153801655e-21
ENSGALG00010029417,-3.93747725457659,6.31972900565547,5.35517037006138e-23,4.04612872404638e-21
